Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Oncology Research &amp; Treatment | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,208,Simple navigation links.,https://www.abbvie.com/science/areas-of-focus/oncology.html,global_utility_strip,Utility strip,No matching block found in catalog.,screenshots/blocks/global_utility_strip__default.png
Oncology Research &amp; Treatment | AbbVie,Primary Navigation,Main site navigation with dropdown menus for different sections.,M,242,Dropdown menus increase complexity.,https://www.abbvie.com/science/areas-of-focus/oncology.html,primary_navigation,Main navigation,No matching block found in catalog.,screenshots/blocks/primary_navigation__default.png
Oncology Research &amp; Treatment | AbbVie,Hero Section,Prominent section with a large image and introductory text.,M,186,Includes large image and text positioning.,https://www.abbvie.com/science/areas-of-focus/oncology.html,hero_section,Hero section,Matched to 'Hero' in catalog.,screenshots/blocks/hero_section__default.png
Oncology Research &amp; Treatment | AbbVie,Multi-Column CTAs,Section with multiple columns featuring calls to action.,M,3,Multiple columns and CTAs add complexity.,https://www.abbvie.com/science/areas-of-focus/oncology.html,multi_column_ctas,Calls to action,No matching block found in catalog.,screenshots/blocks/multi_column_ctas__default.png
Oncology Research &amp; Treatment | AbbVie,Card Grid,Displays a grid of cards with images and descriptions.,M,67,Grid layout and card styling.,https://www.abbvie.com/science/areas-of-focus/oncology.html,card_grid,Card grid,Matched to 'Cards' in catalog.,screenshots/blocks/card_grid__default.png
Oncology Research &amp; Treatment | AbbVie,Back to Top Button,Provides a button to quickly scroll back to the top of the page.,S,12,Single button functionality.,https://www.abbvie.com/science/areas-of-focus/oncology.html,back_to_top_button,Scroll button,No matching block found in catalog.,screenshots/blocks/back_to_top_button__default.png
Pharmaceutical Research &amp; Development | AbbVie,Multi-Column CTAs,Displays multiple call-to-action elements in a grid layout.,M,4,Requires grid layout and responsive design.,https://www.abbvie.com/,multi_column_cta,Call-to-action grid,No exact match found in catalog.,screenshots/blocks/multi_column_cta__default.png
Pharmaceutical Research &amp; Development | AbbVie,Latest News Listing,Lists the latest news articles or updates.,M,1,Dynamic content listing with potential sorting or filtering.,https://www.abbvie.com/,latest_news_listing,News listing,No exact match found in catalog.,screenshots/blocks/latest_news_listing__default.png
Policies &amp; Disclosures | AbbVie,Content Grid,"Displays a grid of content cards, including stories and statistics.",M,8,Moderate complexity due to dynamic content rendering and grid structure.,https://www.abbvie.com/who-we-are/policies-disclosures.html,content_grid,Content grid,Verify alignment with design specifications and grid responsiveness.,screenshots/blocks/content_grid__default.png
Major League Baseball | AbbVie,Back to Top Button,Button to quickly scroll back to the top of the page.,S,31,Low complexity as it involves a simple button with scrolling functionality.,https://www.abbvie.com/who-we-are/brand-partnerships/major-league-baseball.html,back_to_top,Scroll button,No matching block found in the AEM catalog.,screenshots/blocks/back_to_top__default.png
