Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Contact a Rep | EMBLAVEO™,Global Utility Strip,"Contains utility links such as safety information, prescribing information, and contact options.",S,1,Basic navigation links with static content.,https://www.emblaveo.com/contact-a-rep,global_utility_strip,Utility strip,Utility navigation is straightforward and unlikely to require complex implementation.
Contact a Rep | EMBLAVEO™,Primary Header,Displays the main branding and navigation for the site.,M,1,"Includes branding and primary navigation, requiring integration with site-wide components.",https://www.emblaveo.com/contact-a-rep,primary_header,Main navigation,Main header includes dynamic branding and navigation elements.
Contact a Rep | EMBLAVEO™,Hero Section,Highlights the primary message or call-to-action for the page.,M,1,Requires dynamic content integration for call-to-action elements.,https://www.emblaveo.com/contact-a-rep,hero_section,Hero banner,Hero sections often include animations or interactive elements.
Contact a Rep | EMBLAVEO™,Main Navigation,Provides the primary navigation links for the site.,C,1,Deep navigation structures with multiple levels and potential dynamic loading.,https://www.emblaveo.com/contact-a-rep,main_navigation,Primary navigation,Main navigation is critical for user experience and accessibility.
Contact a Rep | EMBLAVEO™,Contact Form,Embedded form for users to contact a representative.,C,1,"Form includes validation, potential CAPTCHA, and backend integration.",https://www.emblaveo.com/contact-a-rep,contact_form,Form,Contact forms require robust validation and secure data handling.
Contact a Rep | EMBLAVEO™,Important Safety Information,Displays critical safety and usage information about the product.,S,1,Static content display with minimal interaction.,https://www.emblaveo.com/contact-a-rep,important_safety_info,Safety information,Safety information must comply with regulatory standards.
Contact a Rep | EMBLAVEO™,Footer Links,"Contains links to site map, accessibility statement, and other footer items.",S,1,Simple footer links with static content.,https://www.emblaveo.com/contact-a-rep,footer_links,Footer navigation,Footer links are straightforward and static.
Contact a Rep | EMBLAVEO™,Footer Legal,Displays legal text and copyright information.,S,1,Static text display with no interaction.,https://www.emblaveo.com/contact-a-rep,footer_legal,Legal footer,Legal text is static and requires minimal implementation.
Contact a Rep | EMBLAVEO™,Back to Top Button,Provides a button to quickly scroll back to the top of the page.,S,1,Simple scroll-to-top functionality.,https://www.emblaveo.com/contact-a-rep,back_to_top,Scroll button,Back to top buttons are standard and straightforward.
Contact a Rep | EMBLAVEO™,Modal Dialogs,Handles modal popups for user interactions such as leaving the site.,M,1,Dynamic modals with potential interactivity and animations.,https://www.emblaveo.com/contact-a-rep,modal_dialogs,Modal,Modals may include complex content and user interactions.
EMBLAVEO™,Global Utility Strip,Provides quick access to utility links.,S,1,Simple navigation links with minimal interactivity.,https://www.emblaveo.com/,global_utility_strip,Utility strip,No direct match found in the AEM catalog.
EMBLAVEO™,Primary Navigation,Main navigation for site sections.,M,1,Relatively complex navigation with potential submenus.,https://www.emblaveo.com/,primary_navigation,Main navigation,No direct match found in the AEM catalog.
EMBLAVEO™,Hero Section,Prominent hero section with key messaging.,M,1,Includes video background and responsive design considerations.,https://www.emblaveo.com/,hero_section,Hero with video,Mapped to the 'Hero' block in the AEM catalog.
EMBLAVEO™,Three Column CTA,Highlights key features or actions in three columns.,M,1,Custom layout with potential interactive elements.,https://www.emblaveo.com/,three_column_cta,Three-column layout,No direct match found in the AEM catalog.
EMBLAVEO™,Promo Drawer,Displays promotional content in a drawer format.,S,1,Simple promotional drawer with toggling functionality.,https://www.emblaveo.com/,promo_drawer,Promo drawer,No direct match found in the AEM catalog.
EMBLAVEO™,Footer Links,Displays footer links for additional site navigation.,S,1,Basic footer with static links.,https://www.emblaveo.com/,footer_links,Footer links,Mapped to the 'Footer' block in the AEM catalog.
EMBLAVEO™,Footer Legal,Displays legal text and trademarks in the footer.,S,1,Static legal text with no interactivity.,https://www.emblaveo.com/,footer_legal,Footer legal,Mapped to the 'Footer' block in the AEM catalog.
Site Map | EMBLAVEO™,Global Utility Strip,"Provides quick access to key links such as contact information, safety information, and prescribing details.",M,1,Includes accessibility considerations and multiple navigation links.,https://www.emblaveo.com/sitemap,global_utility_strip,Utility strip,Could involve custom styling and navigation logic.
Site Map | EMBLAVEO™,Primary Navigation,Main site navigation with links to primary sections of the website.,C,1,Deep navigation structure with potential dropdowns or submenus.,https://www.emblaveo.com/sitemap,primary_navigation,Main navigation,Requires robust accessibility and responsive behavior.
Site Map | EMBLAVEO™,Hero Section,Prominent section at the top of the page showcasing the main message or feature.,M,1,Visual prominence and potential dynamic content.,https://www.emblaveo.com/sitemap,hero_section,Eyebrow or promotional header,Styling and interaction elements may vary significantly.
Site Map | EMBLAVEO™,Sitemap List,Displays the sitemap structure with links to all sections of the website.,M,1,Hierarchical link structure with potential filtering options.,https://www.emblaveo.com/sitemap,sitemap_list,Sitemap display,May need to dynamically generate content based on site structure.
Site Map | EMBLAVEO™,Select Next Level,Encourages users to take further actions with call-to-action buttons.,M,1,Interactive elements requiring user engagement.,https://www.emblaveo.com/sitemap,select_next_level,Call-to-action section,Could involve tracking user interactions for analytics.
Site Map | EMBLAVEO™,Important Safety Information,Displays critical safety and usage information for the product.,M,1,Legal and compliance requirements for information display.,https://www.emblaveo.com/sitemap,important_safety_information,Safety information,Needs to ensure high visibility and accessibility compliance.
Site Map | EMBLAVEO™,Footer Links,Contains links to additional resources and site policies.,S,1,Static content with straightforward link navigation.,https://www.emblaveo.com/sitemap,footer_links,Footer navigation,Styling and responsive adjustments may be necessary.
Videos | EMBLAVEO™,Utility Navigation,Provides quick access to utility links.,S,1,Simple navigation links without advanced functionality.,https://www.emblaveo.com/videos,utility_navigation,Utility strip,No exact match found in the AEM catalog.
