Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
LUPRON DEPOT—For Advanced Prostate Cancer,Utility Navigation,Provides top-level links for accessibility and utility purposes.,S,1,Simple navigation links without deep functionality.,https://www.lupronprostatecancer.com/support-and-resources,header_utility_strip,Utility strip,Includes links for contact and information.,screenshots/blocks/header_utility_strip__default.png
LUPRON DEPOT—For Advanced Prostate Cancer,Primary Navigation,Provides main site navigation including branding and hierarchical menus.,M,1,Includes hierarchical navigation and branding elements.,https://www.lupronprostatecancer.com/support-and-resources,header_primary_navigation,Main navigation,May include mega-menu or mobile-friendly patterns.,screenshots/blocks/header_primary_navigation__default.png
LUPRON DEPOT—For Advanced Prostate Cancer,Content Cards,Displays key content sections using card layouts.,M,1,Requires grid layout and responsive design.,https://www.lupronprostatecancer.com/support-and-resources,main_region_0,Content display,Focus on study results and patient stories.,screenshots/blocks/main_region_0__default.png
LUPRON DEPOT—For Advanced Prostate Cancer,Content Cards,Displays key content sections using card layouts.,M,1,Requires grid layout and responsive design.,https://www.lupronprostatecancer.com/support-and-resources,main_region_1,Content display,Includes statistical and historical data.,screenshots/blocks/main_region_1__default.png
LUPRON DEPOT—For Advanced Prostate Cancer,Content Cards,Displays key content sections using card layouts.,M,1,Requires grid layout and responsive design.,https://www.lupronprostatecancer.com/support-and-resources,main_region_2,Content display,Provides navigation options for user-specific information.,screenshots/blocks/main_region_2__default.png
LUPRON DEPOT—For Advanced Prostate Cancer,Content Cards,Displays key content sections using card layouts.,M,1,Requires grid layout and responsive design.,https://www.lupronprostatecancer.com/support-and-resources,main_region_3,Content display,Shares patient stories and definitions.,screenshots/blocks/main_region_3__default.png
LUPRON DEPOT—For Advanced Prostate Cancer,Content Cards,Displays key content sections using card layouts.,M,1,Requires grid layout and responsive design.,https://www.lupronprostatecancer.com/support-and-resources,main_region_4,Content display,Provides product-specific information.,screenshots/blocks/main_region_4__default.png
LUPRON DEPOT—For Advanced Prostate Cancer,Content Cards,Displays key content sections using card layouts.,M,1,Requires grid layout and responsive design.,https://www.lupronprostatecancer.com/support-and-resources,main_region_5,Content display,Focuses on support and personalized assistance.,screenshots/blocks/main_region_5__default.png
LUPRON DEPOT—For Advanced Prostate Cancer,Site Footer,"Provides footer content including navigation, legal disclaimers, and social links.",S,1,Basic footer links and styling.,https://www.lupronprostatecancer.com/support-and-resources,site_footer,Footer,Includes ancillary navigation and legal information.,screenshots/blocks/site_footer__default.png
How LUPRON DEPOT is Given,Utility Navigation,Provides quick access to important links such as prescribing information and safety information.,S,1,Simple navigation links without advanced functionality.,https://www.lupronprostatecancer.com/about-lupron-depot/how-lupron-depot-is-given,utility_navigation,Utility strip,Includes links like prescribing information.,screenshots/blocks/utility_navigation__default.png
How LUPRON DEPOT is Given,Primary Navigation,Main navigation menu for accessing different sections of the site.,M,2,Contains dropdowns and multiple navigation levels.,https://www.lupronprostatecancer.com/about-lupron-depot/how-lupron-depot-is-given,primary_navigation,Main navigation,Supports hierarchical navigation.,screenshots/blocks/primary_navigation__default.png
How LUPRON DEPOT is Given,Hero Section,Displays a large banner image with a headline introducing the page content.,S,2,Static visual content without interactivity.,https://www.lupronprostatecancer.com/about-lupron-depot/how-lupron-depot-is-given,hero_section,Hero banner,Prominent page introduction.,screenshots/blocks/hero_section__default.png
How LUPRON DEPOT is Given,Page Title,Displays the main title of the page.,S,1,Simple static text display.,https://www.lupronprostatecancer.com/about-lupron-depot/how-lupron-depot-is-given,page_title,Page title,Critical for page context.,screenshots/blocks/page_title__default.png
How LUPRON DEPOT is Given,Content Section 1,Details about how the product is administered at the doctor's office.,M,1,Includes detailed textual content.,https://www.lupronprostatecancer.com/about-lupron-depot/how-lupron-depot-is-given,content_section_1,Informational content,Focus on administration details.,screenshots/blocks/content_section_1__default.png
How LUPRON DEPOT is Given,Content Section 2,Information on flexible dosing options for treatment.,M,1,Contains structured information about treatment options.,https://www.lupronprostatecancer.com/about-lupron-depot/how-lupron-depot-is-given,content_section_2,Dosing options,Supports patient decision-making.,screenshots/blocks/content_section_2__default.png
How LUPRON DEPOT is Given,Content Section 3,Patient testimonial and related information.,M,1,Includes styled quotes and attribution.,https://www.lupronprostatecancer.com/about-lupron-depot/how-lupron-depot-is-given,content_section_3,Testimonial,Enhances patient trust.,screenshots/blocks/content_section_3__default.png
How LUPRON DEPOT is Given,Related Pages,Links to other relevant pages on the site.,M,1,Uses card layout for visual organization.,https://www.lupronprostatecancer.com/about-lupron-depot/how-lupron-depot-is-given,related_pages,Related links,Improves site navigation.,screenshots/blocks/related_pages__default.png
How LUPRON DEPOT is Given,Important Safety Information,Displays critical safety and usage information for the product.,M,1,Loaded dynamically as a fragment.,https://www.lupronprostatecancer.com/about-lupron-depot/how-lupron-depot-is-given,important_safety_information,Safety info,Essential for compliance.,screenshots/blocks/important_safety_information__default.png
LUPRON DEPOT—For Advanced Prostate Cancer,Global Utility Navigation,Provides quick links for essential resources and navigation options.,M,1,Complexity arises from navigation accessibility and usability requirements.,https://www.lupronprostatecancer.com/,global_utility_navigation,Utility Navigation,No direct match in AEM catalog.,screenshots/blocks/global_utility_navigation__default.png
LUPRON DEPOT—For Advanced Prostate Cancer,CTA Columns,Columns with call-to-action buttons for key resources and information.,M,1,Requires interactive elements and responsive design.,https://www.lupronprostatecancer.com/,cta_columns,Call-to-Action Columns,No direct match in AEM catalog.,screenshots/blocks/cta_columns__default.png
LUPRON DEPOT—For Advanced Prostate Cancer,Prose Columns,Columns with descriptive text and images providing information about the product.,M,1,Involves styling and layout adjustments for text and images.,https://www.lupronprostatecancer.com/,prose_columns,Informational Columns,No direct match in AEM catalog.,screenshots/blocks/prose_columns__default.png
LUPRON DEPOT—For Advanced Prostate Cancer,Accordion Section,Interactive accordion with multiple tabs for exploring detailed information.,M,1,Requires JavaScript for interactive behavior and CSS for styling.,https://www.lupronprostatecancer.com/,accordion_section,Multi-tab Accordion,Matched to AEM catalog as 'Accordion'.,screenshots/blocks/accordion_section__default.png
LUPRON DEPOT—For Advanced Prostate Cancer,Footer Section,Footer area containing links and additional resources.,S,1,Basic footer implementation with links and resources.,https://www.lupronprostatecancer.com/,footer_section,Standard Footer,Matched to AEM catalog as 'Footer'.,screenshots/blocks/footer_section__default.png
