Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Dosing Information,Tabs Section,A tabbed interface allowing users to switch between different dosing information.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.humirapro.com/dosing/uveitis-adult,tabs_section,default,templateIds: tpl_0,screenshots/blocks/tabs_section__default.png
Dosing Information,Tab Controls,The controls for switching between tabs.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.humirapro.com/dosing/uveitis-adult,tab_controls,default,templateIds: tpl_0,screenshots/blocks/tab_controls__default.png
Dosing Information,Induction Dose Tab,Content for the induction dose including images and descriptions.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.humirapro.com/dosing/uveitis-adult,induction_dose_tab,default,templateIds: tpl_0,screenshots/blocks/induction_dose_tab__default.png
Dosing Information,Maintenance Dose Tab,Content for the maintenance dose including images and descriptions.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.humirapro.com/dosing/uveitis-adult,maintenance_dose_tab,default,templateIds: tpl_0,screenshots/blocks/maintenance_dose_tab__default.png
Dosing Information,Dosing Images,Images representing the dosing schedule and products.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.humirapro.com/dosing/uveitis-adult,dosing_images,default,templateIds: tpl_0,screenshots/blocks/dosing_images__default.png
HUMIRA® (adalimumab) for adult patients with NI uveitis,Global Utility Strip,Provides utility links such as contact information and subscription options.,S,2,Minimal functionality with basic layout.,https://www.humirapro.com/uveitis,global_utility_strip,Utility strip,No direct match in catalog.,screenshots/blocks/global_utility_strip__default.png
HUMIRA® (adalimumab) for adult patients with NI uveitis,Primary Header,Displays the main branding and navigation for the site.,M,3,Includes navigation and branding elements.,https://www.humirapro.com/uveitis,primary_header,Main navigation,Mapped to 'Header' in catalog.,screenshots/blocks/primary_header__default.png
HUMIRA® (adalimumab) for adult patients with NI uveitis,Hero Section,Highlights the main content or call-to-action for the page.,M,4,Requires styling and interactive elements.,https://www.humirapro.com/uveitis,hero_section,Hero banner,Mapped to 'Hero' in catalog.,screenshots/blocks/hero_section__default.png
HUMIRA® (adalimumab) for adult patients with NI uveitis,Accordion Section,Contains expandable content sections for detailed information.,M,4,Interactive functionality with expandable sections.,https://www.humirapro.com/uveitis,accordion_section,Accordion,Mapped to 'Accordion' in catalog.,screenshots/blocks/accordion_section__default.png
HUMIRA® (adalimumab) for adult patients with NI uveitis,CTA Links,Provides call-to-action links for navigating to related content.,S,3,Simple link functionality without advanced features.,https://www.humirapro.com/uveitis,cta_links,Subscribe,No direct match in catalog.,screenshots/blocks/cta_links__default.png
HUMIRA® (adalimumab) for adult patients with NI uveitis,Footer Section,Displays the footer with additional navigation and contact options.,S,2,Basic footer functionality with minimal interactivity.,https://www.humirapro.com/uveitis,footer_section,Footer,Mapped to 'Footer' in catalog.,screenshots/blocks/footer_section__default.png
HUMIRA® (adalimumab) for pediatric patients with NI uveitis,Primary Navigation,Main navigation menu for accessing key site sections.,M,2,Moderate scope due to navigation depth and potential accessibility requirements.,https://www.humirapro.com/uveitis-pediatric,primary_navigation,Main navigation,No matching AEM catalog entry found.,screenshots/blocks/primary_navigation__default.png
HUMIRA® (adalimumab) for pediatric patients with NI uveitis,Call to Action Section,Contains buttons for navigating to related content or features.,S,1,Minimal complexity for implementation.,https://www.humirapro.com/uveitis-pediatric,cta_section,Subscribe,No matching AEM catalog entry found.,screenshots/blocks/cta_section__default.png
HUMIRA® (adalimumab) for pediatric patients with NI uveitis,Image and Text Section,Displays paired images and text for visual emphasis.,S,1,Simple implementation with static content.,https://www.humirapro.com/uveitis-pediatric,image_text_section,Image-text pairing,No matching AEM catalog entry found.,screenshots/blocks/image_text_section__default.png
HUMIRA® (adalimumab) for pediatric patients with NI uveitis,Rich Text Section,Formatted text content for informational purposes.,S,1,Limited complexity with static text.,https://www.humirapro.com/uveitis-pediatric,rich_text_section,Informational text,No matching AEM catalog entry found.,screenshots/blocks/rich_text_section__default.png
Sitemap for HUMIRA® (adalimumab) Healthcare Professional Site,Utility Navigation,Provides quick access to global utilities like contact information.,S,3,Straightforward navigation links without complex interactions.,https://www.humirapro.com/site-map,global_utility_navigation,Utility strip,No direct match in catalog.,screenshots/blocks/global_utility_navigation__default.png
Sitemap for HUMIRA® (adalimumab) Healthcare Professional Site,Sitemap Hero,Highlights the sitemap page with a hero image or introductory content.,M,1,Hero element with styling and layout considerations.,https://www.humirapro.com/site-map,sitemap_hero_section,Hero section,Mapped to Hero block type.,screenshots/blocks/sitemap_hero_section__default.png
Sitemap for HUMIRA® (adalimumab) Healthcare Professional Site,Sitemap Links,Lists all links and categories for easy navigation.,M,1,Requires structured layout for multiple links.,https://www.humirapro.com/site-map,sitemap_links_section,Links listing,No direct match in catalog.,screenshots/blocks/sitemap_links_section__default.png
HUMIRA® (adalimumab) | For Healthcare Professionals,Footer,Displays footer content with additional navigation and site information.,S,1,Minimal complexity due to static content and simple styling.,https://www.humirapro.com/,footer,Footer,Matched with AEM Footer block.,screenshots/blocks/footer__default.png
HUMIRA® (adalimumab) Safety profile,Footer Navigation,Footer section with additional navigation and site information.,M,1,Includes accessibility requirements and dynamic content.,https://www.humirapro.com/global-safety,footer_navigation,Footer links,No exact match found in catalog.,screenshots/blocks/footer_navigation__default.png
