Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Living with HCV – Meet Maria,Utility Navigation,Provides quick access to supplementary site links.,S,7,Limited functionality with basic navigation links.,https://www.hcv.com/living-with-hcv/meet-maria,global_utility_navigation,Utility strip,No direct match found in catalog.,screenshots/blocks/global_utility_navigation__default.png
Living with HCV – Meet Maria,Primary Navigation,Main navigation for site sections and resources.,M,1,Includes dropdown menus and hierarchical structure.,https://www.hcv.com/living-with-hcv/meet-maria,primary_header_navigation,Main navigation,No direct match found in catalog.,screenshots/blocks/primary_header_navigation__default.png
Living with HCV – Meet Maria,Hero Banner,Prominent visual section introducing the topic.,M,7,Includes dynamic content and visual elements.,https://www.hcv.com/living-with-hcv/meet-maria,hero_section,Hero banner,No direct match found in catalog.,screenshots/blocks/hero_section__default.png
Living with HCV – Meet Maria,Breadcrumb Trail,Displays navigation path for current page context.,S,5,Simple navigation aid with linear structure.,https://www.hcv.com/living-with-hcv/meet-maria,breadcrumb_navigation,Breadcrumb,No direct match found in catalog.,screenshots/blocks/breadcrumb_navigation__default.png
Living with HCV – Meet Maria,Content Introduction,Introductory text for main content area.,S,2,Static text content with minimal interactivity.,https://www.hcv.com/living-with-hcv/meet-maria,main_content_intro,Introductory content,No direct match found in catalog.,screenshots/blocks/main_content_intro__default.png
Living with HCV – Meet Maria,Detailed Information,Detailed narrative about Maria's background.,M,1,Text-heavy content with potential media integration.,https://www.hcv.com/living-with-hcv/meet-maria,closer_look_section,Detailed narrative,No direct match found in catalog.,screenshots/blocks/closer_look_section__default.png
Living with HCV – Meet Maria,Healthcare Insights,Insights into healthcare challenges and outlook.,M,1,Contains analytical content with potential charts or graphs.,https://www.hcv.com/living-with-hcv/meet-maria,healthcare_outlook_section,Insightful analysis,No direct match found in catalog.,screenshots/blocks/healthcare_outlook_section__default.png
Living with HCV – Meet Maria,Broader Implications,Highlights recommendations and broader impacts.,M,1,May include interactive elements or calls to action.,https://www.hcv.com/living-with-hcv/meet-maria,bigger_picture_section,Recommendations,No direct match found in catalog.,screenshots/blocks/bigger_picture_section__default.png
Living with HCV – Meet Maria,Resources Section,Links and materials for further exploration.,S,1,Simple static links with minimal interactivity.,https://www.hcv.com/living-with-hcv/meet-maria,additional_resources,Resource links,No direct match found in catalog.,screenshots/blocks/additional_resources__default.png
Living with HCV – Meet Maria,Footer,Site-wide footer links and information.,S,3,Static links with standard footer layout.,https://www.hcv.com/living-with-hcv/meet-maria,footer_section,Footer,No direct match found in catalog.,screenshots/blocks/footer_section__default.png
