Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Savings Card | LINZESS® (linaclotide),Global Utility Strip,Provides quick access to utility links and contact information.,S,8,Simple navigation links.,https://www.linzess.com/savings-card,global_utility_strip,Utility strip,Not matched to catalog.,screenshots/blocks/global_utility_strip__default.png
Savings Card | LINZESS® (linaclotide),Primary Navigation,Main navigation for accessing primary sections.,M,15,Includes hierarchical navigation and accessibility requirements.,https://www.linzess.com/savings-card,primary_navigation,Main navigation,Not matched to catalog.,screenshots/blocks/primary_navigation__default.png
Savings Card | LINZESS® (linaclotide),Hero Section,Prominent section highlighting the savings program.,M,14,Styling and potential animation.,https://www.linzess.com/savings-card,hero_section,Hero banner,Not matched to catalog.,screenshots/blocks/hero_section__default.png
Savings Card | LINZESS® (linaclotide),Terms and Conditions Accordion,Displays terms and conditions in an expandable format.,M,1,Accordion mechanics and accessibility.,https://www.linzess.com/savings-card,accordion_terms_conditions,Terms and conditions,Matched to 'Accordion' in catalog.,screenshots/blocks/accordion_terms_conditions__default.png
Savings Card | LINZESS® (linaclotide),Savings Program Form,Form for user enrollment in the savings program.,C,1,Form validation and potential integrations.,https://www.linzess.com/savings-card,form_embed,User enrollment,Matched to 'Form' in catalog.,screenshots/blocks/form_embed__default.png
Savings Card | LINZESS® (linaclotide),Important Safety Information,Provides critical safety information about the product.,S,4,Static content presentation.,https://www.linzess.com/savings-card,important_safety_information,Safety information,Not matched to catalog.,screenshots/blocks/important_safety_information__default.png
Savings Card | LINZESS® (linaclotide),Footer,Provides additional resources and links.,S,2,Basic footer implementation.,https://www.linzess.com/savings-card,footer_links,Footer,Matched to 'Footer' in catalog.,screenshots/blocks/footer_links__default.png
Your Map to a Low FODMAP Diet | LINZESS® (linaclotide),Global Utility Navigation,"Provides quick access to utility links like prescribing information, medication guide, and support.",S,6,Simple link-based navigation with minimal functionality.,https://www.linzess.com/starting-linzess/wellness-tips/your-map-to-a-low-fodmap-diet,global_utility_navigation,Utility strip,This block focuses on accessibility and link functionality.,screenshots/blocks/global_utility_navigation__default.png
Your Map to a Low FODMAP Diet | LINZESS® (linaclotide),Introduction Text,Provides an introductory paragraph explaining the content of the page.,S,1,Static text content with minimal styling.,https://www.linzess.com/starting-linzess/wellness-tips/your-map-to-a-low-fodmap-diet,intro_text,Intro text,Focus on style consistency with the site's theme.,screenshots/blocks/intro_text__default.png
Your Map to a Low FODMAP Diet | LINZESS® (linaclotide),FODMAP Columns,Displays information about different FODMAP categories in a multi-column layout.,M,1,Requires responsive design for multi-column layout.,https://www.linzess.com/starting-linzess/wellness-tips/your-map-to-a-low-fodmap-diet,fodmap_columns,Multi-column layout,Ensure proper spacing and alignment across devices.,screenshots/blocks/fodmap_columns__default.png
