Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Biomarker Testing In Non-Small Cell Lung Cancer,Utility Strip,Displays global utility links such as contact and subscribe.,S,1,Basic links and minimal interactivity.,https://www.latestagensclc.com/biomarker-testing,header_utility_strip,Utility strip,Could be mapped to a custom block if available.,screenshots/blocks/header_utility_strip__default.png
Biomarker Testing In Non-Small Cell Lung Cancer,Primary Navigation,Provides primary site navigation including branding and menus.,C,1,Deep navigation structure with potential mega-menu.,https://www.latestagensclc.com/biomarker-testing,header_primary_navigation,Main navigation,Mapping to a catalog block would require additional details.,screenshots/blocks/header_primary_navigation__default.png
Biomarker Testing In Non-Small Cell Lung Cancer,Content Columns,Arranges content into responsive columns.,M,1,Requires responsive layout adaptations.,https://www.latestagensclc.com/biomarker-testing,columns,Columns layout,Matches the Columns block from the catalog.,screenshots/blocks/columns__default.png
Biomarker Testing In Non-Small Cell Lung Cancer,Main Content Region 1,Displays primary content for the section.,M,1,Rich content and potential dynamic elements.,https://www.latestagensclc.com/biomarker-testing,main_region_1,Rich text content,Could be mapped to a content block if further details are provided.,screenshots/blocks/main_region_1__default.png
Biomarker Testing In Non-Small Cell Lung Cancer,Main Content Region 2,Displays secondary content for the section.,M,1,Rich content and potential dynamic elements.,https://www.latestagensclc.com/biomarker-testing,main_region_2,Rich text content,Could be mapped to a content block if further details are provided.,screenshots/blocks/main_region_2__default.png
Biomarker Testing In Non-Small Cell Lung Cancer,Main Content Region 3,Displays tertiary content for the section.,M,1,Rich content and potential dynamic elements.,https://www.latestagensclc.com/biomarker-testing,main_region_3,Rich text content,Could be mapped to a content block if further details are provided.,screenshots/blocks/main_region_3__default.png
Biomarker Testing In Non-Small Cell Lung Cancer,Main Content Region 4,Displays quaternary content for the section.,M,1,Rich content and potential dynamic elements.,https://www.latestagensclc.com/biomarker-testing,main_region_4,Rich text content,Could be mapped to a content block if further details are provided.,screenshots/blocks/main_region_4__default.png
Biomarker Testing In Non-Small Cell Lung Cancer,Site Footer,"Displays footer links, legal information, and additional navigation.",S,1,Static content with basic styling.,https://www.latestagensclc.com/biomarker-testing,site_footer,Footer,Matches the Footer block from the catalog.,screenshots/blocks/site_footer__default.png
Sitemap,Global Utility Strip,Provides notifications and utility navigation options.,S,4,Simple utility strip with static content.,https://www.latestagensclc.com/sitemap,global_utility_strip,Utility strip,No direct match in catalog.,screenshots/blocks/global_utility_strip__default.png
Sitemap,Primary Navigation,Main site navigation with links to key sections.,M,1,Requires accessibility compliance and potential interaction tracking.,https://www.latestagensclc.com/sitemap,primary_navigation,Main navigation,No direct match in catalog.,screenshots/blocks/primary_navigation__default.png
