Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Utility Navigation,Provides access to site-wide utility links.,S,4,Basic navigation without complex interactivity.,https://www.hepc.com/how-hep-c-transmitted,global_utility_strip,Utility strip,No direct catalog match found.,screenshots/blocks/global_utility_strip__default.png
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Primary Navigation,Main navigation for accessing key site sections.,M,2,Includes dropdowns and hierarchical navigation.,https://www.hepc.com/how-hep-c-transmitted,primary_navigation,Main navigation,No direct catalog match found.,screenshots/blocks/primary_navigation__default.png
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Hero Section,Prominent introductory section with title and background.,M,3,Requires responsive design and visual prominence.,https://www.hepc.com/how-hep-c-transmitted,hero_section,Hero banner,Matched to Hero block in AEM catalog.,screenshots/blocks/hero_section__default.png
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Breadcrumb Navigation,Displays user's location in site hierarchy.,S,2,Simple navigation aid without interactive features.,https://www.hepc.com/how-hep-c-transmitted,breadcrumb_navigation,Breadcrumb,No direct catalog match found.,screenshots/blocks/breadcrumb_navigation__default.png
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Content Introduction,Introduces the main content topic.,S,1,Straightforward text presentation.,https://www.hepc.com/how-hep-c-transmitted,main_content_intro,Introductory text,No direct catalog match found.,screenshots/blocks/main_content_intro__default.png
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Icon Grid,Visual representation of transmission methods.,M,1,Includes multiple icons and descriptions.,https://www.hepc.com/how-hep-c-transmitted,icon_grid_spread,Grid layout,No direct catalog match found.,screenshots/blocks/icon_grid_spread__default.png
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Fact Section,Highlights key facts about the topic.,S,1,Text-based content display.,https://www.hepc.com/how-hep-c-transmitted,fact_section,Fact highlights,No direct catalog match found.,screenshots/blocks/fact_section__default.png
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Testing Recommendations,Provides information on testing for Hepatitis C.,S,1,Informative text section.,https://www.hepc.com/how-hep-c-transmitted,testing_recommendations,Testing info,No direct catalog match found.,screenshots/blocks/testing_recommendations__default.png
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Risk Factors,Outlines risk factors for Hepatitis C.,S,1,Simple text presentation.,https://www.hepc.com/how-hep-c-transmitted,risk_factors,Risk outline,No direct catalog match found.,screenshots/blocks/risk_factors__default.png
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Statistics Section,Displays statistical data about Hepatitis C.,M,1,May include charts or dynamic data.,https://www.hepc.com/how-hep-c-transmitted,statistics_section,Statistics display,No direct catalog match found.,screenshots/blocks/statistics_section__default.png
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Quote Section,Features a patient quote about Hepatitis C.,S,1,Simple text styling for quotes.,https://www.hepc.com/how-hep-c-transmitted,quote_section,Patient quote,Matched to Quote block in AEM catalog.,screenshots/blocks/quote_section__default.png
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Next Steps CTA,Encourages users to take further actions.,S,1,Basic call-to-action functionality.,https://www.hepc.com/how-hep-c-transmitted,next_steps_cta,CTA,No direct catalog match found.,screenshots/blocks/next_steps_cta__default.png
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Footer,Provides site-wide links and information.,S,4,Standard footer layout.,https://www.hepc.com/how-hep-c-transmitted,footer,Footer,Matched to Footer block in AEM catalog.,screenshots/blocks/footer__default.png
Hepatitis C Information &amp; Resources - HepC.com,Primary Header,Hosts main branding and primary navigation.,M,4,"Incorporates branding, navigation, and responsive design.",https://www.hepc.com/personalization,primary_header,Main navigation,No direct match found in AEM catalog.,screenshots/blocks/primary_header__default.png
Hepatitis C Information &amp; Resources - HepC.com,Interactive Tool,Engages users with an interactive experience.,C,1,Requires custom scripting and dynamic data handling.,https://www.hepc.com/personalization,interactive_tool,Interactive engagement,No direct match found in AEM catalog.,screenshots/blocks/interactive_tool__default.png
Hepatitis C Information &amp; Resources - HepC.com,Three Column CTA,Displays three call-to-action sections.,M,1,Involves layout management and responsive design.,https://www.hepc.com/personalization,three_column_cta,Multi-CTA layout,No direct match found in AEM catalog.,screenshots/blocks/three_column_cta__default.png
Hepatitis C Information &amp; Resources - HepC.com,CTA Section,Encourages user action with a prominent call-to-action.,M,2,Features prominent design and dynamic content.,https://www.hepc.com/personalization,cta_section,Single CTA,No direct match found in AEM catalog.,screenshots/blocks/cta_section__default.png
Hepatitis C Information &amp; Resources - HepC.com,Back to Top Button,Provides quick navigation to the top of the page.,S,5,Simple functionality with minimal interaction.,https://www.hepc.com/personalization,back_to_top,Navigation utility,No direct match found in AEM catalog.,screenshots/blocks/back_to_top__default.png
sitemap,Main Navigation,Contains the main site navigation links and dropdowns.,C,3,Deep navigation structure with dropdowns and accessibility compliance.,https://www.hepc.com/sitemap,main_navigation,Dropdown navigation,May require additional JavaScript for dropdown functionality.,screenshots/blocks/main_navigation__default.png
sitemap,Main Content,Holds the primary content of the page.,S,2,Straightforward content placement without complex logic.,https://www.hepc.com/sitemap,main_content,Content section,Typically static content with minimal interactivity.,screenshots/blocks/main_content__default.png
sitemap,Terms of Use Modal,Displays a modal dialog for the terms of use.,M,2,Requires dynamic content loading and CSS styling.,https://www.hepc.com/sitemap,modal_terms_of_use,Modal dialog,Mapped to existing modal catalog entry.,screenshots/blocks/modal_terms_of_use__default.png
sitemap,Map Directions Modal,Displays a modal dialog for map directions.,M,2,Requires dynamic content loading and CSS styling.,https://www.hepc.com/sitemap,modal_map_directions,Modal dialog,Mapped to existing modal catalog entry.,screenshots/blocks/modal_map_directions__default.png
sitemap,Advertising Modal,Displays a modal dialog for advertising information.,M,2,Requires dynamic content loading and CSS styling.,https://www.hepc.com/sitemap,modal_advertising,Modal dialog,Mapped to existing modal catalog entry.,screenshots/blocks/modal_advertising__default.png
