Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Sitemap,Utility Navigation,Provides utility navigation and branding elements.,S,1,Simple navigation without deep interactivity.,https://www.burdenofad.com/sitemap,global_utility_strip,Utility strip,No additional complexity identified.
Sitemap,Primary Navigation,Main site navigation menu.,M,1,Includes structured navigation with multiple levels.,https://www.burdenofad.com/sitemap,primary_navigation,Main navigation,Potential for accessibility enhancements.
Sitemap,Main Content,Primary content section of the page.,M,1,Requires dynamic content rendering and layout management.,https://www.burdenofad.com/sitemap,main_content_area,Content area,Dynamic content integration required.
Sitemap,Footer Links,"Contains links to important pages like Contact Us, Terms of Use, etc.",S,1,Static links presented in a footer layout.,https://www.burdenofad.com/sitemap,footer_links,Link list,Accessibility considerations for external links.
Sitemap,Footer Legal Text,Displays legal and copyright information.,S,1,Static text with minimal interaction.,https://www.burdenofad.com/sitemap,footer_legal_text,Legal text,Ensure compliance with legal standards.
Sitemap,Back to Top,Button to quickly scroll back to the top of the page.,S,1,Simple button functionality with scroll behavior.,https://www.burdenofad.com/sitemap,back_to_top_button,Utility button,Ensure smooth scrolling and accessibility.
Sitemap,Modal Component,Popup modal for additional information or actions.,C,1,Interactive modal requiring accessibility and responsive design.,https://www.burdenofad.com/sitemap,modal_component,Popup modal,Focus management and keyboard navigation required.
The Burden of Atopic Dermatitis,Global Utility Navigation,"Provides quick access to utility links such as contact, terms, and privacy settings.",M,1,Requires dynamic link handling and styling for accessibility.,https://www.burdenofad.com/,global_utility_navigation,Utility strip,No direct match in the catalog; custom implementation likely.
The Burden of Atopic Dermatitis,Primary Header,"Displays the main branding, logo, and primary navigation menu.",C,1,Includes dynamic navigation and branding elements.,https://www.burdenofad.com/,primary_header,Main navigation,Mapped to 'Header' from the catalog.
The Burden of Atopic Dermatitis,Hero Carousel,Showcases the main hero content in a carousel format with multiple slides.,C,1,Involves dynamic content loading and user interaction elements.,https://www.burdenofad.com/,hero_carousel,Content slider,Matched to 'Carousel' in the catalog.
The Burden of Atopic Dermatitis,Statistics Section,Highlights key statistics about atopic dermatitis in a multi-column layout.,M,1,Includes layout adjustments for responsiveness and accessibility.,https://www.burdenofad.com/,statistics_section,Data visualization,No catalog match; consider creating a custom block.
The Burden of Atopic Dermatitis,Testimonial Section,Provides patient testimonials and insights into living with atopic dermatitis.,M,1,Requires styling for speech bubble elements and dynamic content.,https://www.burdenofad.com/,testimonial_section,User testimonials,No direct match in the catalog.
The Burden of Atopic Dermatitis,Video Section,Features a video player with a transcript about the burdens of atopic dermatitis.,C,1,Involves video embedding and transcript synchronization.,https://www.burdenofad.com/,video_section,Embedded video,Mapped to 'Video' from the catalog.
The Burden of Atopic Dermatitis,Footer,Contains site-wide links and legal information.,M,1,Includes dynamic link generation and styling.,https://www.burdenofad.com/,footer,Site footer,Mapped to 'Footer' from the catalog.
Atopic Dermatitis Treatment Options,Utility Navigation,Provides quick links to utility functions like site navigation and search.,S,1,Basic navigation links without complex interactivity.,https://www.burdenofad.com/atopic-dermatitis-treatment-options,utility_navigation,Utility strip,No direct match found in the catalog.
Atopic Dermatitis Treatment Options,Primary Navigation,Main navigation menu for accessing key sections of the site.,M,1,Main navigation with potential dropdowns and role attributes.,https://www.burdenofad.com/atopic-dermatitis-treatment-options,primary_navigation,Main navigation,No direct match found in the catalog.
Atopic Dermatitis Treatment Options,Hero Section,Prominent section at the top of the page highlighting the main topic.,M,1,Includes visual styling and interaction for a hero layout.,https://www.burdenofad.com/atopic-dermatitis-treatment-options,hero_section,Hero banner,Mapped to 'Hero' block in the catalog.
Atopic Dermatitis Treatment Options,Introduction Text,Provides introductory information about the topic.,S,1,Simple text content without interactivity.,https://www.burdenofad.com/atopic-dermatitis-treatment-options,intro_text,Introductory text,No direct match found in the catalog.
Atopic Dermatitis Treatment Options,Treatment Options Accordion,Interactive accordion detailing various treatment options.,C,1,Interactive accordion with expand/collapse functionality.,https://www.burdenofad.com/atopic-dermatitis-treatment-options,treatment_accordion,Content accordion,Mapped to 'Accordion' block in the catalog.
Atopic Dermatitis Treatment Options,Guidelines Section,Details updated guidelines for treatment based on severity.,S,1,Static content without complex interactivity.,https://www.burdenofad.com/atopic-dermatitis-treatment-options,guidelines_section,Guidelines display,No direct match found in the catalog.
Atopic Dermatitis Treatment Options,Call to Action Section,Encourages users to explore more about specific treatments.,M,1,Includes styled buttons and links for user interaction.,https://www.burdenofad.com/atopic-dermatitis-treatment-options,cta_section,Call to action,No direct match found in the catalog.
