Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
HUMIRA® (adalimumab) for Crohn&#39;s Disease (CD),Utility Navigation,"Provides quick access to utility links like conditions, safety information, and professional resources.",M,4,Includes dropdown menus and accessibility considerations for navigation.,https://www.humira.com/crohns,global_utility_navigation,Utility strip,Potentially requires custom styling and accessibility enhancements.,screenshots/blocks/global_utility_navigation__default.png
HUMIRA® (adalimumab) for Crohn&#39;s Disease (CD),Primary Navigation,Main site navigation for accessing key sections and resources.,C,5,Deep navigation structure with multiple levels and dropdowns.,https://www.humira.com/crohns,primary_navigation,Main navigation,Focus on responsive design and accessibility compliance.,screenshots/blocks/primary_navigation__default.png
HUMIRA® (adalimumab) for Crohn&#39;s Disease (CD),Hero Section,Prominent introductory section with a background image and title.,M,4,Requires image handling and responsive positioning.,https://www.humira.com/crohns,hero_section,Hero banner,Ensure proper image optimization and display across devices.,screenshots/blocks/hero_section__default.png
HUMIRA® (adalimumab) for Crohn&#39;s Disease (CD),What is HUMIRA?,Provides an overview of HUMIRA and its uses.,S,1,Simple text content with minor styling.,https://www.humira.com/crohns,what_is_humira,Informational section,Ensure consistency with branding guidelines.,screenshots/blocks/what_is_humira__default.png
HUMIRA® (adalimumab) for Crohn&#39;s Disease (CD),Clinical Study Graphics,Displays graphical representations of clinical study results.,C,1,Requires integration of data visualization and accessibility features.,https://www.humira.com/crohns,clinical_study_graphics,Graphical content,Ensure charts are accessible and visually clear.,screenshots/blocks/clinical_study_graphics__default.png
HUMIRA® (adalimumab) for Crohn&#39;s Disease (CD),Common Side Effects,Lists common side effects associated with HUMIRA.,S,1,Simple text list with minimal styling.,https://www.humira.com/crohns,common_side_effects,Informational list,Ensure content clarity and compliance.,screenshots/blocks/common_side_effects__default.png
HUMIRA® (adalimumab) for Crohn&#39;s Disease (CD),Footer,Contains site-wide links and legal information.,M,3,Includes multiple links and accessibility considerations.,https://www.humira.com/crohns,footer,Site-wide footer,Focus on consistent styling and responsive behavior.,screenshots/blocks/footer__default.png
HUMIRA® (adalimumab) - A Biologic Medication,Condition Selector,Interactive section to select medical conditions.,M,1,Interactive elements and condition-specific content.,https://www.humira.com/,choose_condition_cta,Call to Action,Ensure accurate condition mapping and interactivity.,screenshots/blocks/choose_condition_cta__default.png
HUMIRA® (adalimumab) - A Biologic Medication,Promotional Section,Highlights savings and insurance support.,M,1,Requires promotional content management and dynamic updates.,https://www.humira.com/,promo_section,Promo,Focus on user engagement and clear messaging.,screenshots/blocks/promo_section__default.png
HUMIRA® (adalimumab) Cost &amp; Savings,Page Introduction,Introduces page content with descriptive text.,S,1,Simple text-based content with minimal styling.,https://www.humira.com/cost,page_intro,Introductory text,"No direct match in catalog, requires standalone implementation.",screenshots/blocks/page_intro__default.png
HUMIRA® (adalimumab) Cost &amp; Savings,On This Page CTAs,Provides quick navigation links to page sections.,S,1,Basic link functionality with minor styling.,https://www.humira.com/cost,on_this_page_ctas,Anchor links,"Not found in catalog, implement as custom block.",screenshots/blocks/on_this_page_ctas__default.png
HUMIRA® (adalimumab) Cost &amp; Savings,HUMIRA List Price,Displays pricing details for HUMIRA.,M,1,Includes structured data and potential dynamic content.,https://www.humira.com/cost,humira_list_price,Pricing information,"Custom implementation needed, not in catalog.",screenshots/blocks/humira_list_price__default.png
HUMIRA® (adalimumab) Cost &amp; Savings,Insurance Information,Provides insurance-related details and costs.,M,1,Structured content with possible dynamic updates.,https://www.humira.com/cost,insurance_information,Insurance details,"Requires custom development, not matched in catalog.",screenshots/blocks/insurance_information__default.png
Request a Savings Card - HUMIRA® (adalimumab),Interactive Form,Interactive user input form with submission handling.,C,1,"Includes form validation, accessibility, and potential Captcha integration.",https://www.humira.com/humira-complete/sign-up,form_embed,User registration form,Mapped to catalog entry 'Form'.,screenshots/blocks/form_embed__default.png
Request a Savings Card - HUMIRA® (adalimumab),Safety Information,Displays critical safety information about the product.,M,2,Requires structured content and compliance with regulations.,https://www.humira.com/humira-complete/sign-up,important_safety_information,Legal disclaimer,No direct match in the catalog.,screenshots/blocks/important_safety_information__default.png
App Injection Detect,Utility Navigation,Provides quick access to utility links like conditions and safety information.,M,1,Includes accessibility features and submenu interactions.,https://www.humira.com/humira-complete/landing/app-injection-detect,utility_navigation,Utility strip,No direct match in AEM catalog.,screenshots/blocks/utility_navigation__default.png
