Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Site Header,Displays the site's header including navigation and branding.,S,1,Basic header structure with standard navigation.,https://www.orilissa.com/insurance-and-savings/co-pay-card,header_chrome,Utility navigation,Includes branding and navigation elements.,screenshots/blocks/header_chrome__default.png
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Main Content Region,Primary region for displaying main page content.,M,1,Complexity depends on content types within the region.,https://www.orilissa.com/insurance-and-savings/co-pay-card,main_region_0,Background image content,May include dynamic or static content elements.,screenshots/blocks/main_region_0__default.png
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Content Columns,Organizes content into columns for layout purposes.,S,1,Standard column layout using CSS flexbox.,https://www.orilissa.com/insurance-and-savings/co-pay-card,columns,Responsive columns,Adapted for varying screen sizes.,screenshots/blocks/columns__default.png
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Subscription Form,Captures user input for subscription or lead generation.,C,1,Includes CAPTCHA and form validation.,https://www.orilissa.com/insurance-and-savings/co-pay-card,form_block_0,Lead capture,Requires server-side integration for data handling.,screenshots/blocks/form_block_0__default.png
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Subscription Form,Captures user input for subscription or lead generation.,C,1,Includes CAPTCHA and form validation.,https://www.orilissa.com/insurance-and-savings/co-pay-card,form_block_1,Lead capture,Requires server-side integration for data handling.,screenshots/blocks/form_block_1__default.png
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Subscription Form,Captures user input for subscription or lead generation.,C,1,Includes CAPTCHA and form validation.,https://www.orilissa.com/insurance-and-savings/co-pay-card,form_block_2,Lead capture,Requires server-side integration for data handling.,screenshots/blocks/form_block_2__default.png
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Site Footer,Displays footer content including navigation and legal links.,S,1,Basic footer structure with navigation links.,https://www.orilissa.com/insurance-and-savings/co-pay-card,site_footer,Footer navigation,May include social media links and contact information.,screenshots/blocks/site_footer__default.png
Video Email Page,Send Mail Tool,Provides a form for users to share the page content via email.,M,1,Includes form submission and interaction features.,https://www.orilissa.com/emails/video-emails/6122699813001,send_mail_tool,Email sharing tool,Requires custom implementation due to lack of catalog match.,screenshots/blocks/send_mail_tool__default.png
Video Email Page,Form Fields,Includes input fields for capturing user and recipient information.,M,1,Handles structured input and validation.,https://www.orilissa.com/emails/video-emails/6122699813001,form_fields,Input field group,Matched to AEM Form block with JSON-based field definitions.,screenshots/blocks/form_fields__default.png
Video Email Page,Form Buttons,Contains buttons for submitting or canceling the email form.,S,1,Simple button interactions.,https://www.orilissa.com/emails/video-emails/6122699813001,form_buttons,Button group,Requires mapping to a specific block or custom implementation.,screenshots/blocks/form_buttons__default.png
Video Email Page,Captcha Protection,Displays reCAPTCHA for secure form submissions.,C,2,Includes third-party integration for security.,https://www.orilissa.com/emails/video-emails/6122699813001,captcha_protection,Captcha integration,Mapping to an appropriate block or custom integration needed.,screenshots/blocks/captcha_protection__default.png
Video Email Page,Loading Feedback,Shows animations and messages during form submission.,M,2,Handles dynamic feedback for user actions.,https://www.orilissa.com/emails/video-emails/6122699813001,loading_feedback,Loading and feedback,Requires mapping to a specific block or custom implementation.,screenshots/blocks/loading_feedback__default.png
ORILISSA® (elagolix) to Manage Moderate to Severe Endometriosis Pain,Global Utility Navigation,Provides links to key resources like safety and prescribing information.,M,5,Involves accessibility considerations and potential integrations for dynamic updates.,https://www.orilissa.com/,global_utility_navigation,Utility strip,No exact match found in the AEM catalog.,screenshots/blocks/global_utility_navigation__default.png
ORILISSA® (elagolix) to Manage Moderate to Severe Endometriosis Pain,Primary Navigation,Main site navigation menu for accessing various sections.,C,5,Requires deep navigation structure and accessibility compliance.,https://www.orilissa.com/,primary_navigation,Main navigation,No exact match found in the AEM catalog.,screenshots/blocks/primary_navigation__default.png
ORILISSA® (elagolix) to Manage Moderate to Severe Endometriosis Pain,Hero Section,Highlights key messages prominently with a visual banner.,M,3,Includes visual design and responsive behavior.,https://www.orilissa.com/,hero_section,Hero banner,Matched to 'Hero' in the AEM catalog.,screenshots/blocks/hero_section__default.png
ORILISSA® (elagolix) to Manage Moderate to Severe Endometriosis Pain,Call-to-Action Cards,Displays actionable content in a card format.,M,1,Incorporates grid layout and responsive design.,https://www.orilissa.com/,cta_cards,CTA grid,Matched to 'Cards' in the AEM catalog.,screenshots/blocks/cta_cards__default.png
ORILISSA® (elagolix) to Manage Moderate to Severe Endometriosis Pain,Important Safety Information,Displays critical safety and usage information about the product.,C,3,Involves compliance and accessibility requirements for legal content.,https://www.orilissa.com/,important_safety_information,Safety information,No exact match found in the AEM catalog.,screenshots/blocks/important_safety_information__default.png
ORILISSA® (elagolix) to Manage Moderate to Severe Endometriosis Pain,Footer Links,"Provides links to legal, privacy, and other informational pages.",M,2,Requires integration of multiple links and responsive design.,https://www.orilissa.com/,footer_links,Footer navigation,Matched to 'Footer' in the AEM catalog.,screenshots/blocks/footer_links__default.png
ORILISSA® (elagolix) Search Results,Search Results,Displays search query results dynamically.,C,1,Dynamic content and potential integration with search APIs.,https://www.orilissa.com/search-results,search_results,Search results display,Includes highlighting of search terms.,screenshots/blocks/search_results__default.png
ORILISSA® (elagolix) Search Results,Footer Navigation,Provides links to secondary resources.,S,3,Basic navigation links at page end.,https://www.orilissa.com/search-results,footer_navigation,Footer links,Includes terms of use and privacy policy links.,screenshots/blocks/footer_navigation__default.png
ORILISSA® (elagolix) Search Results,Back to Top,Allows users to quickly return to the top of the page.,S,1,Simple JavaScript functionality.,https://www.orilissa.com/search-results,back_to_top_button,Utility button,Improves page navigation efficiency.,screenshots/blocks/back_to_top_button__default.png
ORILISSA® (elagolix) Search Results,Modal Dialogs,Displays pop-up dialogs for additional information.,C,1,Requires dynamic content and interaction handling.,https://www.orilissa.com/search-results,modal_dialogs,Popup modals,Includes external link warnings and additional actions.,screenshots/blocks/modal_dialogs__default.png
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Breadcrumbs Navigation,Shows the user's current location within the site hierarchy.,S,1,Simple breadcrumb trail for navigation context.,https://www.orilissa.com/savings-card,breadcrumbs_navigation,Breadcrumbs,Could utilize a breadcrumb component for implementation.,screenshots/blocks/breadcrumbs_navigation__default.png
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Savings Card Information,"Provides details about the Orilissa Savings Card, including eligibility and benefits.",M,1,Requires content formatting and dynamic eligibility checks.,https://www.orilissa.com/savings-card,savings_card_info,Content section,No direct mapping found in the catalog.,screenshots/blocks/savings_card_info__default.png
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Savings Card Form,Embedded form for users to sign up for the Orilissa Savings Card.,C,1,"Includes input validation, submission handling, and potential CAPTCHA.",https://www.orilissa.com/savings-card,savings_card_form,Form,Mapped to Form block from catalog.,screenshots/blocks/savings_card_form__default.png
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Savings Card Image,Displays an image of the Orilissa Savings Card.,S,1,Static image display with basic styling.,https://www.orilissa.com/savings-card,savings_card_image,Image,Could use a standard image component for implementation.,screenshots/blocks/savings_card_image__default.png
Pay as Little as $5 for ORILISSA® (elagolix) With the Savings Card,Help Section,Offers assistance for users needing help with their savings card.,S,1,Static content section with contact information.,https://www.orilissa.com/savings-card,help_section,Support section,No direct mapping found in the catalog.,screenshots/blocks/help_section__default.png
Find an OB/GYN - Obstetrician Gynecologist Near You,Breadcrumb Navigation,Displays the current page's position within the site hierarchy.,M,1,Breadcrumbs require hierarchical logic and accessibility considerations.,https://www.orilissa.com/find-an-obgyn,breadcrumb_navigation,Breadcrumb,No direct match in the AEM catalog; may need a custom solution.,screenshots/blocks/breadcrumb_navigation__default.png
ORILISSA® (elagolix) for Endometriosis Site Map,Site Map Links - Home,Contains links related to the Home section of the site map.,S,1,Simple list of links without complex behavior.,https://www.orilissa.com/site-map,site_map_links_home,Site map section,No direct match in the AEM catalog.,screenshots/blocks/site_map_links_home__default.png
Email Resource Page,Email Form,Handles sending emails through a structured form interface.,C,1,"Includes multiple input fields, validation, and submission logic.",https://www.orilissa.com/emails/endo-resource,send_email_form,Email submission form,Requires integration with back-end email service.,screenshots/blocks/send_email_form__default.png
