Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
AbbVie Cystic Fibrosis Support for Patients &amp; Caregivers,Utility Navigation,Provides quick access links and options for utility navigation.,S,1,Simple navigation links without complex interactions.,https://www.abbviecfcommitment.com/,global_utility_strip,Utility strip,No direct match in catalog.
AbbVie Cystic Fibrosis Support for Patients &amp; Caregivers,Main Header,Displays branding and primary navigation elements.,M,1,Includes branding and navigation with dropdowns.,https://www.abbviecfcommitment.com/,primary_header,Primary navigation,Mapped to Header block from catalog.
AbbVie Cystic Fibrosis Support for Patients &amp; Caregivers,Hero Section,Highlights main page message with visual emphasis.,S,1,Simple hero layout with image and text.,https://www.abbviecfcommitment.com/,hero_section,Hero banner,Mapped to Hero block from catalog.
AbbVie Cystic Fibrosis Support for Patients &amp; Caregivers,Healthy Routines Call-to-Action,Encourages engagement with healthy routines content.,S,1,Basic call-to-action functionality.,https://www.abbviecfcommitment.com/,healthy_routines_cta,CTA,No direct match in catalog.
AbbVie Cystic Fibrosis Support for Patients &amp; Caregivers,Recipe Cards,Displays recipes in a card format for user browsing.,M,1,"Card layout with images and text, potentially interactive.",https://www.abbviecfcommitment.com/,recipe_cards,Card grid,Mapped to Cards block from catalog.
AbbVie Cystic Fibrosis Support for Patients &amp; Caregivers,CF Scholarship Section,Provides information about the CF Scholarship program.,S,1,Informational content without advanced features.,https://www.abbviecfcommitment.com/,cf_scholarship_section,Informational section,No direct match in catalog.
AbbVie Cystic Fibrosis Support for Patients &amp; Caregivers,Get Involved Section,Encourages participation in community activities.,S,1,Simple engagement-focused content.,https://www.abbviecfcommitment.com/,get_involved_section,Engagement section,No direct match in catalog.
AbbVie Cystic Fibrosis Support for Patients &amp; Caregivers,Footer,Contains site-wide footer links and legal information.,S,1,Standard footer functionality with links.,https://www.abbviecfcommitment.com/,footer_section,Footer,Mapped to Footer block from catalog.
AbbVie Cystic Fibrosis Support for Patients &amp; Caregivers,Back to Top Button,Provides quick navigation back to the top of the page.,S,1,Simple button functionality.,https://www.abbviecfcommitment.com/,back_to_top_button,Utility button,No direct match in catalog.
Nutritional Information for Cystic Fibrosis,Utility Navigation,"Provides access to utility links such as contact, subscribe, and group sites.",S,1,Simple navigation links with minimal interactivity.,https://www.abbviecfcommitment.com/nutrition-guide,global_utility_navigation,Utility strip,No matching block found in catalog.
Nutritional Information for Cystic Fibrosis,Primary Navigation,Main site navigation with links to key sections.,M,1,Includes dropdowns and nested menus for navigation.,https://www.abbviecfcommitment.com/nutrition-guide,primary_navigation,Main navigation,No matching block found in catalog.
Nutritional Information for Cystic Fibrosis,Hero Section,Prominent section with a large image and introductory text.,M,1,Requires responsive design and image optimization.,https://www.abbviecfcommitment.com/nutrition-guide,hero_section,Hero banner,No matching block found in catalog.
Nutritional Information for Cystic Fibrosis,EPI Information Section,Details about EPI and its impact on nutrition.,M,1,Content-heavy section with specialized information.,https://www.abbviecfcommitment.com/nutrition-guide,content_section_epi,Informational content,No matching block found in catalog.
Nutritional Information for Cystic Fibrosis,Columns Layout,Two-column layout highlighting vitamins and healthy eating.,M,1,Requires layout management and content alignment.,https://www.abbviecfcommitment.com/nutrition-guide,columns_vitamins_and_healthy_eating,Columns,No matching block found in catalog.
Nutritional Information for Cystic Fibrosis,Footer,"Contains site-wide links, legal information, and branding.",S,1,Simple content display with basic styling.,https://www.abbviecfcommitment.com/nutrition-guide,footer,Footer,Mapped to catalog block.
Nutritional Information for Cystic Fibrosis,Back to Top Button,Allows users to quickly return to the top of the page.,S,1,Simple button functionality for page navigation.,https://www.abbviecfcommitment.com/nutrition-guide,back_to_top,Utility button,No matching block found in catalog.
Cystic Fibrosis and Dietary Needs According to Age,Utility Navigation,Provides links for quick access and navigation.,S,1,Simple navigation links without deep hierarchy.,https://www.abbviecfcommitment.com/nutrition-guide/healthy-eating,global_utility_strip,Utility strip,Not matched to any catalog entry.
Cystic Fibrosis and Dietary Needs According to Age,Main Navigation,Provides primary navigation for the website.,M,1,Includes multiple levels of navigation and dropdowns.,https://www.abbviecfcommitment.com/nutrition-guide/healthy-eating,primary_navigation,Primary navigation,Not matched to any catalog entry.
Cystic Fibrosis and Dietary Needs According to Age,Content Introduction,Introduces the main content of the page.,S,1,Static content with no interactive elements.,https://www.abbviecfcommitment.com/nutrition-guide/healthy-eating,main_content_intro,Introductory content,Not matched to any catalog entry.
Cystic Fibrosis and Dietary Needs According to Age,Image-Text Section,Combines image and text for visual and informational purposes.,M,1,Requires styling for layout and responsiveness.,https://www.abbviecfcommitment.com/nutrition-guide/healthy-eating,image_text_block,Image and text combination,Not matched to any catalog entry.
Cystic Fibrosis and Dietary Needs According to Age,Expandable Content,Provides collapsible sections for detailed content.,M,1,Interactive elements with expand/collapse functionality.,https://www.abbviecfcommitment.com/nutrition-guide/healthy-eating,accordion_section,Accordion,Matched to catalog entry 'Accordion'.
Cystic Fibrosis and Dietary Needs According to Age,Page Footer,Displays footer with site-wide links and information.,S,1,Static content with minimal styling.,https://www.abbviecfcommitment.com/nutrition-guide/healthy-eating,footer_section,Footer,Matched to catalog entry 'Footer'.
CF Scoop: Tips For Maintaining A Healthy Diet In College,Utility Navigation,Provides quick access to utility links and tools.,S,1,Simple navigation links without deep interactions.,https://www.abbviecfcommitment.com/nutrition-tips/college-and-cystic-fibrosis,global_utility_strip,Utility strip,Could benefit from accessibility improvements.
CF Scoop: Tips For Maintaining A Healthy Diet In College,Main Navigation,Main site navigation for exploring primary sections.,M,1,Includes hierarchical menu structure.,https://www.abbviecfcommitment.com/nutrition-tips/college-and-cystic-fibrosis,primary_navigation,Primary navigation,Ensure menu accessibility compliance.
