Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Savings Card | LINZESS® (linaclotide),Global Utility Strip,Provides quick access to utility links and contact information.,S,1,Simple navigation links.,https://www.linzess.com/savings-card,global_utility_strip,Utility strip,Not matched to catalog.
Savings Card | LINZESS® (linaclotide),Primary Navigation,Main navigation for accessing primary sections.,M,1,Includes hierarchical navigation and accessibility requirements.,https://www.linzess.com/savings-card,primary_navigation,Main navigation,Not matched to catalog.
Savings Card | LINZESS® (linaclotide),Hero Section,Prominent section highlighting the savings program.,M,1,Styling and potential animation.,https://www.linzess.com/savings-card,hero_section,Hero banner,Not matched to catalog.
Savings Card | LINZESS® (linaclotide),Terms and Conditions Accordion,Displays terms and conditions in an expandable format.,M,1,Accordion mechanics and accessibility.,https://www.linzess.com/savings-card,accordion_terms_conditions,Terms and conditions,Matched to 'Accordion' in catalog.
Savings Card | LINZESS® (linaclotide),Savings Program Form,Form for user enrollment in the savings program.,C,1,Form validation and potential integrations.,https://www.linzess.com/savings-card,form_embed,User enrollment,Matched to 'Form' in catalog.
Savings Card | LINZESS® (linaclotide),Important Safety Information,Provides critical safety information about the product.,S,1,Static content presentation.,https://www.linzess.com/savings-card,important_safety_information,Safety information,Not matched to catalog.
Savings Card | LINZESS® (linaclotide),Footer,Provides additional resources and links.,S,1,Basic footer implementation.,https://www.linzess.com/savings-card,footer_links,Footer,Matched to 'Footer' in catalog.
Your Map to a Low FODMAP Diet | LINZESS® (linaclotide),Global Utility Navigation,"Provides quick access to utility links like prescribing information, medication guide, and support.",S,1,Simple link-based navigation with minimal functionality.,https://www.linzess.com/starting-linzess/wellness-tips/your-map-to-a-low-fodmap-diet,global_utility_navigation,Utility strip,This block focuses on accessibility and link functionality.
Your Map to a Low FODMAP Diet | LINZESS® (linaclotide),Primary Navigation,Main site navigation for accessing core sections of the website.,M,1,Involves multi-level navigation and responsive behavior.,https://www.linzess.com/starting-linzess/wellness-tips/your-map-to-a-low-fodmap-diet,primary_navigation,Main navigation,Requires testing for responsive design and accessibility.
Your Map to a Low FODMAP Diet | LINZESS® (linaclotide),Hero Section,Highlights the main topic of the page with a large image and title.,M,1,Includes image handling and dynamic content.,https://www.linzess.com/starting-linzess/wellness-tips/your-map-to-a-low-fodmap-diet,hero_section,Hero banner,Ensure compliance with accessibility standards for images and headings.
