Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Savings Program | SAVELLA® (milnacipran HCI),Utility Navigation,Provides quick access to critical links like prescribing information.,S,1,Minimal interactivity and static content.,https://www.savella.com/savella-savingscard,utility_navigation,Utility strip,May require accessibility validation for navigation links.
Savings Program | SAVELLA® (milnacipran HCI),Primary Navigation,Main navigation menu for site sections.,C,1,Deep navigation structure with multiple levels.,https://www.savella.com/savella-savingscard,primary_navigation,Main navigation,Ensure comprehensive accessibility compliance.
Savings Program | SAVELLA® (milnacipran HCI),Hero Section,Displays a prominent hero section with page title and introductory description.,M,1,Includes styling and layout for prominent display.,https://www.savella.com/savella-savingscard,hero_section,Hero banner,Focus on responsive design and visual hierarchy.
Savings Program | SAVELLA® (milnacipran HCI),Savings Program Section,Details about the SAVELLA Savings Program and a sign-up form.,C,1,Form integration and dynamic content.,https://www.savella.com/savella-savingscard,savings_program_section,Program details,May require custom implementation for form handling.
Savings Program | SAVELLA® (milnacipran HCI),Program Description,Provides additional information and terms about the SAVELLA Savings Program.,M,1,Informational content with structured layout.,https://www.savella.com/savella-savingscard,program_description,Program terms,Ensure clarity and compliance with legal standards.
Savings Program | SAVELLA® (milnacipran HCI),Important Safety Information,Contains safety information and usage guidelines for SAVELLA.,M,1,Critical content requiring clear presentation.,https://www.savella.com/savella-savingscard,important_safety_information,Safety guidelines,Focus on readability and accessibility.
Savings Program | SAVELLA® (milnacipran HCI),Footer,Footer section with links to legal information and contact details.,S,1,Static content with basic styling.,https://www.savella.com/savella-savingscard,footer,Site footer,Ensure consistent styling with site theme.
Sign Up | SAVELLA® (milnacipran HCI),Utility Navigation,Provides quick access to important links such as prescribing information and medication guide.,S,1,Simple navigation links without advanced interactivity.,https://www.savella.com/sign-up,utility_navigation,Utility strip,No exact match found in the catalog.
Sign Up | SAVELLA® (milnacipran HCI),Primary Navigation,"Main site navigation with links to key sections like Fibromyalgia Basics, Why SAVELLA, and Savings & Resources.",M,1,Includes hierarchical navigation structure.,https://www.savella.com/sign-up,primary_navigation,Main navigation,No exact match found in the catalog.
Sign Up | SAVELLA® (milnacipran HCI),Hero Section,Prominent section with a background image and introductory text about SAVELLA.,M,1,Requires styling for large images and text positioning.,https://www.savella.com/sign-up,hero_section,Hero,Matched to catalog entry for Hero block.
Sign Up | SAVELLA® (milnacipran HCI),Sign Up Form,Two-column layout with information about SAVELLA on the left and a sign-up form on the right.,C,1,Involves form handling and validations.,https://www.savella.com/sign-up,signup_columns,Form layout,Matched to catalog entry for Form block.
Sign Up | SAVELLA® (milnacipran HCI),Important Safety Information,Displays critical safety information and usage details for SAVELLA.,M,1,Content-heavy section requiring precise styling.,https://www.savella.com/sign-up,isi_section,Safety information,No exact match found in the catalog.
Sign Up | SAVELLA® (milnacipran HCI),Footer,"Contains site-wide links such as Medication Guide, Privacy Notice, and Contact Us.",M,1,Includes links and styling for global footer.,https://www.savella.com/sign-up,footer,Footer,Matched to catalog entry for Footer block.
Sign Up | SAVELLA® (milnacipran HCI),Back to Top Button,Allows users to quickly return to the top of the page.,S,1,Simple interactive button functionality.,https://www.savella.com/sign-up,back_to_top,Utility button,No exact match found in the catalog.
Search Results,Global Utility Navigation,Provides quick access to important links such as prescribing information and medication guides.,M,1,Includes navigation elements with potential accessibility requirements.,https://www.savella.com/search-results,global_utility_navigation,Utility strip,No exact match in catalog.
Search Results,Primary Header,"Contains the main branding, logo, and primary navigation for the site.",C,1,Complex navigation and branding elements require detailed implementation.,https://www.savella.com/search-results,primary_header,Main navigation,No exact match in catalog.
Search Results,Main Navigation,The main site navigation menu allowing access to major site sections.,C,1,Deep navigation with multiple levels and accessibility features.,https://www.savella.com/search-results,main_navigation,Primary navigation,No exact match in catalog.
Search Results,Hero Section,Prominent section at the top of the page designed to draw attention to key content.,M,1,Uses CSS for positioning and styling of a large image and heading.,https://www.savella.com/search-results,hero_section,Hero image with headline,Mapped to 'Hero'.
Search Results,Important Safety Information,Displays critical safety and usage information for the product.,M,1,Requires compliance with regulatory standards and clear presentation.,https://www.savella.com/search-results,important_safety_information,Safety block,No exact match in catalog.
Search Results,Footer Section,"Contains site-wide links, legal information, and branding.",S,1,Basic styling and content rendering.,https://www.savella.com/search-results,footer_section,Footer links,Mapped to 'Footer'.
Search Results,Back to Top Button,Provides a quick way to scroll back to the top of the page.,S,1,Simple functionality with minimal styling.,https://www.savella.com/search-results,back_to_top_button,Scroll utility,No exact match in catalog.
Search Results,Modal Dialog,Displays additional information or actions in a modal overlay.,M,1,Requires CSS for appearance and JavaScript for interactivity.,https://www.savella.com/search-results,modal_dialog,Information overlay,Mapped to 'Modal'.
Homepage | SAVELLA® (milnacipran HCI),Global Utility Navigation,Provides quick access to important links such as prescribing information and medication guide.,S,1,Simple link-based navigation with minimal interactive elements.,https://www.savella.com/,global_utility_navigation,Utility strip,No direct catalog match found.
Homepage | SAVELLA® (milnacipran HCI),Primary Navigation,Main site navigation for accessing different sections of the website.,M,1,Hierarchical navigation with submenus and accessibility considerations.,https://www.savella.com/,primary_navigation,Main navigation,No direct catalog match found.
Homepage | SAVELLA® (milnacipran HCI),Hero Section,Prominent section introducing SAVELLA and its benefits for fibromyalgia.,M,1,Positioning and styling for a prominent visual section with potential dynamic content.,https://www.savella.com/,hero_section,Hero,Mapped to catalog entry for Hero block.
Homepage | SAVELLA® (milnacipran HCI),CTA Tiles,"Displays call-to-action tiles for understanding fibromyalgia, learning about SAVELLA, and savings.",M,1,Interactive tiles with potential links and hover effects.,https://www.savella.com/,cta_tiles,Call-to-action tiles,No direct catalog match found.
Homepage | SAVELLA® (milnacipran HCI),Signup Section,"Encourages users to sign up for updates, answers, and support.",M,1,Form-based user interaction with potential validation and data handling.,https://www.savella.com/,signup_section,Signup form,No direct catalog match found.
Homepage | SAVELLA® (milnacipran HCI),Important Safety Information,Provides detailed safety information and usage instructions for SAVELLA.,S,1,Static content display with minimal interactivity.,https://www.savella.com/,important_safety_information,Safety information,No direct catalog match found.
Homepage | SAVELLA® (milnacipran HCI),Footer,"Contains links to medication guide, prescribing information, site map, and about AbbVie.",M,1,Fragment-based footer with styling and accessibility considerations.,https://www.savella.com/,footer,Footer,Mapped to catalog entry for Footer block.
Why SAVELLA® | SAVELLA (milnacipran HCI),Global Utility Navigation,Provides quick access to prescribing information and medication guides.,S,1,Simple navigation links with minimal interactivity.,https://www.savella.com/why-savella,global_utility_navigation,Utility strip,No exact match found in the catalog.
Why SAVELLA® | SAVELLA (milnacipran HCI),Primary Header,Displays the main navigation and branding for the website.,M,1,Includes branding and primary navigation with dropdowns.,https://www.savella.com/why-savella,primary_header,Main navigation,No exact match found in the catalog.
Why SAVELLA® | SAVELLA (milnacipran HCI),Hero Section,Highlights the main message and purpose of the page with a prominent banner.,M,1,Prominent visual and text elements requiring responsive design.,https://www.savella.com/why-savella,hero_section,Hero banner,Matched to 'Hero' block in the catalog.
Why SAVELLA® | SAVELLA (milnacipran HCI),Save on Savella CTA,Encourages users to learn about savings options for Savella.,S,1,Single call-to-action with minimal interactivity.,https://www.savella.com/why-savella,save_on_savella_cta,Call-to-action,No exact match found in the catalog.
Why SAVELLA® | SAVELLA (milnacipran HCI),Why Savella Section,Explains the benefits and purpose of Savella.,M,1,Content-heavy section with structured layout.,https://www.savella.com/why-savella,why_savella_section,Informational content,No exact match found in the catalog.
Why SAVELLA® | SAVELLA (milnacipran HCI),Efficacy & Results Section,Details the clinical efficacy and results of Savella.,M,1,Requires structured data presentation.,https://www.savella.com/why-savella,efficacy_results_section,Clinical data,No exact match found in the catalog.
Why SAVELLA® | SAVELLA (milnacipran HCI),Taking Savella Section,Provides information on how to take Savella and what to expect.,M,1,Informative section with potential interactive elements.,https://www.savella.com/why-savella,taking_savella_section,Guidance content,No exact match found in the catalog.
Why SAVELLA® | SAVELLA (milnacipran HCI),Available Dosing Section,Explains the dosing options available for Savella.,M,1,Requires clear and structured content presentation.,https://www.savella.com/why-savella,available_dosing_section,Dosing information,No exact match found in the catalog.
Why SAVELLA® | SAVELLA (milnacipran HCI),Continuing Treatment Section,Offers guidance on continuing treatment with Savella.,M,1,Content-heavy section with potential for interactive guidance.,https://www.savella.com/why-savella,continuing_treatment_section,Treatment guidance,No exact match found in the catalog.
Why SAVELLA® | SAVELLA (milnacipran HCI),Remember Savella Section,Tips for remembering to take Savella regularly.,S,1,Simple tips section with minimal interactivity.,https://www.savella.com/why-savella,remember_savella_section,Reminder content,No exact match found in the catalog.
Why SAVELLA® | SAVELLA (milnacipran HCI),Most Common Side Effects Section,Lists the common side effects of taking Savella.,M,1,Requires clear presentation of medical information.,https://www.savella.com/why-savella,most_common_side_effects_section,Side effects list,No exact match found in the catalog.
Fibromyalgia Basics,Global Utility Navigation,Provides quick access to utility links such as prescribing information and medication guides.,M,1,Accessibility features and external links handling.,https://www.savella.com/fibromyalgia-basics,global_utility_navigation,Utility Navigation,Could include accessibility enhancements.
