Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Eczema HQ: An Information Hub About Eczema,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,1,Minimal scope with basic links and navigation.,https://www.eczemaheadquarters.com/,global_utility_strip,Utility strip,No exact match in AEM catalog.
Eczema HQ: An Information Hub About Eczema,Primary Header,Displays the site's branding and main navigation.,M,1,"Includes branding and navigation, requiring moderate interaction design.",https://www.eczemaheadquarters.com/,primary_header,Main navigation,Mapped to 'Header' block in AEM catalog.
Eczema HQ: An Information Hub About Eczema,Mega Navigation,Contains the primary navigation menu with expandable sections.,C,1,Complex navigation structure with expandable sections and deep linking.,https://www.eczemaheadquarters.com/,mega_navigation,Expandable menu,No exact match in AEM catalog.
Eczema HQ: An Information Hub About Eczema,Footer Section,Provides site-wide links and information at the bottom of the page.,M,1,Includes structured layout and multiple link categories.,https://www.eczemaheadquarters.com/,footer_section,Site footer,Mapped to 'Footer' block in AEM catalog.
Sign Up for Updates | Eczema HQ,Utility Navigation,Provides global links and utilities like search and user account options.,S,1,Simplistic header utility strip without deep interactions.,https://www.eczemaheadquarters.com/sign-up,global_utility_navigation,Utility strip,No matching AEM catalog entry found for this block.
Sign Up for Updates | Eczema HQ,Primary Navigation,Main site navigation menu with links to major sections.,M,1,Includes dropdown menus and hierarchical navigation structure.,https://www.eczemaheadquarters.com/sign-up,primary_navigation,Main navigation,No matching AEM catalog entry found for this block.
Search Results,Global Utility Strip,Provides access to global utilities such as contact and subscription.,M,1,Includes multiple utility links and potential accessibility considerations.,https://www.eczemaheadquarters.com/search-results,global_utility_strip,Utility strip,Could not find a direct match in the catalog.
Search Results,Primary Navigation,Serves as the main navigation menu for the site.,C,1,Deep navigation hierarchy and potential dynamic behavior.,https://www.eczemaheadquarters.com/search-results,primary_navigation,Main navigation,Could not find a direct match in the catalog.
Search Results,Search Bar,Provides a search feature for the website.,M,1,Includes search input and results handling.,https://www.eczemaheadquarters.com/search-results,search_bar,Search input,Mapped to the 'Search' block in the catalog.
Search Results,Hero Section,Highlights the main feature of the page with a visual component.,M,1,Includes media and text styling.,https://www.eczemaheadquarters.com/search-results,hero_section,Hero banner,Mapped to the 'Hero' block in the catalog.
Search Results,Footer Links,Displays footer links and resources.,M,1,Includes structured link groups and styling.,https://www.eczemaheadquarters.com/search-results,footer_links,Footer content,Mapped to the 'Footer' block in the catalog.
Search Results,Back to Top Button,Allows users to quickly navigate back to the top of the page.,S,1,Simple functionality with limited styling needs.,https://www.eczemaheadquarters.com/search-results,back_to_top,Scroll button,Could not find a direct match in the catalog.
Search Results,Modal Windows,Displays modal dialogs for additional information or actions.,M,1,Requires dynamic behavior and styling.,https://www.eczemaheadquarters.com/search-results,modal_windows,Interactive modal,Mapped to the 'Modal' block in the catalog.
Eczema and Related Conditions | Eczema HQ,Utility Navigation,Provides utility links for contact and subscriptions.,S,1,Simple navigation links without dynamic elements.,https://www.eczemaheadquarters.com/understanding-eczema/eczema-comorbidities,global_utility_strip,Utility strip,No matching catalog block found.
Eczema and Related Conditions | Eczema HQ,Main Navigation,Main navigation menu with dropdowns.,M,1,Dropdown navigation requires moderate complexity.,https://www.eczemaheadquarters.com/understanding-eczema/eczema-comorbidities,primary_navigation,Primary navigation,No matching catalog block found.
Eczema and Related Conditions | Eczema HQ,Hero Section,Lead section presenting page title and imagery.,S,1,Basic hero section with image and heading.,https://www.eczemaheadquarters.com/understanding-eczema/eczema-comorbidities,hero_section,Hero with image,Matched to 'Hero' in catalog.
Eczema and Related Conditions | Eczema HQ,Introduction Text,Introductory text for the page topic.,S,1,Static text content with basic styling.,https://www.eczemaheadquarters.com/understanding-eczema/eczema-comorbidities,intro_text,Page intro,No matching catalog block found.
Eczema and Related Conditions | Eczema HQ,Atopic March Highlight,Highlights related conditions in a styled container.,M,1,Requires styling for visual emphasis.,https://www.eczemaheadquarters.com/understanding-eczema/eczema-comorbidities,atopic_march_conditions,Condition highlight,No matching catalog block found.
Eczema and Related Conditions | Eczema HQ,Mental Health Info,Discusses mental health impacts and provides resources.,M,1,Content section with potential links or resources.,https://www.eczemaheadquarters.com/understanding-eczema/eczema-comorbidities,mental_health_section,Informational section,No matching catalog block found.
Eczema and Related Conditions | Eczema HQ,Recommended Topics,Displays links to related topics for further reading.,S,1,Static links with basic styling.,https://www.eczemaheadquarters.com/understanding-eczema/eczema-comorbidities,recommended_topics,Topic links,No matching catalog block found.
The Seven Types of Eczema | Eczema HQ,Global Utility Strip,"Provides access to global utilities like contact, subscribe, and group sites.",M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.eczemaheadquarters.com/about-eczema/types-of-eczema,global_utility_strip,default,templateIds: tpl_4
The Seven Types of Eczema | Eczema HQ,Primary Navigation,Main navigation menu for the website.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.eczemaheadquarters.com/about-eczema/types-of-eczema,primary_navigation,default,templateIds: tpl_4
The Seven Types of Eczema | Eczema HQ,Hero Section,The hero section introduces the page with a title and image.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.eczemaheadquarters.com/about-eczema/types-of-eczema,hero_section,default,templateIds: tpl_4
The Seven Types of Eczema | Eczema HQ,Eczema Details,Detailed information about the types of eczema.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.eczemaheadquarters.com/about-eczema/types-of-eczema,eczema_details,default,templateIds: tpl_4
The Seven Types of Eczema | Eczema HQ,Email Signup,Section for users to sign up for email updates and receive a magazine.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.eczemaheadquarters.com/about-eczema/types-of-eczema,email_signup,default,templateIds: tpl_4
