Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Savings Program | Lo Loestrin® Fe,Utility Navigation,"Provides quick access to important links such as risk information, patient information, and prescribing information.",S,1,Simple navigation links without complex interactivity.,https://www.loloestrin.com/savings-card,global_utility_navigation,Utility strip,Could consider mapping to a navigation block type if applicable.
Savings Program | Lo Loestrin® Fe,Primary Navigation,Main site navigation providing access to key sections of the website.,M,1,Includes hierarchical navigation and dropdowns.,https://www.loloestrin.com/savings-card,primary_navigation,Main navigation,Ensure dropdown functionality is accessible and responsive.
Savings Program | Lo Loestrin® Fe,Hero Banner,Prominent introductory section highlighting the savings program.,S,1,Static content with basic styling.,https://www.loloestrin.com/savings-card,hero_banner,Promotional hero,Ensure the banner is visually prominent and meets accessibility standards.
Savings Program | Lo Loestrin® Fe,Savings Information,"Details about the savings program, including benefits and eligibility.",M,1,Informational content requiring clear layout.,https://www.loloestrin.com/savings-card,savings_information,Program details,Consider modularizing for updates.
Savings Program | Lo Loestrin® Fe,Call to Action,Encourages users to sign up for the savings program via text or online registration.,S,1,Simple interactivity with links or buttons.,https://www.loloestrin.com/savings-card,call_to_action,Signup prompt,Ensure the CTA is visually distinct and actionable.
Savings Program | Lo Loestrin® Fe,Additional Savings Information,Provides further details on savings eligibility and support for processing issues.,S,1,Static informational content.,https://www.loloestrin.com/savings-card,additional_savings_info,Eligibility details,Ensure content clarity and accessibility.
Savings Program | Lo Loestrin® Fe,Questions Section,Answers common questions about the savings program and provides contact information.,M,1,Requires clear layout and potential interactivity for FAQs.,https://www.loloestrin.com/savings-card,questions_section,FAQ module,Consider collapsible sections for usability.
Savings Program | Lo Loestrin® Fe,Important Safety Information,Displays critical safety and risk information about the product.,M,1,Content must be prominent and meet regulatory requirements.,https://www.loloestrin.com/savings-card,important_safety_information,Safety notice,Ensure compliance with legal standards.
Savings Program | Lo Loestrin® Fe,Footer Links,"Contains links to site map, accessibility statement, contact information, and legal notices.",S,1,Static footer links.,https://www.loloestrin.com/savings-card,footer_links,Footer navigation,Ensure accessibility and responsiveness.
Savings Program | Lo Loestrin® Fe,Back to Top Button,Provides a button for users to quickly return to the top of the page.,S,1,Simple interactive button.,https://www.loloestrin.com/savings-card,back_to_top_button,Utility button,Ensure the button is accessible and visible.
Keeping Your Routine Between the Seasons,Global Utility Strip,"Provides quick access to important links such as risk information, patient information, and healthcare professional resources.",M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.loloestrin.com/get-the-facts/keeping-your-routine-between-the-seasons,global_utility_strip,default,templateIds: tpl_1
Keeping Your Routine Between the Seasons,Primary Navigation,Main site navigation providing access to key sections of the website.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.loloestrin.com/get-the-facts/keeping-your-routine-between-the-seasons,primary_navigation,default,templateIds: tpl_1
Keeping Your Routine Between the Seasons,Hero Section,Prominent feature section with background image and introductory content.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.loloestrin.com/get-the-facts/keeping-your-routine-between-the-seasons,hero_section,default,templateIds: tpl_1
Keeping Your Routine Between the Seasons,Content Columns,Three-column layout showcasing key information and tips.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.loloestrin.com/get-the-facts/keeping-your-routine-between-the-seasons,content_columns,default,templateIds: tpl_1
Keeping Your Routine Between the Seasons,Important Safety Information,Contains critical safety and risk information for the product.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.loloestrin.com/get-the-facts/keeping-your-routine-between-the-seasons,important_safety_information,default,templateIds: tpl_1
Keeping Your Routine Between the Seasons,Footer,"Footer section with links to site map, accessibility statement, and other legal information.",M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.loloestrin.com/get-the-facts/keeping-your-routine-between-the-seasons,footer,default,templateIds: tpl_1
