Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
DURYSTA® (bimatoprost intracameral implant) | Patient Website,Site Header,Displays the header area including navigation and branding.,M,1,Includes navigation and potential dynamic elements.,https://www.durysta.com/,header_chrome,Combined header,Ensure proper alignment with site branding guidelines.,screenshots/blocks/header_chrome__default.png
DURYSTA® (bimatoprost intracameral implant) | Patient Website,Main Content Area,Displays primary content for the page.,M,1,Contains structured text and images.,https://www.durysta.com/,main_region_0,Hero banner,Consider accessibility for text overlay on images.,screenshots/blocks/main_region_0__default.png
DURYSTA® (bimatoprost intracameral implant) | Patient Website,Secondary Content Area,Provides additional content and links.,M,1,Includes interactive elements like links.,https://www.durysta.com/,main_region_1,Action cards,Ensure responsive behavior for card layouts.,screenshots/blocks/main_region_1__default.png
DURYSTA® (bimatoprost intracameral implant) | Patient Website,Savings Program Section,Highlights savings programs and eligibility.,M,1,Includes links and structured program details.,https://www.durysta.com/,main_region_2,Information section,Ensure clarity in eligibility criteria presentation.,screenshots/blocks/main_region_2__default.png
DURYSTA® (bimatoprost intracameral implant) | Patient Website,Eligibility Criteria Section,Lists criteria for program qualification.,M,1,Structured content with potential interactivity.,https://www.durysta.com/,main_region_3,List section,Ensure content is easy to scan and understand.,screenshots/blocks/main_region_3__default.png
DURYSTA® (bimatoprost intracameral implant) | Patient Website,Terms and Conditions Section,Displays terms and conditions for programs.,M,1,Contains legal and detailed information.,https://www.durysta.com/,main_region_4,Legal section,Ensure compliance with legal presentation standards.,screenshots/blocks/main_region_4__default.png
About Durysta,Page Header,Displays site-wide navigation and branding.,S,1,Standard header implementation with navigation links.,https://www.durysta.com/about,header,Main navigation,Uses fragment for dynamic content.,screenshots/blocks/header__default.png
About Durysta,Hero Section,Highlights the main page message with a large image and headline.,M,3,"Requires CSS for positioning and styling, and JS for potential animations.",https://www.durysta.com/about,hero_section,Page introduction,Focuses on visual appeal and engagement.,screenshots/blocks/hero_section__default.png
About Durysta,Non-Drop Treatment,Provides details about the non-drop treatment option with visual support.,M,1,"Combines text, images, and layout adjustments.",https://www.durysta.com/about,non_drop_section,Informational section,Potential for custom styling.,screenshots/blocks/non_drop_section__default.png
About Durysta,Testimonials Section,Showcases user testimonials in a structured format.,M,1,Includes table layout and potential multimedia integration.,https://www.durysta.com/about,testimonial_section,User feedback,Could involve dynamic content fetching.,screenshots/blocks/testimonial_section__default.png
About Durysta,Why Consider DURYSTA,Details benefits and reasons to consider the product.,M,1,Combines multimedia and text for persuasive content.,https://www.durysta.com/about,why_consider_section,Informational section,Requires careful layout and styling.,screenshots/blocks/why_consider_section__default.png
About Durysta,Action Cards,Provides actionable links for further exploration.,M,2,Uses card layout for responsiveness and interactivity.,https://www.durysta.com/about,action_cards_section,Call-to-action,Encourages user engagement with product-related actions.,screenshots/blocks/action_cards_section__default.png
About Durysta,ISI Fragment,Displays Important Safety Information dynamically.,S,4,Uses a fragment for compliance-related content.,https://www.durysta.com/about,isi_fragment,Compliance information,Ensures legal and medical adherence.,screenshots/blocks/isi_fragment__default.png
About Durysta,Page Footer,Displays additional links and information site-wide.,S,1,Standard footer implementation.,https://www.durysta.com/about,footer,Utility footer,Uses fragment for dynamic content.,screenshots/blocks/footer__default.png
Sitemap,Primary Header,Displays the primary header with navigation and branding.,M,1,"Includes navigation and branding elements, requiring integration.",https://www.durysta.com/sitemap,primary_header,Main navigation,Matches AEM Header block.,screenshots/blocks/primary_header__default.png
Sitemap,Sitemap Title,Displays the main title of the sitemap page.,S,1,Simple text display without additional functionality.,https://www.durysta.com/sitemap,sitemap_title,Page title,No exact match in AEM catalog.,screenshots/blocks/sitemap_title__default.png
Sitemap,Sitemap Links,Lists sitemap links for navigation.,M,1,Requires structured link rendering.,https://www.durysta.com/sitemap,sitemap_links,Link list,No exact match in AEM catalog.,screenshots/blocks/sitemap_links__default.png
Sitemap,Primary Footer,Displays the primary footer with navigation and legal information.,M,1,Includes navigation and legal elements.,https://www.durysta.com/sitemap,primary_footer,Footer navigation,Matches AEM Footer block.,screenshots/blocks/primary_footer__default.png
Talk With Your Doctor,Introduction Text,Provides introductory text and context.,S,1,Basic text content with minimal styling.,https://www.durysta.com/talk-with-your-doctor,intro_text,Introductory Content,Verify alignment with the page's overall theme.,screenshots/blocks/intro_text__default.png
Talk With Your Doctor,Three Card Grid,Displays a grid of three cards with images and descriptions.,M,1,Requires responsive grid layout and styling.,https://www.durysta.com/talk-with-your-doctor,three_card_grid,Three-Card Layout,Ensure images and text are accessible and optimized for various devices.,screenshots/blocks/three_card_grid__default.png
Talk With Your Doctor,FAQ Section,Lists frequently asked questions with answers.,M,1,Involves collapsible or interactive elements for user engagement.,https://www.durysta.com/talk-with-your-doctor,faq_section,FAQ List,Consider dynamic loading for expanded answers.,screenshots/blocks/faq_section__default.png
Talk With Your Doctor,Action Cards,Displays cards with action-oriented links.,M,1,Requires integration of links and potential hover effects.,https://www.durysta.com/talk-with-your-doctor,action_cards,Action-Oriented Cards,Ensure links are clearly distinguishable and accessible.,screenshots/blocks/action_cards__default.png
Why Durysta,People Who Section,Highlights the types of people who may benefit from DURYSTA with images and descriptions.,M,1,Multiple cards with images and text.,https://www.durysta.com/why-durysta,people_who_section,Informational cards,Utilizes a responsive grid layout for cards.,screenshots/blocks/people_who_section__default.png
Why Durysta,Video Cards Section,Displays video links and descriptions about patient experiences with DURYSTA.,M,1,Video embedding and card layout.,https://www.durysta.com/why-durysta,video_cards_section,Video cards,Integrates video links within card elements.,screenshots/blocks/video_cards_section__default.png
