Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Utility Navigation,Provides access to site-wide utility links.,S,1,Basic navigation without complex interactivity.,https://www.hepc.com/how-hep-c-transmitted,global_utility_strip,Utility strip,No direct catalog match found.
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Primary Navigation,Main navigation for accessing key site sections.,M,1,Includes dropdowns and hierarchical navigation.,https://www.hepc.com/how-hep-c-transmitted,primary_navigation,Main navigation,No direct catalog match found.
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Hero Section,Prominent introductory section with title and background.,M,1,Requires responsive design and visual prominence.,https://www.hepc.com/how-hep-c-transmitted,hero_section,Hero banner,Matched to Hero block in AEM catalog.
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Breadcrumb Navigation,Displays user's location in site hierarchy.,S,1,Simple navigation aid without interactive features.,https://www.hepc.com/how-hep-c-transmitted,breadcrumb_navigation,Breadcrumb,No direct catalog match found.
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Content Introduction,Introduces the main content topic.,S,1,Straightforward text presentation.,https://www.hepc.com/how-hep-c-transmitted,main_content_intro,Introductory text,No direct catalog match found.
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Icon Grid,Visual representation of transmission methods.,M,1,Includes multiple icons and descriptions.,https://www.hepc.com/how-hep-c-transmitted,icon_grid_spread,Grid layout,No direct catalog match found.
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Fact Section,Highlights key facts about the topic.,S,1,Text-based content display.,https://www.hepc.com/how-hep-c-transmitted,fact_section,Fact highlights,No direct catalog match found.
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Testing Recommendations,Provides information on testing for Hepatitis C.,S,1,Informative text section.,https://www.hepc.com/how-hep-c-transmitted,testing_recommendations,Testing info,No direct catalog match found.
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Risk Factors,Outlines risk factors for Hepatitis C.,S,1,Simple text presentation.,https://www.hepc.com/how-hep-c-transmitted,risk_factors,Risk outline,No direct catalog match found.
How is Hepatitis C Transmitted &amp; Who is at Risk for it?,Statistics Section,Displays statistical data about Hepatitis C.,M,1,May include charts or dynamic data.,https://www.hepc.com/how-hep-c-transmitted,statistics_section,Statistics display,No direct catalog match found.
