Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Homepage | INFeD® (iron dextran injection),Global Utility Navigation,Provides quick access links for healthcare professionals and prescribing information.,S,4,Limited scope with simple links and navigation.,https://www.infed.com/,global_utility_navigation,Utility strip,No direct match found in the AEM catalog.,screenshots/blocks/global_utility_navigation__default.png
Homepage | INFeD® (iron dextran injection),Primary Navigation,Main site navigation for exploring key sections.,M,2,Includes hierarchical navigation with potential accessibility considerations.,https://www.infed.com/,primary_navigation,Main navigation,No direct match found in the AEM catalog.,screenshots/blocks/primary_navigation__default.png
Homepage | INFeD® (iron dextran injection),Hero Section,Displays the main message and image about INFeD.,M,6,Requires image and text alignment with responsive design.,https://www.infed.com/,hero_section,Hero with image and text,Mapped to Hero block from the catalog.,screenshots/blocks/hero_section__default.png
Homepage | INFeD® (iron dextran injection),Iron Deficiency Card,Highlights information about iron deficiency and anemia.,S,1,Simple card layout with text and image.,https://www.infed.com/,iron_deficiency_card,Single card,Mapped to Cards block from the catalog.,screenshots/blocks/iron_deficiency_card__default.png
Homepage | INFeD® (iron dextran injection),Why INFeD Card,Explains the benefits of INFeD.,S,1,Simple card layout with text and image.,https://www.infed.com/,why_infed_card,Single card,Mapped to Cards block from the catalog.,screenshots/blocks/why_infed_card__default.png
Homepage | INFeD® (iron dextran injection),Dosing & Administration Card,Provides details on dosing recommendations.,S,1,Simple card layout with text and image.,https://www.infed.com/,dosing_administration_card,Single card,Mapped to Cards block from the catalog.,screenshots/blocks/dosing_administration_card__default.png
Homepage | INFeD® (iron dextran injection),Access & Coverage Card,Shares information about insurance coverage.,S,1,Simple card layout with text and image.,https://www.infed.com/,access_coverage_card,Single card,Mapped to Cards block from the catalog.,screenshots/blocks/access_coverage_card__default.png
Homepage | INFeD® (iron dextran injection),Important Safety Information,Displays critical safety and usage information.,M,4,Requires structured layout for legal and safety content.,https://www.infed.com/,important_safety_information,Safety information display,No direct match found in the AEM catalog.,screenshots/blocks/important_safety_information__default.png
Homepage | INFeD® (iron dextran injection),Footer,"Contains site-wide links such as References, Sitemap, and Contact Us.",S,3,Standard footer with links and basic styling.,https://www.infed.com/,footer,Footer with links,Mapped to Footer block from the catalog.,screenshots/blocks/footer__default.png
Why INFeD,Primary Header,"Displays the main branding, logo, and primary navigation.",C,4,"Includes branding, dynamic navigation, and accessibility features.",https://www.infed.com/why-infed,primary_header,Main Navigation,No exact match found in catalog.,screenshots/blocks/primary_header__default.png
Why INFeD,Call-to-Action Section,Provides actionable links for users to explore more about INFeD.,M,1,Includes interactive elements for user engagement.,https://www.infed.com/why-infed,cta_section,Call-to-Action,No exact match found in catalog.,screenshots/blocks/cta_section__default.png
