Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
efficacy-disease-severity,Disease Severity Tabs,Provides interactive tabs for displaying disease severity subgroup data.,M,1,Interactive behavior and subgroup-specific data rendering.,https://www.oriahnnhcp.com/clinical-trial-data/efficacy-disease-severity,tabs_disease_severity,Disease Severity Subgroups,Supports multiple tabs for subgroup data organization.
efficacy-disease-severity,Patient Demographics Tabs,Offers tabs for displaying patient demographic subgroup data.,M,1,Interactive behavior and subgroup-specific data rendering.,https://www.oriahnnhcp.com/clinical-trial-data/efficacy-disease-severity,tabs_patient_demographics,Patient Demographics Subgroups,Organizes demographic data into interactive sections.
efficacy-disease-severity,Fibroid Location Chart,Displays data on fibroid location and its impact on clinical outcomes.,C,1,Custom chart rendering and clinical data visualization.,https://www.oriahnnhcp.com/clinical-trial-data/efficacy-disease-severity,chart_fibroid_location,Clinical Outcomes Visualization,Requires tailored chart implementation.
efficacy-disease-severity,Primary Fibroid Volume Chart,Visualizes primary fibroid volume data and its clinical correlations.,C,1,Custom chart rendering and clinical data visualization.,https://www.oriahnnhcp.com/clinical-trial-data/efficacy-disease-severity,chart_primary_fibroid_volume,Clinical Outcomes Visualization,Requires tailored chart implementation.
efficacy-disease-severity,Uterine Volume Chart,Illustrates uterine volume data and its relation to clinical outcomes.,C,1,Custom chart rendering and clinical data visualization.,https://www.oriahnnhcp.com/clinical-trial-data/efficacy-disease-severity,chart_uterine_volume,Clinical Outcomes Visualization,Requires tailored chart implementation.
efficacy-disease-severity,MBL Volume Chart,Charts menstrual blood loss volume and its clinical impacts.,C,1,Custom chart rendering and clinical data visualization.,https://www.oriahnnhcp.com/clinical-trial-data/efficacy-disease-severity,chart_mbl_volume,Clinical Outcomes Visualization,Requires tailored chart implementation.
efficacy-disease-severity,BMI Chart,Depicts body mass index categories and their clinical correlations.,C,1,Custom chart rendering and clinical data visualization.,https://www.oriahnnhcp.com/clinical-trial-data/efficacy-disease-severity,chart_bmi,Clinical Outcomes Visualization,Requires tailored chart implementation.
efficacy-disease-severity,Race Chart,Displays racial demographics and their clinical correlations.,C,1,Custom chart rendering and clinical data visualization.,https://www.oriahnnhcp.com/clinical-trial-data/efficacy-disease-severity,chart_race,Clinical Outcomes Visualization,Requires tailored chart implementation.
efficacy-disease-severity,Ethnicity Chart,Illustrates ethnicity demographics and their clinical impacts.,C,1,Custom chart rendering and clinical data visualization.,https://www.oriahnnhcp.com/clinical-trial-data/efficacy-disease-severity,chart_ethnicity,Clinical Outcomes Visualization,Requires tailored chart implementation.
efficacy-disease-severity,Age Chart,Visualizes age categories and their clinical correlations.,C,1,Custom chart rendering and clinical data visualization.,https://www.oriahnnhcp.com/clinical-trial-data/efficacy-disease-severity,chart_age,Clinical Outcomes Visualization,Requires tailored chart implementation.
efficacy-flexbox-hemoglobin,Hero Section,Displays a hero section with prominent visuals and messaging.,S,1,Standard styling and layout for hero sections.,https://www.oriahnnhcp.com/efficacy/efficacy-flexbox-hemoglobin,hero_section,Main visual introduction,Mapped based on exact catalog match.
efficacy-flexbox-hemoglobin,Efficacy Flexbox,Presents efficacy data in a flexbox layout.,M,1,Custom flexbox layout with comparison metrics.,https://www.oriahnnhcp.com/efficacy/efficacy-flexbox-hemoglobin,efficacy_flexbox,Data presentation,No matching catalog entry found.
efficacy-flexbox-hemoglobin,Important Safety Information,Provides critical safety information for product usage.,M,1,Detailed safety content requiring accessibility compliance.,https://www.oriahnnhcp.com/efficacy/efficacy-flexbox-hemoglobin,important_safety_information,Safety content,No matching catalog entry found.
efficacy-flexbox-hemoglobin,Footer Links,Displays footer navigation links.,S,1,Simple navigational links with basic styling.,https://www.oriahnnhcp.com/efficacy/efficacy-flexbox-hemoglobin,footer_links,Site navigation,Mapped based on exact catalog match.
efficacy-flexbox-hemoglobin,Back to Top Button,Enables users to navigate back to the top of the page.,S,1,Basic button functionality.,https://www.oriahnnhcp.com/efficacy/efficacy-flexbox-hemoglobin,back_to_top_button,Utility button,No matching catalog entry found.
safety-adverse-reactions-flexbox,Adverse Reactions Table,Displays a table summarizing adverse reactions data.,M,1,Includes tabular data with accessibility considerations.,https://www.oriahnnhcp.com/safety-adverse-reactions/safety-adverse-reactions-flexbox,adverse_reactions_table,Adverse reactions summary,Ensure table accessibility compliance.
safety-adverse-reactions-flexbox,Discontinuation Section,Highlights discontinuation rates and reasons.,M,1,Incorporates graphical data requiring accessibility and visual clarity.,https://www.oriahnnhcp.com/safety-adverse-reactions/safety-adverse-reactions-flexbox,discontinuation_section,Discontinuation rates analysis,Focus on visual representation and accessibility of charts.
safety-adverse-reactions-flexbox,Important Safety Information,Displays critical safety information about the product.,M,1,Involves legal and regulatory text requiring precise formatting.,https://www.oriahnnhcp.com/safety-adverse-reactions/safety-adverse-reactions-flexbox,important_safety_information,Safety information display,Ensure legal compliance and readability.
safety-adverse-reactions-flexbox,Footer,Contains footer links and legal information.,S,1,Basic styling and functionality for footer content.,https://www.oriahnnhcp.com/safety-adverse-reactions/safety-adverse-reactions-flexbox,footer,Footer section,Implement using predefined footer block specifications.
safety-adverse-reactions-flexbox,Back to Top Button,Provides a button to scroll back to the top of the page.,S,1,Simple functionality with minimal styling.,https://www.oriahnnhcp.com/safety-adverse-reactions/safety-adverse-reactions-flexbox,back_to_top_button,Scroll-to-top button,Ensure accessibility for keyboard and screen readers.
ORIAHNN® For Heavy Bleeding Due to Uterine Fibroids - Official HCP Site,Global Utility Strip,Provides quick access to important links such as safety information and prescribing details.,M,1,Includes navigation links with potential accessibility requirements.,https://www.oriahnnhcp.com/,global_utility_strip,Utility strip,No direct match found in the AEM catalog.
ORIAHNN® For Heavy Bleeding Due to Uterine Fibroids - Official HCP Site,Primary Navigation,Main site navigation allowing users to explore different sections of the website.,C,1,Complex hierarchical navigation with potential accessibility features.,https://www.oriahnnhcp.com/,primary_navigation,Main navigation,No direct match found in the AEM catalog.
ORIAHNN® For Heavy Bleeding Due to Uterine Fibroids - Official HCP Site,Hero Section,Highlights the main message and visual focus of the page.,M,1,Requires integration of visual elements and responsive design.,https://www.oriahnnhcp.com/,hero_section,Hero banner,Mapped to Hero block from AEM catalog.
ORIAHNN® For Heavy Bleeding Due to Uterine Fibroids - Official HCP Site,CTA Columns,Displays multiple CTAs to guide users to specific actions or information.,M,1,Involves multiple interactive elements and layout considerations.,https://www.oriahnnhcp.com/,cta_columns,Call-to-action grid,No direct match found in the AEM catalog.
ORIAHNN® For Heavy Bleeding Due to Uterine Fibroids - Official HCP Site,Important Safety Information,Provides critical safety information about the product.,M,1,Requires compliance with legal and accessibility standards.,https://www.oriahnnhcp.com/,important_safety_information,Safety information,No direct match found in the AEM catalog.
ORIAHNN® For Heavy Bleeding Due to Uterine Fibroids - Official HCP Site,Footer Links,Footer navigation providing links to safety information and prescribing details.,M,1,Includes navigation links and compliance-related content.,https://www.oriahnnhcp.com/,footer_links,Footer navigation,Mapped to Footer block from AEM catalog.
ORIAHNN® Contact a Rep - Official HCP Site,Utility Navigation,Provides links to important resources and external sites for quick access.,M,1,Includes accessibility considerations and multiple links.,https://www.oriahnnhcp.com/contact-a-rep,utility_navigation,Utility strip,No direct match found in catalog.
ORIAHNN® Contact a Rep - Official HCP Site,Primary Navigation,Main site navigation for accessing different sections of the website.,C,1,Deep navigation structure with accessibility requirements.,https://www.oriahnnhcp.com/contact-a-rep,primary_navigation,Main navigation,No direct match found in catalog.
ORIAHNN® Contact a Rep - Official HCP Site,Hero Section,Highlights the main purpose of the page with a prominent heading.,M,1,Includes a prominent heading and styling requirements.,https://www.oriahnnhcp.com/contact-a-rep,hero_section,Hero with image,Matches Hero block in catalog.
ORIAHNN® Contact a Rep - Official HCP Site,Contact Form,Allows users to fill out a form to contact a representative.,C,1,Form implementation with potential validation and submission handling.,https://www.oriahnnhcp.com/contact-a-rep,contact_form,Standard form,Matches Form block in catalog.
ORIAHNN® Contact a Rep - Official HCP Site,Important Safety Information,Displays critical safety information related to the product.,M,1,Critical content with specific formatting and visibility requirements.,https://www.oriahnnhcp.com/contact-a-rep,important_safety_information,Inline safety info,No direct match found in catalog.
ORIAHNN® Contact a Rep - Official HCP Site,Footer Links,Provides links to additional resources and legal information.,M,1,Includes multiple links and styling for legal information.,https://www.oriahnnhcp.com/contact-a-rep,footer_links,Footer with links,Matches Footer block in catalog.
