Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Durysta HCP,Utility Navigation,Provides utility links for quick access to prescribing information and the patient site.,M,1,"Involves accessibility features, multiple navigation layers, and external links.",https://www.durystahcp.com/,global_utility_navigation,Utility strip,Includes links for prescribing information and patient site navigation.
Durysta HCP,Primary Navigation,Facilitates primary site navigation for accessing main sections.,M,1,Requires deep navigation structure and accessibility compliance.,https://www.durystahcp.com/,primary_navigation,Main navigation,"Includes links to About DURYSTA, Clinical Data, and Resources."
Durysta HCP,Hero Section,Displays the main message and imagery for the homepage.,M,1,Involves large image handling and responsive layout design.,https://www.durystahcp.com/,hero_section,Hero banner,Features a visually prominent banner with key messaging.
Durysta HCP,Three Column CTA,Showcases three columns with images and text promoting key benefits.,M,1,Requires responsive design and alignment of columns with call-to-action elements.,https://www.durystahcp.com/,three_column_cta,Three-column layout,Highlights three distinct benefits or features.
Durysta HCP,Important Safety Information,Displays critical safety and usage information for DURYSTA.,M,1,Involves legal compliance and precise content rendering.,https://www.durystahcp.com/,isi_section,Safety information,Includes detailed safety information as a mandatory section.
Durysta HCP,Footer,"Provides site-wide links such as About AbbVie, Contact Us, and Privacy Notice.",M,1,Involves accessibility features and dynamic content inclusion.,https://www.durystahcp.com/,footer,Footer,Serves as the global footer for the website.
About Us Page,Background Image Section,Displays a background image for visual context and branding.,S,1,Basic background image rendering without interaction.,https://www.durystahcp.com/site-modols/aboutabbvie,background_image_section,Background visual context,No direct match found in the AEM catalog.
About Us Page,Image and Text Section,Combines an image with text content to convey a message or branding.,M,1,"Combines media and text, requiring layout coordination.",https://www.durystahcp.com/site-modols/aboutabbvie,image_text_section,Image with accompanying text,No direct match found in the AEM catalog.
About Us Page,Rich Text Section,Contains formatted text content for user information.,S,1,Formatted text rendering with minimal complexity.,https://www.durystahcp.com/site-modols/aboutabbvie,rich_text_section,Formatted text content,No direct match found in the AEM catalog.
About Us Page,CTA Button,Provides a call-to-action button for user interaction.,S,1,Simple interactive button functionality.,https://www.durystahcp.com/site-modols/aboutabbvie,cta_button,Interactive call-to-action,No direct match found in the AEM catalog.
Resources | DURYSTA®,Utility Navigation,Provides quick navigation links for professional resources.,M,1,Includes dynamic links and accessibility requirements.,https://www.durystahcp.com/resources,utility_navigation,Utility strip,No exact match in the AEM catalog.
Resources | DURYSTA®,Primary Navigation,"Main navigation for the website, guiding users through key sections.",C,1,Deep navigation hierarchy with potential accessibility and responsive design considerations.,https://www.durystahcp.com/resources,primary_navigation,Main navigation,No exact match in the AEM catalog.
Resources | DURYSTA®,Hero Section,Showcases the page's primary focus with a prominent visual and heading.,M,1,Integrates image and text with responsive and accessible design.,https://www.durystahcp.com/resources,hero_section,Prominent image and heading,Matched to the AEM catalog 'Hero' block.
Study Design Page,Study Design Rich Text Block,Displays detailed information about study design and efficacy endpoints.,M,1,Moderate complexity due to rich text formatting and potential for embedded references.,https://www.durystahcp.com/site-modols/study_design,study_design_rich_text,Detailed study content,No exact match found in the AEM blocks catalog.
Video Module,Video Player,Integrates a video player module for displaying patient testimonies.,M,1,Includes video functionality such as playback options and data attributes for analytics.,https://www.durystahcp.com/site-modols/patient-testimony-video,video_player_module,Patient testimony video display,Ensure compatibility with Brightcove integration and accessibility standards.
Video Module,Transcript Link,Provides a hyperlink to access the video transcript.,S,1,Simple hyperlink functionality for accessibility.,https://www.durystahcp.com/site-modols/patient-testimony-video,transcript_link,Transcript access,No direct match in catalog; consider custom implementation or extend existing block.
Training Module,Background Container,Provides the background image and styling for the training module page.,M,1,Background containers often involve responsive design considerations and accessibility for background images.,https://www.durystahcp.com/site-modols/trainingcta,background_container,Background Styling,Consider aligning with AEM standards for background components.
Training Module,Image and Text Section,"Displays an image with accompanying text, serving as a visual and informational element.",M,1,Combining images and text requires attention to layout and accessibility.,https://www.durystahcp.com/site-modols/trainingcta,image_text_section,Image with Text,Ensure image alt text and text readability are optimized.
Training Module,Rich Text Section,Contains and styles the central text content for the page.,S,1,Rich text sections are generally straightforward but require semantic HTML.,https://www.durystahcp.com/site-modols/trainingcta,rich_text_section,Text Content,Verify semantic structure and styling consistency.
Training Module,Call to Action Button,Provides a button for users to proceed to an external link.,S,1,CTA buttons are simple but must adhere to accessibility and link standards.,https://www.durystahcp.com/site-modols/trainingcta,cta_button,External Link Button,Ensure the button meets WCAG standards and includes proper ARIA roles.
Clinical Data | DURYSTA®,Utility Navigation,Provides quick access to utility links like prescribing information and safety information.,S,1,Straightforward navigation links without additional logic.,https://www.durystahcp.com/clinical-data,global_utility_navigation,Utility strip,No matching catalog entry found.
Clinical Data | DURYSTA®,Primary Navigation,Main site navigation menu for accessing key sections.,M,1,Includes hierarchical navigation and active state management.,https://www.durystahcp.com/clinical-data,primary_navigation,Main navigation,No matching catalog entry found.
Clinical Data | DURYSTA®,Hero Section,Displays the main headline and introductory content about DURYSTA's clinical data.,M,1,Requires visual styling and potential animation logic.,https://www.durystahcp.com/clinical-data,hero_section,Hero banner,Matched to catalog entry 'Hero'.
Clinical Data | DURYSTA®,Tabs Section,Provides tabbed navigation for detailed clinical study data.,M,1,Requires tabbed interface functionality and styling.,https://www.durystahcp.com/clinical-data,tabs_section,Tabbed navigation,Matched to catalog entry 'Tabs'.
Patient Site Module,Background Section,Provides a container with a background image for content.,M,1,Involves background image handling and layout.,https://www.durystahcp.com/site-modols/patient_site,background_section,Background image container,This block may require custom styling for responsiveness.
Patient Site Module,Image and Text Block,Displays an image alongside text content.,M,1,Combines image and text layout with responsive behavior.,https://www.durystahcp.com/site-modols/patient_site,image_text_block,Image-text alignment,Ensure accessibility for images and text.
Patient Site Module,Rich Text Content,Displays rich text with formatting options.,S,1,Simple text formatting and alignment.,https://www.durystahcp.com/site-modols/patient_site,rich_text_block,Centered text with bold formatting,Minimal interactivity required.
Patient Site Module,Call-to-Action Button,Provides a clickable button for user navigation.,S,1,Basic button functionality with external linking.,https://www.durystahcp.com/site-modols/patient_site,cta_button,Primary CTA button,Ensure proper aria-labels for accessibility.
Logo Module,Background Image Section,Provides visual branding or context with a background image.,S,1,Simple static background image with minimal interactivity.,https://www.durystahcp.com/site-modols/logo,background_image_section,Background Image,No direct match found in the AEM catalog.
Logo Module,Logo Display,Displays brand logo in adaptable resolutions.,S,1,Static image display with responsive behavior.,https://www.durystahcp.com/site-modols/logo,logo_display,Logo Presentation,No direct match found in the AEM catalog.
Logo Module,Rich Text Notice,Communicates a notice or message in styled text.,S,1,Simple text styling without dynamic behavior.,https://www.durystahcp.com/site-modols/logo,rich_text_notice,Notice Text,No direct match found in the AEM catalog.
Logo Module,CTA Button,Provides a call-to-action button linking externally.,S,1,Basic button functionality with external linking.,https://www.durystahcp.com/site-modols/logo,cta_button,Call-to-Action,No direct match found in the AEM catalog.
Reimbursement Module,Background Image Section,Displays a background image for enhanced visual context.,M,1,Includes background image handling and responsive design.,https://www.durystahcp.com/site-modols/reimbursementcta,background_image_section,Background image,Ensure image accessibility and responsive compatibility.
Reimbursement Module,Image Logo,Provides branding logo in multiple resolutions.,S,1,Simple image rendering for branding.,https://www.durystahcp.com/site-modols/reimbursementcta,image_logo,Logo display,Verify logo quality and alt text for accessibility.
Reimbursement Module,Rich Text Notice,Centers a notice to inform users about site navigation.,S,1,Straightforward text rendering and styling.,https://www.durystahcp.com/site-modols/reimbursementcta,rich_text_notice,Notice text,Ensure text is appropriately styled and accessible.
Reimbursement Module,Proceed CTA Button,Provides a call-to-action button for external navigation.,M,1,Interactive element with external link handling.,https://www.durystahcp.com/site-modols/reimbursementcta,proceed_cta_button,CTA button,Test link functionality and accessibility attributes.
Prescribing Info Module,Background Container,Provides a background container with an image for the module.,M,1,Includes background image handling and layout setup.,https://www.durystahcp.com/site-modols/prescibing_information,background_container,Background image layout,No exact match found in catalog.
Prescribing Info Module,Image and Text Component,Displays an image alongside associated text content.,M,1,Handles responsive image display and text integration.,https://www.durystahcp.com/site-modols/prescibing_information,image_text_component,Image-text combination,No exact match found in catalog.
Prescribing Info Module,Rich Text Content,Contains and styles text content for display.,S,1,Focuses on text styling and alignment.,https://www.durystahcp.com/site-modols/prescibing_information,rich_text_content,Styled text content,No exact match found in catalog.
Prescribing Info Module,Call-to-Action Button,Interactive button for user actions like downloads.,S,1,Simple button with a link and accessibility attributes.,https://www.durystahcp.com/site-modols/prescibing_information,cta_button,Download button,No exact match found in catalog.
Savings Program Module,Background Image Section,"Displays a background image for the module, providing visual context and branding.",S,1,Basic visual element with straightforward implementation.,https://www.durystahcp.com/site-modols/durysta-savings-program,background_image_section,Background Image,No direct match found in the AEM catalog.
Savings Program Module,Logo Image,Shows the Durysta logo in different resolutions for varying screen sizes.,S,1,Static image display with responsive behavior.,https://www.durystahcp.com/site-modols/durysta-savings-program,logo_image,Logo Display,No direct match found in the AEM catalog.
Savings Program Module,Rich Text Message,Presents a centered message informing the user about leaving the current site.,S,1,Simple text styling and positioning.,https://www.durystahcp.com/site-modols/durysta-savings-program,rich_text_message,Rich Text,No direct match found in the AEM catalog.
Savings Program Module,Proceed CTA,Provides a call-to-action button for users to proceed to the external savings program site.,S,1,Basic button element with external link functionality.,https://www.durystahcp.com/site-modols/durysta-savings-program,proceed_cta,Call-to-Action Button,No direct match found in the AEM catalog.
When to Use | DURYSTA®,Utility Navigation,Provides access to utility links like prescribing information and patient site.,S,1,Simple navigation links without advanced functionality.,https://www.durystahcp.com/when-to-use,global_utility_navigation,Utility strip,Includes links to prescribing information and patient site.
When to Use | DURYSTA®,Primary Navigation,Main navigation menu for accessing key site sections.,M,1,Requires handling of multiple links and active state management.,https://www.durystahcp.com/when-to-use,primary_navigation,Main navigation,Provides links to site sections like About DURYSTA and Resources.
When to Use | DURYSTA®,Hero Section,Highlights the main topic of the page with a prominent heading and supporting text.,S,1,Static content with basic styling.,https://www.durystahcp.com/when-to-use,hero_section,Hero banner,Includes a heading and supporting text to introduce the page topic.
When to Use | DURYSTA®,Safety Information,Displays critical safety information for the product.,M,1,Requires integration of detailed content and accessibility compliance.,https://www.durystahcp.com/when-to-use,important_safety_information,Safety notice,Content is crucial for compliance and user awareness.
When to Use | DURYSTA®,Footer Section,Contains links to additional information and site policies.,S,1,Static links and basic styling.,https://www.durystahcp.com/when-to-use,footer_section,Footer navigation,Includes links to policies and additional resources.
Do not publish,Utility Navigation,Provides quick access to essential links and information.,S,1,Basic navigation links without advanced features.,https://www.durystahcp.com/sitemap,global_utility_navigation,Utility navigation,Could not find exact match in catalog.
Do not publish,Primary Navigation,"Main navigation menu for the site, allowing users to explore key sections.",M,1,Main navigation typically includes dropdowns or hierarchical structures.,https://www.durystahcp.com/sitemap,primary_navigation,Main navigation,Could not find exact match in catalog.
Do not publish,Hero Section,Prominent section at the top of the page with a title and visual focus.,M,1,Hero sections often involve dynamic content or large media assets.,https://www.durystahcp.com/sitemap,hero_section,Hero,Could not find exact match in catalog.
Do not publish,Sitemap List,Displays a list of links representing the site's structure.,M,1,Requires structured data representation.,https://www.durystahcp.com/sitemap,sitemap_list,Sitemap,Could not find exact match in catalog.
Do not publish,Important Safety Information,Provides critical safety and usage information for the product.,M,1,Content may involve legal or compliance considerations.,https://www.durystahcp.com/sitemap,important_safety_information,Safety Information,Could not find exact match in catalog.
Do not publish,Footer Links,Contains links to additional information and policies.,M,1,Footer with structured links; may include dynamic loading.,https://www.durystahcp.com/sitemap,footer_links,Footer Links,Matched with 'Footer' block in catalog.
Do not publish,Footer Legal,Displays legal disclaimers and copyright information.,S,1,Static text content.,https://www.durystahcp.com/sitemap,footer_legal,Legal Footer,Could not find exact match in catalog.
Request a Rep,Utility Navigation,Provides quick access to important links and resources.,S,1,Limited functionality with basic link navigation.,https://www.durystahcp.com/site-modols/patientsite_requestrep,utility_navigation,Utility strip,No matching catalog entry.
Request a Rep,Primary Navigation,Main navigation for accessing different website sections.,M,1,Includes hierarchical navigation with multiple menu levels.,https://www.durystahcp.com/site-modols/patientsite_requestrep,primary_navigation,Main navigation,No matching catalog entry.
Request a Rep,Hero Section,Prominent section with background image and main message.,M,1,"Requires integration of image and text, with styling considerations.",https://www.durystahcp.com/site-modols/patientsite_requestrep,hero_section,Hero image with text,Mapped to Hero from the catalog.
Request a Rep,Rich Text Content,Displays formatted text content such as safety information.,S,1,Static content with basic styling.,https://www.durystahcp.com/site-modols/patientsite_requestrep,rich_text_content,Text block,No matching catalog entry.
Request a Rep,Call to Action Button,Encourages users to proceed to an external site or action.,S,1,Single button component with straightforward functionality.,https://www.durystahcp.com/site-modols/patientsite_requestrep,cta_button,Button,No matching catalog entry.
Request a Rep,Footer,"Contains site-wide links, legal information, and branding.",M,1,Requires integration of multiple links and branding elements.,https://www.durystahcp.com/site-modols/patientsite_requestrep,footer,Footer section,Mapped to Footer from the catalog.
Request a Rep,Modal Dialog,Interactive modal for user actions or notifications.,M,1,Interactive component requiring styling and JavaScript functionality.,https://www.durystahcp.com/site-modols/patientsite_requestrep,modal_dialog,Modal window,Mapped to Modal from the catalog.
Request a Rep,Safety Bar,Displays important safety information in a collapsible format.,M,1,Collapsible component with dynamic behavior.,https://www.durystahcp.com/site-modols/patientsite_requestrep,safety_bar,Collapsible safety info,No matching catalog entry.
Site Modals,Utility Navigation,Provides quick access to utility links for prescribing and safety information.,S,1,Minimal interactivity and static links.,https://www.durystahcp.com/site-modols,global_utility_navigation,Utility strip,May require accessibility validation for menu items.
Site Modals,Primary Navigation,Main site navigation for accessing primary sections.,M,1,Hierarchical structure and potential for dynamic updates.,https://www.durystahcp.com/site-modols,primary_navigation,Main navigation,Ensure responsive behavior for mobile navigation.
Site Modals,Hero Section,Highlights the main message or image of the page prominently.,M,1,Includes visual design and dynamic content.,https://www.durystahcp.com/site-modols,hero_section,Hero banner,Verify visual alignment and responsiveness.
Site Modals,Safety Information,Displays critical safety and usage information.,S,1,Static textual content.,https://www.durystahcp.com/site-modols,important_safety_information,Safety information,Ensure compliance with regulatory standards.
Site Modals,Footer Section,"Contains links to company information, policies, and terms.",S,1,Basic styling and link management.,https://www.durystahcp.com/site-modols,footer,Footer,Ensure consistent styling across pages.
Site Modals,Modal Dialogs,Interactive modal dialogs for user actions.,C,1,Requires scripting for interactivity and accessibility.,https://www.durystahcp.com/site-modols,modal_component,Modal windows,Test for accessibility and cross-browser compatibility.
Site Modals,Promotional Drawer,Provides information about patient savings.,M,1,Expandable component with dynamic content.,https://www.durystahcp.com/site-modols,promo_drawer,Promo drawer,Validate expand/collapse functionality.
Site Modals,Safety Bar,Expandable bar with safety information.,M,1,Interactive component with expand/collapse behavior.,https://www.durystahcp.com/site-modols,safety_bar,Safety bar,Ensure accessibility for toggling states.
Privacy Policy Page,Background Container,Displays a background image and contains additional content elements.,M,1,Background visuals with content layering.,https://www.durystahcp.com/site-modols/privacy-policy,background_container,Background image with content,Catalog did not provide a matching block.
Privacy Policy Page,Interactive Image,Shows an interactive image with hover effects.,M,1,Interactive and hover effects require advanced styling.,https://www.durystahcp.com/site-modols/privacy-policy,interactive_image,Hover effect image,Catalog did not provide a matching block.
Privacy Policy Page,Centered Rich Text,Displays centered rich text content.,S,1,Simple text formatting and alignment.,https://www.durystahcp.com/site-modols/privacy-policy,rich_text_centered,Centered text,Catalog did not provide a matching block.
Privacy Policy Page,Proceed Button CTA,Provides a call-to-action button to proceed to an external privacy policy page.,S,1,Basic button linking functionality.,https://www.durystahcp.com/site-modols/privacy-policy,cta_proceed_button,External CTA,Catalog did not provide a matching block.
Terms of Use Page,Background Container,Provides a visual background and layout.,S,1,Simple implementation; static background image.,https://www.durystahcp.com/site-modols/terms-of-use,background_container,Background with image,No matching block found in AEM catalog.
Terms of Use Page,Image and Text Section,Displays an image alongside text for emphasis.,M,1,Moderate complexity due to responsive image handling.,https://www.durystahcp.com/site-modols/terms-of-use,image_text_section,Image alongside text,No matching block found in AEM catalog.
Terms of Use Page,Rich Text Block,Styled text for user information.,S,1,Simple implementation; styled text only.,https://www.durystahcp.com/site-modols/terms-of-use,rich_text_block,Styled text content,No matching block found in AEM catalog.
Terms of Use Page,Call to Action,Provides a button for external navigation.,M,1,Moderate complexity due to interactive button functionality.,https://www.durystahcp.com/site-modols/terms-of-use,call_to_action,Button for external link,No matching block found in AEM catalog.
Frequently Asked Questions about DURYSTA® (bimatoprost intracameral implant) | HCP Site,Global Utility Navigation,Provides access to utility links like prescribing information and patient site.,M,1,Includes multiple links with accessibility requirements.,https://www.durystahcp.com/faq,global_utility_navigation,Utility strip,Ensure alignment with accessibility standards.
Frequently Asked Questions about DURYSTA® (bimatoprost intracameral implant) | HCP Site,Primary Navigation,Main navigation menu with links to major site sections.,M,1,Deep navigation structure with multiple levels.,https://www.durystahcp.com/faq,primary_navigation,Main navigation,Verify hierarchical navigation accessibility.
Frequently Asked Questions about DURYSTA® (bimatoprost intracameral implant) | HCP Site,Hero Section,Displays the main title and introduction for the FAQ page.,S,1,Simple static content display.,https://www.durystahcp.com/faq,hero_section,Hero banner,Ensure responsive design compatibility.
Frequently Asked Questions about DURYSTA® (bimatoprost intracameral implant) | HCP Site,FAQ Accordion,Interactive accordion for displaying FAQs.,M,1,Interactive elements requiring ARIA roles and states.,https://www.durystahcp.com/faq,faq_accordion,Accordion,Test for keyboard navigation support.
Frequently Asked Questions about DURYSTA® (bimatoprost intracameral implant) | HCP Site,Important Safety Information,Displays critical safety and usage information.,M,1,Legal and compliance requirements for content display.,https://www.durystahcp.com/faq,important_safety_information,Safety information,Confirm legal compliance and content accuracy.
