Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Women’s Health Featured Experts | Women’s Health Education | Digital OBGYN,Utility Navigation,Provides quick access to utility links such as contact options and professional resources.,M,5,Requires proper implementation of ARIA roles and keyboard navigation.,https://www.digitalobgyn.com/featured-experts,global_utility_navigation,Utility strip,Ensure links are accessible and properly labeled.,screenshots/blocks/global_utility_navigation__default.png
Women’s Health Featured Experts | Women’s Health Education | Digital OBGYN,Primary Navigation,Main site navigation for accessing primary sections.,C,7,Deep navigation structure with potential for dropdowns and complex interactions.,https://www.digitalobgyn.com/featured-experts,primary_navigation,Main navigation,Focus on responsive design and accessibility.,screenshots/blocks/primary_navigation__default.png
Women’s Health Featured Experts | Women’s Health Education | Digital OBGYN,Hero Section,Highlights the featured experts with a prominent banner and introduction text.,M,5,Includes large images and styled text requiring responsive design.,https://www.digitalobgyn.com/featured-experts,hero_section,Hero banner,Ensure image optimization and responsive scaling.,screenshots/blocks/hero_section__default.png
Women’s Health Featured Experts | Women’s Health Education | Digital OBGYN,Featured Experts Section,"Displays detailed information about the featured experts, including images, titles, and biographies.",M,1,Requires dynamic content loading and layout adjustments for various screen sizes.,https://www.digitalobgyn.com/featured-experts,featured_experts_section,Content listing,Focus on maintaining consistency in styling and layout.,screenshots/blocks/featured_experts_section__default.png
Women’s Health Featured Experts | Women’s Health Education | Digital OBGYN,Expert Accordion,Expandable content sections providing additional details about each expert.,M,1,Requires JavaScript for interactive functionality and CSS for transitions.,https://www.digitalobgyn.com/featured-experts,expert_accordion,Expandable content,Ensure smooth animations and accessibility compliance.,screenshots/blocks/expert_accordion__default.png
Women’s Health Featured Experts | Women’s Health Education | Digital OBGYN,Footer,Contains site-wide footer links and information.,S,5,Static content with basic styling.,https://www.digitalobgyn.com/featured-experts,footer,Footer,Ensure proper handling of links and copyright information.,screenshots/blocks/footer__default.png
Women’s Health Education | Digital OBGYN,Welcome Section,"Introduction to AbbVie Women’s Health with a heading, description, and a call-to-action button.",M,1,"Combines text, CTAs, and layout considerations.",https://www.digitalobgyn.com/,welcome_section,Introduction block,Custom layout and branding considerations.,screenshots/blocks/welcome_section__default.png
Women’s Health Education | Digital OBGYN,Endometriosis Resources,"Section highlighting resources and videos related to endometriosis, with images and CTAs.",M,2,Uses a card layout for resource presentation.,https://www.digitalobgyn.com/,endometriosis_resources,Resource cards,Requires dynamic content loading and responsive design.,screenshots/blocks/endometriosis_resources__default.png
Women’s Health Education | Digital OBGYN,Back to Top,Button allowing users to quickly navigate back to the top of the page.,S,1,Simple functionality with basic styling.,https://www.digitalobgyn.com/,back_to_top,Utility button,Ensure accessibility for screen readers and keyboard users.,screenshots/blocks/back_to_top__default.png
Educational Resources | Women’s Health Education | Digital OBGYN,Utility Navigation,Provides quick access to utility links such as contact and professional resources.,S,1,Simple navigation structure with limited links.,https://www.digitalobgyn.com/resources#patient-advocacy,global_utility_strip,Utility strip,Matches the header navigation component pattern.,screenshots/blocks/global_utility_strip__default.png
Educational Resources | Women’s Health Education | Digital OBGYN,Section Tabs Navigation,Allows users to navigate between different sections of the resource content.,M,3,Tab-based navigation with potential for dynamic content loading.,https://www.digitalobgyn.com/resources#patient-advocacy,section_navigation,Section tabs,Maps effectively to Tabs block for content organization.,screenshots/blocks/section_navigation__default.png
Educational Resources | Women’s Health Education | Digital OBGYN,Patient Advocacy Cards,Provides information and resources related to patient advocacy for endometriosis and uterine fibroids.,M,1,Card-based structure with multiple entries and possible integrations.,https://www.digitalobgyn.com/resources#patient-advocacy,patient_advocacy,Content cards,Utilizes Cards block for resource display.,screenshots/blocks/patient_advocacy__default.png
Educational Resources | Women’s Health Education | Digital OBGYN,Partnerships Cards,Details partnerships and collaborative efforts in women's health.,M,1,Card-based structure with multiple entries and possible integrations.,https://www.digitalobgyn.com/resources#patient-advocacy,partnerships_section,Content cards,Utilizes Cards block for resource display.,screenshots/blocks/partnerships_section__default.png
Site Map | Women’s Health Education | Digital OBGYN,Header Logo,Displays the logo with a link to the homepage.,S,1,Simple static image with link functionality.,https://www.digitalobgyn.com/sitemap,header_logo,Logo header,Verify responsive scaling and alt text.,screenshots/blocks/header_logo__default.png
Site Map | Women’s Health Education | Digital OBGYN,Sitemap Heading,Title for the sitemap section.,S,1,Static text heading.,https://www.digitalobgyn.com/sitemap,sitemap_heading,Heading,Ensure semantic heading structure.,screenshots/blocks/sitemap_heading__default.png
Site Map | Women’s Health Education | Digital OBGYN,Sitemap Links,List of links representing the site map.,M,1,Requires dynamic link generation and accessibility compliance.,https://www.digitalobgyn.com/sitemap,sitemap_links,Link list,Validate link accessibility and dynamic generation.,screenshots/blocks/sitemap_links__default.png
Site Map | Women’s Health Education | Digital OBGYN,Footer Links,Footer navigation links for additional resources.,M,1,Includes multiple links and accessibility considerations.,https://www.digitalobgyn.com/sitemap,footer_links,Footer navigation,Ensure consistent styling and accessibility compliance.,screenshots/blocks/footer_links__default.png
Site Map | Women’s Health Education | Digital OBGYN,Footer Legal Text,Displays legal disclaimers and copyright information.,S,1,Static text content.,https://www.digitalobgyn.com/sitemap,footer_legal_text,Legal footer,Verify legal compliance and responsive layout.,screenshots/blocks/footer_legal_text__default.png
