Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Hidradenitis Suppurativa (HS) Comorbidities,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",M,9,Includes multiple links and potential accessibility requirements.,https://www.hsdiseasesource.com/hs-comorbidities,global_utility_strip,Utility strip,No exact match found in the AEM catalog.,screenshots/blocks/global_utility_strip__default.png
Hidradenitis Suppurativa (HS) Comorbidities,Primary Navigation,Main navigation menu for the site.,C,10,Deep navigation structure with multiple levels and accessibility considerations.,https://www.hsdiseasesource.com/hs-comorbidities,primary_navigation,Main navigation,No exact match found in the AEM catalog.,screenshots/blocks/primary_navigation__default.png
Hidradenitis Suppurativa (HS) Comorbidities,Hero Section,Highlights the main theme or focus of the page with a large background image and heading.,M,16,Requires responsive design and proper image handling.,https://www.hsdiseasesource.com/hs-comorbidities,hero_section,Hero,Matched to the Hero block in the AEM catalog.,screenshots/blocks/hero_section__default.png
Hidradenitis Suppurativa (HS) Comorbidities,Breadcrumb Navigation,Displays the current page's location within the site's hierarchy.,S,12,Straightforward breadcrumb implementation.,https://www.hsdiseasesource.com/hs-comorbidities,breadcrumb_navigation,Breadcrumb,No exact match found in the AEM catalog.,screenshots/blocks/breadcrumb_navigation__default.png
Hidradenitis Suppurativa (HS) Comorbidities,Comorbidity Overview,Provides an overview of comorbidities associated with HS.,M,1,Contains detailed text and potential links.,https://www.hsdiseasesource.com/hs-comorbidities,comorbidity_overview,Overview,No exact match found in the AEM catalog.,screenshots/blocks/comorbidity_overview__default.png
Hidradenitis Suppurativa (HS) Comorbidities,Comorbidity Cards,Interactive cards highlighting different comorbidity categories.,C,1,Includes interactivity and potential dynamic content.,https://www.hsdiseasesource.com/hs-comorbidities,comorbidity_cards,Cards,Matched to the Cards block in the AEM catalog.,screenshots/blocks/comorbidity_cards__default.png
Hidradenitis Suppurativa (HS) Comorbidities,Callout Section,Emphasizes the importance of multidisciplinary collaboration for managing HS.,M,3,May include styled text and icons.,https://www.hsdiseasesource.com/hs-comorbidities,callout_section,Callout,No exact match found in the AEM catalog.,screenshots/blocks/callout_section__default.png
Hidradenitis Suppurativa (HS) Comorbidities,Did You Know Section,Highlights interesting facts or statistics about HS.,M,1,Involves styled content blocks.,https://www.hsdiseasesource.com/hs-comorbidities,did_you_know_section,Fact highlight,No exact match found in the AEM catalog.,screenshots/blocks/did_you_know_section__default.png
Hidradenitis Suppurativa (HS) Comorbidities,CTA Section,Encourages users to explore additional resources or related content.,M,4,Includes links and styled buttons.,https://www.hsdiseasesource.com/hs-comorbidities,cta_section,Call-to-action,No exact match found in the AEM catalog.,screenshots/blocks/cta_section__default.png
Hidradenitis Suppurativa (HS) Comorbidities,References Section,Lists references and citations for the information provided on the page.,S,3,Simple text listing.,https://www.hsdiseasesource.com/hs-comorbidities,references_section,References,No exact match found in the AEM catalog.,screenshots/blocks/references_section__default.png
Sitemap | HS Source,Global Utility Navigation,Provides access to global utilities like search and user account.,M,7,Includes interactive elements like search and user account access.,https://www.hsdiseasesource.com/sitemap,global_utility_navigation,Utility strip,No exact match found in AEM catalog.,screenshots/blocks/global_utility_navigation__default.png
Sitemap | HS Source,Sitemap Columns,Displays the sitemap links organized into columns.,M,1,Requires correct alignment and accessibility for multiple columns.,https://www.hsdiseasesource.com/sitemap,sitemap_columns,Sitemap display,No exact match found in AEM catalog.,screenshots/blocks/sitemap_columns__default.png
Sitemap | HS Source,Footer Section,Contains site-wide footer links and legal information.,M,5,Includes multiple links and styling for legal compliance.,https://www.hsdiseasesource.com/sitemap,footer_section,Footer,Matched to 'Footer' in AEM catalog.,screenshots/blocks/footer_section__default.png
home,Primary Header,Displays the main site logo and navigation menu.,M,8,Includes branding and primary navigation elements.,https://www.hsdiseasesource.com/,primary_header,Main navigation,Combines branding and navigation.,screenshots/blocks/primary_header__default.png
home,Mega Navigation,Provides dropdown navigation for site sections.,C,3,Complex menu system with multi-level dropdowns.,https://www.hsdiseasesource.com/,mega_navigation,Dropdown navigation,Requires advanced styling and interactivity.,screenshots/blocks/mega_navigation__default.png
home,Informational Section,Provides an overview of Hidradenitis Suppurativa.,S,2,Text-based informational content.,https://www.hsdiseasesource.com/,what_is_hs_section,Static content,May include basic styling.,screenshots/blocks/what_is_hs_section__default.png
home,Interactive Guide,Guides users to relevant HS information interactively.,M,2,Interactive elements guiding user navigation.,https://www.hsdiseasesource.com/,info_tree_section,Interactive tree,Requires scripting for interactivity.,screenshots/blocks/info_tree_section__default.png
home,Treatment Explorer,Interactive exploration of HS treatment options.,M,1,Interactive components with user input.,https://www.hsdiseasesource.com/,treatment_options_section,Interactive module,Potential for dynamic content updates.,screenshots/blocks/treatment_options_section__default.png
home,Image Gallery,Displays a gallery of images related to HS.,C,1,Image slider with navigation controls.,https://www.hsdiseasesource.com/,image_gallery,Image carousel,Requires responsive design and interactivity.,screenshots/blocks/image_gallery__default.png
home,Affected Areas Info,Explains common areas affected by HS.,S,2,Static content with basic styling.,https://www.hsdiseasesource.com/,where_hs_occurs_section,Informational static content,May include images or diagrams.,screenshots/blocks/where_hs_occurs_section__default.png
home,Footer,Contains site-wide footer links and information.,S,6,Standard footer implementation.,https://www.hsdiseasesource.com/,footer,Site footer,Includes links and basic styling.,screenshots/blocks/footer__default.png
Search Results | HS Source,Search Results,Displays search results dynamically.,C,1,Dynamic content loading and search term highlighting.,https://www.hsdiseasesource.com/search-results,search_results,Search results display,Mapped successfully to catalog.,screenshots/blocks/search_results__default.png
Search Results | HS Source,Back to Top Button,Provides quick navigation to the top of the page.,S,2,Simple functionality with minimal styling.,https://www.hsdiseasesource.com/search-results,back_to_top,Scroll to top button,No direct catalog match found.,screenshots/blocks/back_to_top__default.png
Search Results | HS Source,Modal Dialogs,Handles modal dialogs for user interactions.,M,1,Requires JavaScript for interactivity and CSS for styling.,https://www.hsdiseasesource.com/search-results,modal_dialogs,Interactive modal dialogs,Mapped successfully to catalog.,screenshots/blocks/modal_dialogs__default.png
Locate a Hidradenitis Suppurativa (HS) Specialist,Specialist Introduction,Introduces the importance of HS specialists and their role in managing the condition.,S,1,Simple text-based content.,https://www.hsdiseasesource.com/locate-an-hs-specialist,specialist_intro,Introductory text,Could not find a direct match in the catalog.,screenshots/blocks/specialist_intro__default.png
Locate a Hidradenitis Suppurativa (HS) Specialist,Locator Tool,Allows users to search for HS specialists by location and other filters.,C,1,Interactive tool with search and filter functionalities.,https://www.hsdiseasesource.com/locate-an-hs-specialist,locator_tool,Search tool,Could not find a direct match in the catalog.,screenshots/blocks/locator_tool__default.png
Locate a Hidradenitis Suppurativa (HS) Specialist,Locator Results,Displays the results of the specialist search in a list and map format.,C,1,Dynamic content display with map integration.,https://www.hsdiseasesource.com/locate-an-hs-specialist,locator_results,Search results,Could not find a direct match in the catalog.,screenshots/blocks/locator_results__default.png
Locate a Hidradenitis Suppurativa (HS) Specialist,Reference Section,Lists references and citations relevant to the content on the page.,S,1,Static text-based content.,https://www.hsdiseasesource.com/locate-an-hs-specialist,reference_section,References,Could not find a direct match in the catalog.,screenshots/blocks/reference_section__default.png
Hidradenitis Suppurativa (HS) Clinical Diagnosis Criteria,Main Content Introduction,Introduces the page content with an overview.,S,1,Static text content with minimal styling.,https://www.hsdiseasesource.com/hs-diagnosis-criteria,main_content_intro,Introduction text,Ensure proper alignment and spacing.,screenshots/blocks/main_content_intro__default.png
Hidradenitis Suppurativa (HS) Clinical Diagnosis Criteria,Additional Considerations,Provides extra diagnostic information and questions.,S,1,Static text content with minimal styling.,https://www.hsdiseasesource.com/hs-diagnosis-criteria,additional_considerations,Supplementary content,Ensure alignment with the main content layout.,screenshots/blocks/additional_considerations__default.png
home,Image Spread Section,Displays a spread of images related to HS conditions.,M,1,Image layout with potential responsive design.,https://www.hsdiseasesource.com/personalization,image_spread_section,Image gallery,No direct match found in catalog.,screenshots/blocks/image_spread_section__default.png
Hidradenitis Suppurativa (HS) Events and Organizations,Events Section,Highlights specific events related to Hidradenitis Suppurativa.,M,1,Dynamic content display for events.,https://www.hsdiseasesource.com/events-and-organizations,events_section,Event highlights,No matching catalog entry found.,screenshots/blocks/events_section__default.png
Hidradenitis Suppurativa (HS) Events and Organizations,Organizations Section,Lists organizations providing resources and information on HS.,M,1,Dynamic content listing functionality.,https://www.hsdiseasesource.com/events-and-organizations,organizations_section,Organization listing,No matching catalog entry found.,screenshots/blocks/organizations_section__default.png
Hidradenitis Suppurativa (HS) Events and Organizations,Resources Call-to-Action,Encourages users to explore educational and support resources.,S,1,Simple call-to-action functionality.,https://www.hsdiseasesource.com/events-and-organizations,resources_cta,CTA button,No matching catalog entry found.,screenshots/blocks/resources_cta__default.png
Hidradenitis Suppurativa (HS) Patient Resources,Introduction Text,Introduces the resources available for practice and patients.,S,1,Simple text content area.,https://www.hsdiseasesource.com/resources,intro_text,Text section,Could not map to a specific AEM catalog block.,screenshots/blocks/intro_text__default.png
Hidradenitis Suppurativa (HS) Patient Resources,Practice Resources,Lists resources and tools for clinical practice.,M,1,Requires structured display of multiple resources.,https://www.hsdiseasesource.com/resources,practice_resources,Resources list,Could not map to a specific AEM catalog block.,screenshots/blocks/practice_resources__default.png
Hidradenitis Suppurativa (HS) Patient Resources,Patient Resources,"Lists resources and tools for patients, including links to external sites.",M,1,Structured list with external links.,https://www.hsdiseasesource.com/resources,patient_resources,Resources list,Could not map to a specific AEM catalog block.,screenshots/blocks/patient_resources__default.png
Hidradenitis Suppurativa (HS) Patient Resources,Conversation Guides,Provides downloadable guides for patient conversations.,M,1,Downloadable content integration.,https://www.hsdiseasesource.com/resources,conversation_guides,Guides section,Could not map to a specific AEM catalog block.,screenshots/blocks/conversation_guides__default.png
Hidradenitis Suppurativa (HS) Patient Resources,Additional Resources,Highlights additional resources such as events and specialist locators.,M,1,Dynamic resource highlighting.,https://www.hsdiseasesource.com/resources,additional_resources,Additional resources,Could not map to a specific AEM catalog block.,screenshots/blocks/additional_resources__default.png
Hidradenitis Suppurativa (HS) Patient Resources,Footer Links,Displays links to important site sections and additional information.,S,2,Footer with standard links and styling.,https://www.hsdiseasesource.com/resources,footer_links,Footer,Mapped to the Footer block in the AEM catalog.,screenshots/blocks/footer_links__default.png
Hidradenitis Suppurativa (HS) Treatment Options,Content Columns,Main content displayed in a multi-column layout.,M,1,Responsive layout handling multiple columns.,https://www.hsdiseasesource.com/hs-treatment-options,content_columns,Multi-column layout,Adapts to different screen sizes using responsive design.,screenshots/blocks/content_columns__default.png
Hidradenitis Suppurativa (HS) Treatment Options,Info Tree Interaction,Interactive component for selecting treatment options.,C,1,Interactive component requiring user engagement and dynamic responses.,https://www.hsdiseasesource.com/hs-treatment-options,info_tree_interaction,Interactive selector,Provides an interactive interface for exploring options.,screenshots/blocks/info_tree_interaction__default.png
Hidradenitis Suppurativa (HS) Patient Support Team,Main Content Columns,Displays the main content in a multi-column layout.,M,2,Requires adaptive layouts and content alignment.,https://www.hsdiseasesource.com/multi-disciplinary-care-team,main_content_columns,Multi-column layout,Mapped to catalog entry 'Columns'.,screenshots/blocks/main_content_columns__default.png
Hidradenitis Suppurativa (HS) Patient Support Team,Role of Care Team Members,Details the responsibilities of various care team members.,S,1,Informational content without interactive elements.,https://www.hsdiseasesource.com/multi-disciplinary-care-team,role_of_care_team,Detailed content section,No exact catalog match found.,screenshots/blocks/role_of_care_team__default.png
Hidradenitis Suppurativa (HS) Signs and Symptoms,Clinical Presentation Section,Provides detailed information on the clinical presentation of HS.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.hsdiseasesource.com/hs-signs-and-symptoms,clinical_presentation_section,default,templateIds: tpl_12,screenshots/blocks/clinical_presentation_section__default.png
Hidradenitis Suppurativa (HS) Signs and Symptoms,Hotspot Tool,Interactive tool displaying common HS lesion locations.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.hsdiseasesource.com/hs-signs-and-symptoms,hotspot_tool,default,templateIds: tpl_12,screenshots/blocks/hotspot_tool__default.png
Hidradenitis Suppurativa (HS) Signs and Symptoms,Impact Statistics,Displays statistical data on the impact of HS.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.hsdiseasesource.com/hs-signs-and-symptoms,impact_statistics,default,templateIds: tpl_12,screenshots/blocks/impact_statistics__default.png
Hidradenitis Suppurativa (HS) Signs and Symptoms,Psychosocial Impact Section,Discusses the psychological and social effects of HS.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.hsdiseasesource.com/hs-signs-and-symptoms,psychosocial_impact,default,templateIds: tpl_12,screenshots/blocks/psychosocial_impact__default.png
Hidradenitis Suppurativa (HS) Signs and Symptoms,Quote Section,Features a quote from a healthcare professional about HS.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.hsdiseasesource.com/hs-signs-and-symptoms,quote_section,default,templateIds: tpl_12,screenshots/blocks/quote_section__default.png
Hidradenitis Suppurativa (HS) Signs and Symptoms,HS Diagnosis Quiz CTA,Encourages users to take a quiz related to HS diagnosis.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.hsdiseasesource.com/hs-signs-and-symptoms,quiz_cta,default,templateIds: tpl_12,screenshots/blocks/quiz_cta__default.png
Hidradenitis Suppurativa (HS) Disease Progression,Interactive Info Tree,Interactive component for selecting specialty-specific information.,C,1,Complex interactivity and data handling.,https://www.hsdiseasesource.com/hs-progression,info_tree,Interactive tree,No exact match found in the AEM catalog.,screenshots/blocks/info_tree__default.png
Hidradenitis Suppurativa (HS) Disease Progression,Tabs Component,Tabbed interface for viewing different content categories.,M,1,Requires dynamic content and interactivity.,https://www.hsdiseasesource.com/hs-progression,tabs_component,Tabs,Mapped to 'Tabs' block in AEM catalog.,screenshots/blocks/tabs_component__default.png
Hidradenitis Suppurativa (HS) Differential Diagnosis,Importance of Early Diagnosis,Highlights the significance of early diagnosis for HS.,S,1,Text-based content block.,https://www.hsdiseasesource.com/hs-differential-diagnosis,importance_of_early_diagnosis,Rich text,No exact match found in AEM catalog.,screenshots/blocks/importance_of_early_diagnosis__default.png
Hidradenitis Suppurativa (HS) Differential Diagnosis,HS Diagnosis Statistics,Provides statistical insights into HS diagnosis challenges.,M,1,Includes data visualization or structured content.,https://www.hsdiseasesource.com/hs-differential-diagnosis,hs_diagnosis_statistics,Statistics display,No exact match found in AEM catalog.,screenshots/blocks/hs_diagnosis_statistics__default.png
Hidradenitis Suppurativa (HS) Differential Diagnosis,Differential Diagnoses,Details various differential diagnoses for HS.,M,1,Structured content with potential interactivity.,https://www.hsdiseasesource.com/hs-differential-diagnosis,differential_diagnoses,Comparative cards,No exact match found in AEM catalog.,screenshots/blocks/differential_diagnoses__default.png
Hidradenitis Suppurativa (HS) Differential Diagnosis,Diagnosis Quiz,Interactive quiz to test knowledge on HS diagnosis.,C,1,Interactive component with user input and validation.,https://www.hsdiseasesource.com/hs-differential-diagnosis,diagnosis_quiz,Interactive quiz,No exact match found in AEM catalog.,screenshots/blocks/diagnosis_quiz__default.png
Hidradenitis Suppurativa (HS) Hurley Stages,Hurley Staging Introduction,Provides introductory text for the Hurley Staging System.,S,1,Static content with basic styling.,https://www.hsdiseasesource.com/hs-disease-staging,hurley_staging_intro,Rich text,No direct match found in the AEM catalog.,screenshots/blocks/hurley_staging_intro__default.png
Hidradenitis Suppurativa (HS) Hurley Stages,Hurley Staging Details,Detailed descriptions and visuals for Hurley Stages.,M,1,Includes images and text layout.,https://www.hsdiseasesource.com/hs-disease-staging,hurley_staging_details,Detailed content,No direct match found in the AEM catalog.,screenshots/blocks/hurley_staging_details__default.png
