Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
MAVYRET Nurse Ambassadors Support Patients Through Treatment,Utility Navigation,Provides quick access to utility links like contact and prescribing information.,S,1,Limited scope with basic link navigation.,https://www.mavyret.com/hcp/nurse-ambassador,global_utility_navigation,Utility strip,No direct match found in AEM catalog.
MAVYRET Nurse Ambassadors Support Patients Through Treatment,Primary Navigation,Main navigation for website sections.,M,1,Involves hierarchical link structures.,https://www.mavyret.com/hcp/nurse-ambassador,primary_navigation,Main navigation,No direct match found in AEM catalog.
MAVYRET Nurse Ambassadors Support Patients Through Treatment,Hero Section,Highlights the main message with a prominent heading and image.,M,1,Requires styling and asset integration.,https://www.mavyret.com/hcp/nurse-ambassador,hero_section,Hero banner,Mapped to catalog entry 'Hero'.
MAVYRET Nurse Ambassadors Support Patients Through Treatment,Indication Information,Displays detailed indication data for MAVYRET.,M,1,Structured content with regulatory considerations.,https://www.mavyret.com/hcp/nurse-ambassador,indication_section,Information block,No direct match found in AEM catalog.
MAVYRET Nurse Ambassadors Support Patients Through Treatment,Ambassador Support,Details support stages provided by Nurse Ambassadors.,M,1,Content depth and structured information.,https://www.mavyret.com/hcp/nurse-ambassador,nurse_ambassador_info,Support info,No direct match found in AEM catalog.
MAVYRET Nurse Ambassadors Support Patients Through Treatment,Enrollment Call-to-Action,Encourages enrollment in the Nurse Ambassador Program.,S,1,Simple CTA functionality.,https://www.mavyret.com/hcp/nurse-ambassador,enrollment_cta,Subscribe,No direct match found in AEM catalog.
MAVYRET Nurse Ambassadors Support Patients Through Treatment,Resources Call-to-Action,Directs users to additional resources for patient support.,S,1,Basic link to resources.,https://www.mavyret.com/hcp/nurse-ambassador,resources_cta,Subscribe,No direct match found in AEM catalog.
MAVYRET Nurse Ambassadors Support Patients Through Treatment,Safety Information,Displays critical safety warnings and information.,M,1,Regulatory content with high importance.,https://www.mavyret.com/hcp/nurse-ambassador,important_safety_information,Cookie preferences,No direct match found in AEM catalog.
MAVYRET Nurse Ambassadors Support Patients Through Treatment,Footer Links,Provides links to pages like privacy policy and contact information.,S,1,Standard footer functionality.,https://www.mavyret.com/hcp/nurse-ambassador,footer_links,Footer navigation,Mapped to catalog entry 'Footer'.
Liver Under Attack Transcript,Global Utility Navigation,"Provides quick access to key site sections and resources, such as cost savings and prescribing information.",M,1,Includes navigation elements with potential accessibility requirements.,https://www.mavyret.com/liver-under-attack-transcript,global_utility_navigation,Utility strip,Could benefit from additional investigation for a closer match.
Liver Under Attack Transcript,Primary Header,Contains the main branding and navigation elements of the site.,M,1,Complexity involves branding and primary navigation implementation.,https://www.mavyret.com/liver-under-attack-transcript,primary_header,Main navigation,Direct match with catalog header block.
Liver Under Attack Transcript,Hero Section,Highlights the main message or content of the page with a prominent heading.,M,1,Contains styled hero elements with large image and heading.,https://www.mavyret.com/liver-under-attack-transcript,hero_section,Hero banner,Direct match with catalog hero block.
Liver Under Attack Transcript,Transcript Content,Displays the main transcript content with text and dialogues.,S,1,Simple text content presentation.,https://www.mavyret.com/liver-under-attack-transcript,transcript_content,Text content,No direct match found; content is straightforward.
Liver Under Attack Transcript,Safety Considerations,Provides critical safety information related to the product.,M,1,Involves safety content that may require specific styling and compliance checks.,https://www.mavyret.com/liver-under-attack-transcript,safety_considerations,Safety information,No direct match found; may need a custom block.
Liver Under Attack Transcript,Important Safety Information,Details the most important safety information about the product.,M,1,Requires careful handling of compliance-sensitive content.,https://www.mavyret.com/liver-under-attack-transcript,important_safety_information,Safety details,No direct match found; content is compliance-critical.
Liver Under Attack Transcript,Footer Links,Contains links to additional resources and site sections.,M,1,Includes navigation and resource linking functionality.,https://www.mavyret.com/liver-under-attack-transcript,footer_links,Footer navigation,Direct match with catalog footer block.
Liver Under Attack Transcript,Legal Disclaimer,Displays copyright and legal information about the site.,S,1,Simple static content.,https://www.mavyret.com/liver-under-attack-transcript,legal_disclaimer,Legal text,No direct match found; content is straightforward.
"MAVYRET Cost, Savings Card and Insurance Information",Global Utility Navigation,"Provides quick access to utility links such as contact information, language options, and HCP resources.",M,1,Includes multiple interactive elements requiring accessibility compliance.,https://www.mavyret.com/cost,global_utility_navigation,Utility navigation,Consider splitting into sub-blocks if utility elements vary significantly.
"MAVYRET Cost, Savings Card and Insurance Information",Primary Navigation,Main site navigation for accessing primary sections of the website.,C,1,Deep navigation structure with potential dynamic content rendering.,https://www.mavyret.com/cost,primary_navigation,Main navigation,Ensure proper keyboard and screen reader support for nested menus.
"MAVYRET Cost, Savings Card and Insurance Information",Hero Section,Prominent section highlighting the main message or call-to-action of the page.,M,1,"Includes visual and text elements, possibly with animations.",https://www.mavyret.com/cost,hero_section,Hero banner,Optimize for responsiveness and accessibility.
"MAVYRET Cost, Savings Card and Insurance Information",Introduction Text,Provides an introductory explanation about the content and purpose of the page.,S,1,Simple text-based content.,https://www.mavyret.com/cost,intro_text,Introductory content,Ensure text styling matches design specifications.
"MAVYRET Cost, Savings Card and Insurance Information",Description Section,"Details about MAVYRET, including its use and benefits.",M,1,Combination of text and media elements.,https://www.mavyret.com/cost,description_section,Content description,Verify alignment with brand guidelines.
"MAVYRET Cost, Savings Card and Insurance Information",Cost Information,Breakdown of potential costs based on different insurance types.,C,1,Dynamic content based on insurance data.,https://www.mavyret.com/cost,cost_information,Cost breakdown,Ensure accurate data integration and updates.
"MAVYRET Cost, Savings Card and Insurance Information",Insurance Support,Information and support options for insurance coverage and financial assistance.,M,1,Includes static and potentially interactive elements.,https://www.mavyret.com/cost,insurance_support,Support information,Confirm content accuracy and clarity.
"MAVYRET Cost, Savings Card and Insurance Information",Savings Program,Details about the MAVYRET Savings Card and how it can reduce costs.,M,1,Integration of promotional and informational content.,https://www.mavyret.com/cost,savings_program,Savings details,Ensure compliance with promotional guidelines.
