Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Importance of a Dermatologist | psoriasisSPEAKS,Global Utility Navigation,Provides quick access to utility links and global site navigation.,M,5,Involves accessibility and navigation structure.,https://www.psoriasis.com/psoriasis-treatment-doctor/find-a-psoriasis-specialist,global_utility_navigation,Utility Navigation,No matching AEM block found in the catalog.,screenshots/blocks/global_utility_navigation__default.png
Importance of a Dermatologist | psoriasisSPEAKS,Primary Navigation,Main site navigation including links to major sections.,C,6,Deep navigation structure with multiple levels.,https://www.psoriasis.com/psoriasis-treatment-doctor/find-a-psoriasis-specialist,primary_navigation,Main Navigation,No matching AEM block found in the catalog.,screenshots/blocks/primary_navigation__default.png
Importance of a Dermatologist | psoriasisSPEAKS,Hero Section,Highlights the main topic or focus of the page with a prominent title.,M,7,Prominent visual element requiring careful design.,https://www.psoriasis.com/psoriasis-treatment-doctor/find-a-psoriasis-specialist,hero_section,Hero,No matching AEM block found in the catalog.,screenshots/blocks/hero_section__default.png
Importance of a Dermatologist | psoriasisSPEAKS,Main Content Columns,Displays the primary content of the page in a multi-column layout.,M,2,Requires responsive design and accessibility considerations.,https://www.psoriasis.com/psoriasis-treatment-doctor/find-a-psoriasis-specialist,main_content_columns,Content Layout,No matching AEM block found in the catalog.,screenshots/blocks/main_content_columns__default.png
Importance of a Dermatologist | psoriasisSPEAKS,Quick Poll,Interactive poll allowing users to provide feedback or input on a specific question.,M,2,Interactive component with user input handling.,https://www.psoriasis.com/psoriasis-treatment-doctor/find-a-psoriasis-specialist,quick_poll,Poll,No matching AEM block found in the catalog.,screenshots/blocks/quick_poll__default.png
Importance of a Dermatologist | psoriasisSPEAKS,Image and Text Block,Combines images and text to convey information visually and textually.,M,1,Requires integration of media and text content.,https://www.psoriasis.com/psoriasis-treatment-doctor/find-a-psoriasis-specialist,image_text_block,Composite Content,No matching AEM block found in the catalog.,screenshots/blocks/image_text_block__default.png
Importance of a Dermatologist | psoriasisSPEAKS,Video Player,Embedded video player for multimedia content.,C,1,Multimedia component with accessibility and playback considerations.,https://www.psoriasis.com/psoriasis-treatment-doctor/find-a-psoriasis-specialist,video_player,Video,No matching AEM block found in the catalog.,screenshots/blocks/video_player__default.png
Importance of a Dermatologist | psoriasisSPEAKS,Side Navigation,Provides links to related topics or sections for additional navigation.,M,1,Secondary navigation element with accessibility needs.,https://www.psoriasis.com/psoriasis-treatment-doctor/find-a-psoriasis-specialist,side_navigation,Side Navigation,No matching AEM block found in the catalog.,screenshots/blocks/side_navigation__default.png
Importance of a Dermatologist | psoriasisSPEAKS,Recommended Topics,Highlights additional topics and resources that may interest the user.,M,5,Requires dynamic content generation and user relevance.,https://www.psoriasis.com/psoriasis-treatment-doctor/find-a-psoriasis-specialist,recommended_topics,Topic Recommendations,No matching AEM block found in the catalog.,screenshots/blocks/recommended_topics__default.png
Symptoms Quiz Thank You Page,Thank You Message,Communicates the successful completion of the quiz and provides next steps.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.psoriasis.com/about-psoriasis/symptoms-quiz/results,thank_you_message,default,templateIds: tpl_1,screenshots/blocks/thank_you_message__default.png
Symptoms Quiz Thank You Page,Footer Navigation,Provides links to various sections of the site in the footer.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.psoriasis.com/about-psoriasis/symptoms-quiz/results,footer_navigation,default,templateIds: tpl_1,screenshots/blocks/footer_navigation__default.png
Types of Psoriasis |psoriasisSPEAKS,Introductory Content,Provides an introduction and overview of the topic discussed on the page.,S,1,Static text content without interactive elements.,https://www.psoriasis.com/about-psoriasis/psoriasis-types,intro_content,Text overview,No direct match in catalog.,screenshots/blocks/intro_content__default.png
