Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Productive Conversation With A Rheumatologist Transcript,Utility Navigation,Provides quick access to utility links and social media.,S,7,Simple navigation links with limited depth.,https://www.ra.com/rheumatoid-arthritis-resources/patient-stories/convo-with-rheum-transcript,global_utility_navigation,Utility strip,No matching block found in AEM catalog.,screenshots/blocks/global_utility_navigation__default.png
Productive Conversation With A Rheumatologist Transcript,Primary Navigation,Main site navigation menu.,M,9,Includes nested navigation levels requiring careful implementation.,https://www.ra.com/rheumatoid-arthritis-resources/patient-stories/convo-with-rheum-transcript,primary_navigation,Main navigation,No matching block found in AEM catalog.,screenshots/blocks/primary_navigation__default.png
Productive Conversation With A Rheumatologist Transcript,Hero Section,Highlights the main topic with a title and video.,M,10,"Requires integration of title, video, and responsive styling.",https://www.ra.com/rheumatoid-arthritis-resources/patient-stories/convo-with-rheum-transcript,hero_section,Hero with video,Mapped to 'Hero' block in AEM catalog.,screenshots/blocks/hero_section__default.png
Productive Conversation With A Rheumatologist Transcript,Breadcrumb Navigation,Displays the user's current location within the site.,S,9,Simple breadcrumb trail for navigation context.,https://www.ra.com/rheumatoid-arthritis-resources/patient-stories/convo-with-rheum-transcript,breadcrumb_navigation,Breadcrumb trail,No matching block found in AEM catalog.,screenshots/blocks/breadcrumb_navigation__default.png
Productive Conversation With A Rheumatologist Transcript,Main Content Columns,Presents the main content in a structured column layout.,M,3,Requires layout optimization for responsive design.,https://www.ra.com/rheumatoid-arthritis-resources/patient-stories/convo-with-rheum-transcript,main_content_columns,Column layout,No matching block found in AEM catalog.,screenshots/blocks/main_content_columns__default.png
Productive Conversation With A Rheumatologist Transcript,Video Player,Embedded video player for content consumption.,M,1,Integration of video playback and accessibility features.,https://www.ra.com/rheumatoid-arthritis-resources/patient-stories/convo-with-rheum-transcript,video_player,Embedded video,Mapped to 'Video' block in AEM catalog.,screenshots/blocks/video_player__default.png
Productive Conversation With A Rheumatologist Transcript,Rich Text Content,Displays rich text content with bold highlights.,S,2,Basic text formatting and content presentation.,https://www.ra.com/rheumatoid-arthritis-resources/patient-stories/convo-with-rheum-transcript,rich_text_content,Text block,No matching block found in AEM catalog.,screenshots/blocks/rich_text_content__default.png
Productive Conversation With A Rheumatologist Transcript,Recommended Topics,Provides links to related topics and resources.,S,1,Simple list of links with minimal styling.,https://www.ra.com/rheumatoid-arthritis-resources/patient-stories/convo-with-rheum-transcript,recommended_topics,Related links,No matching block found in AEM catalog.,screenshots/blocks/recommended_topics__default.png
Productive Conversation With A Rheumatologist Transcript,Footer Links,Contains links to important site resources and policies.,S,6,Standard footer implementation with links.,https://www.ra.com/rheumatoid-arthritis-resources/patient-stories/convo-with-rheum-transcript,footer_links,Footer,Mapped to 'Footer' block in AEM catalog.,screenshots/blocks/footer_links__default.png
Productive Conversation With A Rheumatologist Transcript,Social Media Links,Links to social media profiles.,S,1,Simple external links to social media pages.,https://www.ra.com/rheumatoid-arthritis-resources/patient-stories/convo-with-rheum-transcript,social_media_links,Social links,No matching block found in AEM catalog.,screenshots/blocks/social_media_links__default.png
Understanding Rheumatoid Arthritis (RA) Treatment Options,Call-to-Action Section,Encourages user actions like taking surveys or exploring resources.,S,7,Simple button or link-based call-to-action.,https://www.ra.com/rheumatoid-arthritis-treatment/ra-treatments-explained,cta_section,Subscribe,No direct match in catalog.,screenshots/blocks/cta_section__default.png
Understanding Rheumatoid Arthritis (RA) Treatment Options,Content Columns,Displays detailed content in a multi-column layout.,M,1,Requires responsive design for column layouts.,https://www.ra.com/rheumatoid-arthritis-treatment/ra-treatments-explained,content_columns,Multi-column layout,No direct match in catalog.,screenshots/blocks/content_columns__default.png
Understanding Rheumatoid Arthritis (RA) Treatment Options,Video Section,Provides video content to engage users with multimedia.,C,4,Includes multimedia embedding and performance optimization.,https://www.ra.com/rheumatoid-arthritis-treatment/ra-treatments-explained,video_section,Video player,Matched to 'Video' block in catalog.,screenshots/blocks/video_section__default.png
Understanding Rheumatoid Arthritis (RA) Treatment Options,Quote Section,Highlights quotes from experts or testimonials.,S,1,Simple styling for text and quotation marks.,https://www.ra.com/rheumatoid-arthritis-treatment/ra-treatments-explained,quote_section,Testimonial,Matched to 'Quote' block in catalog.,screenshots/blocks/quote_section__default.png
