Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Women’s Health Featured Experts | Women’s Health Education | Digital OBGYN,Utility Navigation,Provides quick access to utility links such as contact options and professional resources.,M,1,Requires proper implementation of ARIA roles and keyboard navigation.,https://www.digitalobgyn.com/featured-experts,global_utility_navigation,Utility strip,Ensure links are accessible and properly labeled.
Women’s Health Featured Experts | Women’s Health Education | Digital OBGYN,Primary Navigation,Main site navigation for accessing primary sections.,C,1,Deep navigation structure with potential for dropdowns and complex interactions.,https://www.digitalobgyn.com/featured-experts,primary_navigation,Main navigation,Focus on responsive design and accessibility.
Women’s Health Featured Experts | Women’s Health Education | Digital OBGYN,Hero Section,Highlights the featured experts with a prominent banner and introduction text.,M,1,Includes large images and styled text requiring responsive design.,https://www.digitalobgyn.com/featured-experts,hero_section,Hero banner,Ensure image optimization and responsive scaling.
Women’s Health Featured Experts | Women’s Health Education | Digital OBGYN,Featured Experts Section,"Displays detailed information about the featured experts, including images, titles, and biographies.",M,1,Requires dynamic content loading and layout adjustments for various screen sizes.,https://www.digitalobgyn.com/featured-experts,featured_experts_section,Content listing,Focus on maintaining consistency in styling and layout.
Women’s Health Featured Experts | Women’s Health Education | Digital OBGYN,Expert Accordion,Expandable content sections providing additional details about each expert.,M,1,Requires JavaScript for interactive functionality and CSS for transitions.,https://www.digitalobgyn.com/featured-experts,expert_accordion,Expandable content,Ensure smooth animations and accessibility compliance.
Women’s Health Featured Experts | Women’s Health Education | Digital OBGYN,Footer,Contains site-wide footer links and information.,S,1,Static content with basic styling.,https://www.digitalobgyn.com/featured-experts,footer,Footer,Ensure proper handling of links and copyright information.
Women’s Health Education | Digital OBGYN,Utility Navigation,Provides quick access to utility links such as 'Contact My MSL' and 'Patient Advocacy'.,M,1,Includes accessibility considerations for navigation and menu handling.,https://www.digitalobgyn.com/,global_utility_navigation,Utility strip,Accessible navigation ensures usability for all users.
Women’s Health Education | Digital OBGYN,Primary Navigation,"Main navigation menu for the site, including links to key sections like 'Endometriosis' and 'Resources'.",C,1,Deep navigation with multiple levels and responsive design.,https://www.digitalobgyn.com/,primary_navigation,Main navigation,Requires careful hierarchy and menu accessibility implementation.
Women’s Health Education | Digital OBGYN,Hero Section,"Prominent section with a large heading and description, introducing the site's purpose and main content.",M,1,Includes large-scale visuals and dynamic content.,https://www.digitalobgyn.com/,hero_section,Hero image with text,Focus on impactful presentation and responsive design.
Women’s Health Education | Digital OBGYN,Welcome Section,"Introduction to AbbVie Women’s Health with a heading, description, and a call-to-action button.",M,1,"Combines text, CTAs, and layout considerations.",https://www.digitalobgyn.com/,welcome_section,Introduction block,Custom layout and branding considerations.
