Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Savings Program | SAVELLA® (milnacipran HCI),Utility Navigation,Provides quick access to critical links like prescribing information.,S,2,Minimal interactivity and static content.,https://www.savella.com/savella-savingscard,utility_navigation,Utility strip,May require accessibility validation for navigation links.,screenshots/blocks/utility_navigation__default.png
Savings Program | SAVELLA® (milnacipran HCI),Primary Navigation,Main navigation menu for site sections.,C,3,Deep navigation structure with multiple levels.,https://www.savella.com/savella-savingscard,primary_navigation,Main navigation,Ensure comprehensive accessibility compliance.,screenshots/blocks/primary_navigation__default.png
Savings Program | SAVELLA® (milnacipran HCI),Hero Section,Displays a prominent hero section with page title and introductory description.,M,8,Includes styling and layout for prominent display.,https://www.savella.com/savella-savingscard,hero_section,Hero banner,Focus on responsive design and visual hierarchy.,screenshots/blocks/hero_section__default.png
Savings Program | SAVELLA® (milnacipran HCI),Savings Program Section,Details about the SAVELLA Savings Program and a sign-up form.,C,1,Form integration and dynamic content.,https://www.savella.com/savella-savingscard,savings_program_section,Program details,May require custom implementation for form handling.,screenshots/blocks/savings_program_section__default.png
Savings Program | SAVELLA® (milnacipran HCI),Program Description,Provides additional information and terms about the SAVELLA Savings Program.,M,1,Informational content with structured layout.,https://www.savella.com/savella-savingscard,program_description,Program terms,Ensure clarity and compliance with legal standards.,screenshots/blocks/program_description__default.png
Savings Program | SAVELLA® (milnacipran HCI),Important Safety Information,Contains safety information and usage guidelines for SAVELLA.,M,4,Critical content requiring clear presentation.,https://www.savella.com/savella-savingscard,important_safety_information,Safety guidelines,Focus on readability and accessibility.,screenshots/blocks/important_safety_information__default.png
Savings Program | SAVELLA® (milnacipran HCI),Footer,Footer section with links to legal information and contact details.,S,5,Static content with basic styling.,https://www.savella.com/savella-savingscard,footer,Site footer,Ensure consistent styling with site theme.,screenshots/blocks/footer__default.png
Sign Up | SAVELLA® (milnacipran HCI),Sign Up Form,Two-column layout with information about SAVELLA on the left and a sign-up form on the right.,C,1,Involves form handling and validations.,https://www.savella.com/sign-up,signup_columns,Form layout,Matched to catalog entry for Form block.,screenshots/blocks/signup_columns__default.png
Sign Up | SAVELLA® (milnacipran HCI),Important Safety Information,Displays critical safety information and usage details for SAVELLA.,M,1,Content-heavy section requiring precise styling.,https://www.savella.com/sign-up,isi_section,Safety information,No exact match found in the catalog.,screenshots/blocks/isi_section__default.png
Sign Up | SAVELLA® (milnacipran HCI),Back to Top Button,Allows users to quickly return to the top of the page.,S,1,Simple interactive button functionality.,https://www.savella.com/sign-up,back_to_top,Utility button,No exact match found in the catalog.,screenshots/blocks/back_to_top__default.png
Search Results,Global Utility Navigation,Provides quick access to important links such as prescribing information and medication guides.,M,6,Includes navigation elements with potential accessibility requirements.,https://www.savella.com/search-results,global_utility_navigation,Utility strip,No exact match in catalog.,screenshots/blocks/global_utility_navigation__default.png
