Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
"RINVOQ® (upadacitinib) for RA, PsA, AD, AS, nr-axSpA, UC, CD, pJIA &amp; JPsA",Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/,header_utility_strip,default,templateIds: tpl_0
"RINVOQ® (upadacitinib) for RA, PsA, AD, AS, nr-axSpA, UC, CD, pJIA &amp; JPsA",Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/,header_primary_navigation,default,templateIds: tpl_0
"RINVOQ® (upadacitinib) for RA, PsA, AD, AS, nr-axSpA, UC, CD, pJIA &amp; JPsA",main region 0,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-1971933672 .abbv-background-container-display { background-image : url…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/,main_region_0,default,templateIds: tpl_0
"RINVOQ® (upadacitinib) for RA, PsA, AD, AS, nr-axSpA, UC, CD, pJIA &amp; JPsA",main region 1,Major content region in main (div). Preview: Choose Your Condition Moderate to SevereEczema(Atopic Dermatitis)* Moderate to SevereRheumatoid Arthritis† ActivePsoriat…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/,main_region_1,default,templateIds: tpl_0
"RINVOQ® (upadacitinib) for RA, PsA, AD, AS, nr-axSpA, UC, CD, pJIA &amp; JPsA",Carousel / spotlight,"Rotating or swipeable spotlight region (announcements, hero slides, promos).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/,carousel,default,templateIds: tpl_0
"RINVOQ® (upadacitinib) for RA, PsA, AD, AS, nr-axSpA, UC, CD, pJIA &amp; JPsA",Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/,site_footer,default,templateIds: tpl_0
RINVOQ® (upadacitinib) for Eczema (Atopic Dermatitis),Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/atopic-dermatitis,header_utility_strip,default,templateIds: tpl_1
RINVOQ® (upadacitinib) for Eczema (Atopic Dermatitis),Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/atopic-dermatitis,header_primary_navigation,default,templateIds: tpl_1
RINVOQ® (upadacitinib) for Eczema (Atopic Dermatitis),main region 0,Major content region in main (div). Preview: For adults and children 12+ years with moderate to severe eczema (atopic dermatitis) that did not respond to previous tr…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/atopic-dermatitis,main_region_0,default,templateIds: tpl_1
RINVOQ® (upadacitinib) for Eczema (Atopic Dermatitis),main region 1,Major content region in main (div). Preview: See RINVOQ results See RINVOQ results See RINVOQ results @media (min-width: 985px) { #background-container-1087054513 .a…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/atopic-dermatitis,main_region_1,default,templateIds: tpl_1
RINVOQ® (upadacitinib) for Eczema (Atopic Dermatitis),Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/atopic-dermatitis,site_footer,default,templateIds: tpl_1
RINVOQ® (upadacitinib) for active Non-radiographic Axial Spondyloarthritis (nr- axSpA),Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/non-radiographic-axial-spondyloarthritis,header_utility_strip,default,templateIds: tpl_2
RINVOQ® (upadacitinib) for active Non-radiographic Axial Spondyloarthritis (nr- axSpA),Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/non-radiographic-axial-spondyloarthritis,header_primary_navigation,default,templateIds: tpl_2
RINVOQ® (upadacitinib) for active Non-radiographic Axial Spondyloarthritis (nr- axSpA),main region 0,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-1317397834 .abbv-background-container-display { background-image : url…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.rinvoq.com/non-radiographic-axial-spondyloarthritis,main_region_0,default,templateIds: tpl_2
