Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
EPKINLY® (epcoritamab-bysp) for DLBCL and FL - Official HCP Site,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinlyhcp.com/,header_utility_strip,default,templateIds: tpl_0
EPKINLY® (epcoritamab-bysp) for DLBCL and FL - Official HCP Site,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinlyhcp.com/,header_primary_navigation,default,templateIds: tpl_0
EPKINLY® (epcoritamab-bysp) for DLBCL and FL - Official HCP Site,main region 0,Major content region in main (div). Preview: EPKINLY IS THE FIRST-AND-ONLY BISPECIFIC ANTIBODY APPROVED IN 3L+ DLBCL AND 2L+ FL1 Choose an indication: Diffuse large …,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinlyhcp.com/,main_region_0,default,templateIds: tpl_0
EPKINLY® (epcoritamab-bysp) for DLBCL and FL - Official HCP Site,main region 1,Major content region in main (div). Preview: 2L=second line; 3L=third line; DLBCL=diffuse large B-cell lymphoma; FL=follicular lymphoma; NHL=non-Hodgkin lymphoma.…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinlyhcp.com/,main_region_1,default,templateIds: tpl_0
EPKINLY® (epcoritamab-bysp) for DLBCL and FL - Official HCP Site,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinlyhcp.com/,site_footer,default,templateIds: tpl_0
Support &amp; Resources - EPKINLY® (epcoritamab-bysp) HCP,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinlyhcp.com/content/dam/epcoritamabhcp/docs/fl-patient-brochure-spanish.pdf,header_utility_strip,default,templateIds: tpl_1
Support &amp; Resources - EPKINLY® (epcoritamab-bysp) HCP,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinlyhcp.com/content/dam/epcoritamabhcp/docs/fl-patient-brochure-spanish.pdf,header_primary_navigation,default,templateIds: tpl_1
Support &amp; Resources - EPKINLY® (epcoritamab-bysp) HCP,main region 0,"Major content region in main (div). Preview: EPKINLY support and resources Once the prescribing decision has been made, MyNavCare Patient Support® offers resources, …",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinlyhcp.com/content/dam/epcoritamabhcp/docs/fl-patient-brochure-spanish.pdf,main_region_0,default,templateIds: tpl_1
Support &amp; Resources - EPKINLY® (epcoritamab-bysp) HCP,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinlyhcp.com/content/dam/epcoritamabhcp/docs/fl-patient-brochure-spanish.pdf,site_footer,default,templateIds: tpl_1
EPKINLY® (epcoritamab-bysp) for 2L+ Follicular Lymphoma (FL) - Official HCP Site,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinlyhcp.com/2l-fl,header_utility_strip,default,templateIds: tpl_2
EPKINLY® (epcoritamab-bysp) for 2L+ Follicular Lymphoma (FL) - Official HCP Site,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinlyhcp.com/2l-fl,header_primary_navigation,default,templateIds: tpl_2
EPKINLY® (epcoritamab-bysp) for 2L+ Follicular Lymphoma (FL) - Official HCP Site,main region 0,Major content region in main (div). Preview: FOR 2L+ FL THE POWER OF SUPERIOR PFS WITH FIXED-DURATION EPKINLY + R2 vs R2 1*† EPKINLY + R2 is the first-and-only chemo…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinlyhcp.com/2l-fl,main_region_0,default,templateIds: tpl_2
EPKINLY® (epcoritamab-bysp) for 2L+ Follicular Lymphoma (FL) - Official HCP Site,main region 1,"Major content region in main (div). Preview: 79% reduction in the risk of disease progression or death vs R2 (HR=0.21‡; 95% CI, 0.13-0.33; P<0.0001§) The efficacy an…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinlyhcp.com/2l-fl,main_region_1,default,templateIds: tpl_2
EPKINLY® (epcoritamab-bysp) for 2L+ Follicular Lymphoma (FL) - Official HCP Site,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinlyhcp.com/2l-fl,site_footer,default,templateIds: tpl_2
Important Safety Information - EPKINLY® (epcoritamab-bysp) HCP,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinlyhcp.com/important-safety-information,header_utility_strip,default,templateIds: tpl_3
Important Safety Information - EPKINLY® (epcoritamab-bysp) HCP,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinlyhcp.com/important-safety-information,header_primary_navigation,default,templateIds: tpl_3
