Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
AbbVie Medication Co-pay Savings | At Your Service,Utility Navigation,Displays utility navigation links.,S,1,Simple utility navigation with links.,https://www.savewithays.com/,global_utility_strip,Utility strip,Matches the 'Header' block in catalog.
AbbVie Medication Co-pay Savings | At Your Service,Main Header,Displays the main branding and navigation header.,M,1,Includes branding and primary navigation.,https://www.savewithays.com/,primary_header,Main navigation,Matches the 'Header' block in catalog.
AbbVie Medication Co-pay Savings | At Your Service,Hero Section,Displays promotional content with background image and text.,M,1,Includes a large visual area with text overlay.,https://www.savewithays.com/,hero_section,Hero banner,No direct match in catalog.
AbbVie Medication Co-pay Savings | At Your Service,Product Cards,Showcases product information with images and links.,M,1,Includes multiple cards with images and links.,https://www.savewithays.com/,product_cards,Card layout,No direct match in catalog.
AbbVie Medication Co-pay Savings | At Your Service,Enrollment Call-to-Action,Encourages user enrollment with a call-to-action button.,S,1,Single call-to-action element.,https://www.savewithays.com/,enrollment_cta,CTA button,No direct match in catalog.
AbbVie Medication Co-pay Savings | At Your Service,Terms and Conditions,Displays terms and conditions information.,S,1,Static text content.,https://www.savewithays.com/,terms_conditions,Legal content,No direct match in catalog.
AbbVie Medication Co-pay Savings | At Your Service,Footer Links,Provides additional resource links.,S,1,Simple list of links.,https://www.savewithays.com/,footer_links,Footer navigation,No direct match in catalog.
AbbVie Medication Co-pay Savings | At Your Service,Footer Legal,Displays copyright and legal information.,S,1,Static legal text content.,https://www.savewithays.com/,footer_legal,Footer legal,No direct match in catalog.
AbbVie Medication Co-pay Savings | At Your Service,Enroll Now Modal,Modal for user enrollment.,M,1,Interactive modal component.,https://www.savewithays.com/,modal_enroll_now,Enrollment modal,No direct match in catalog.
AbbVie Medication Co-pay Savings | At Your Service,Demo Video Modal,Modal for playing informational videos.,M,1,Interactive modal with video playback.,https://www.savewithays.com/,modal_demo_video,Video modal,No direct match in catalog.
Contact Us,Global Utility Navigation,Provides quick access to utility links and navigation options.,M,1,Includes navigation links and accessibility features.,https://www.savewithays.com/contact,global_utility_navigation,Utility navigation,No exact match found in catalog.
Contact Us,Primary Header,Displays the main branding and navigation elements.,M,1,Requires integration of branding and navigation.,https://www.savewithays.com/contact,primary_header,Header branding,No exact match found in catalog.
Contact Us,Main Navigation,Contains the primary navigation menu for the site.,C,1,Deep navigation structure with multiple levels.,https://www.savewithays.com/contact,main_navigation,Primary navigation,No exact match found in catalog.
Contact Us,Hero Section,Highlights the main title and introduction for the page.,M,1,Includes large visual elements and introductory content.,https://www.savewithays.com/contact,hero_section,Hero section,Matched to catalog entry 'Hero'.
Contact Us,Contact Information,Displays contact details and customer service information.,S,1,Simple static content display.,https://www.savewithays.com/contact,contact_information,Contact details,No exact match found in catalog.
Contact Us,Product Links Section,Showcases links to specific product pages with images.,M,1,Includes image and link integration.,https://www.savewithays.com/contact,product_links,Product showcase,No exact match found in catalog.
Contact Us,Footer Links,Provides additional navigation links and legal information.,M,1,Includes navigation and legal content.,https://www.savewithays.com/contact,footer_links,Footer navigation,Matched to catalog entry 'Footer'.
Contact Us,Footer Legal Information,Displays copyright and legal disclaimers.,S,1,Static content with legal information.,https://www.savewithays.com/contact,footer_legal,Footer legal,Matched to catalog entry 'Footer'.
Sitemap,Utility Navigation,Provides quick access to utility links and navigation options.,M,1,Includes accessibility features and potential dynamic link generation.,https://www.savewithays.com/sitemap,global_utility_navigation,Utility strip,No direct match in the AEM catalog.
Sitemap,Primary Navigation,Main navigation menu for the site.,C,1,Deep navigation with multiple levels and dynamic content.,https://www.savewithays.com/sitemap,primary_navigation,Main navigation,No direct match in the AEM catalog.
Sitemap,Hero Section,Highlights the main focus or call-to-action of the page.,M,1,Requires image scaling and responsive design.,https://www.savewithays.com/sitemap,hero_section,Hero banner,Mapped to Hero block in the AEM catalog.
Sitemap,Content Columns,Displays the main content in a multi-column layout.,M,1,Involves layout management and responsive adjustments.,https://www.savewithays.com/sitemap,content_columns,Multi-column content,No direct match in the AEM catalog.
Sitemap,Footer Links,Contains links to important pages and legal information.,S,1,Simple link rendering with basic styling.,https://www.savewithays.com/sitemap,footer_links,Footer link list,Mapped to Footer block in the AEM catalog.
Sitemap,Footer Legal Text,Displays legal and copyright information.,S,1,Static text rendering with minimal styling.,https://www.savewithays.com/sitemap,footer_legal,Footer legal text,Mapped to Footer block in the AEM catalog.
Unsubscribe Success,Global Utility Navigation,Provides utility navigation links and options.,M,1,Involves navigation structure and potential accessibility considerations.,https://www.savewithays.com/unsubscribe-success,global_utility_navigation,Utility navigation,No direct match found in the AEM catalog.
Unsubscribe Success,Primary Navigation,Main navigation for site-wide sections.,C,1,Deep navigation structure with potential dropdowns and accessibility requirements.,https://www.savewithays.com/unsubscribe-success,primary_navigation,Main navigation,No direct match found in the AEM catalog.
Unsubscribe Success,Hero Section,Displays the main visual and message of the page.,M,1,Includes visual elements and responsive behavior.,https://www.savewithays.com/unsubscribe-success,hero_section,Hero banner,Matched to Hero from the AEM catalog.
Unsubscribe Success,Content Columns,Two-column layout for content display.,M,1,Involves layout management and responsive design.,https://www.savewithays.com/unsubscribe-success,content_columns,Two-column layout,No direct match found in the AEM catalog.
Unsubscribe Success,Footer Links,Displays footer links and legal information.,M,1,Footer structure with potential dynamic content and styling.,https://www.savewithays.com/unsubscribe-success,footer_links,Footer section,Matched to Footer from the AEM catalog.
mobiletermsconditions,Global Utility Navigation,Provides quick access to utility links like safety information and navigation.,M,1,Involves navigation links with accessibility requirements.,https://www.savewithays.com/mobiletermsconditions,global_utility_navigation,Utility strip,Could not find a direct match in the AEM catalog.
mobiletermsconditions,Primary Navigation,Main navigation menu for accessing key sections of the site.,C,1,Complex navigation structure with potential for deep linking and accessibility.,https://www.savewithays.com/mobiletermsconditions,primary_navigation,Main navigation,Could not find a direct match in the AEM catalog.
mobiletermsconditions,Hero Section,"Prominent section at the top of the page, often used for branding or key messages.",M,1,Includes large visual elements and potentially dynamic content.,https://www.savewithays.com/mobiletermsconditions,hero_section,Hero,Mapped to the Hero block from the AEM catalog.
mobiletermsconditions,Content Columns,Main content area with multiple columns for structured information.,M,1,Requires layout management for multiple content columns.,https://www.savewithays.com/mobiletermsconditions,content_columns,Column layout,Could not find a direct match in the AEM catalog.
mobiletermsconditions,Terms and Conditions,Detailed terms and conditions for SMS notifications.,S,1,Static text content with minimal interactivity.,https://www.savewithays.com/mobiletermsconditions,terms_conditions,Rich text,Could not find a direct match in the AEM catalog.
mobiletermsconditions,Footer Links,Footer section containing links to additional resources and legal information.,M,1,Footer with multiple links and potential accessibility considerations.,https://www.savewithays.com/mobiletermsconditions,footer_links,Footer,Mapped to the Footer block from the AEM catalog.
Savings,Utility Navigation,Hosts links for quick access to utility functions.,S,1,Simple navigation links without dynamic or interactive elements.,https://www.savewithays.com/savings,global_utility_navigation,Utility strip,No matching block found in the catalog.
Savings,Primary Header,Displays branding and primary navigation links.,M,1,Includes branding elements and navigation links with potential dropdowns.,https://www.savewithays.com/savings,primary_header,Branding and navigation,No matching block found in the catalog.
Savings,Main Navigation,Provides hierarchical navigation for the site.,M,1,Complexity arises from hierarchical navigation with dropdowns.,https://www.savewithays.com/savings,main_navigation,Primary navigation,No matching block found in the catalog.
Savings,Hero Section,Highlights key content with a large image and heading.,M,1,Includes dynamic image handling and CSS styling.,https://www.savewithays.com/savings,hero_section,Hero banner,Mapped to Hero block from the catalog.
Savings,Product Cards,Displays product information in card format.,M,1,Requires grid layout and responsive design.,https://www.savewithays.com/savings,product_cards,Product cards grid,Mapped to Cards block from the catalog.
Savings,Enrollment Section,Hosts the enrollment form and related content.,C,1,Form functionality including validation and potential integrations.,https://www.savewithays.com/savings,enrollment_section,Enrollment form,No matching block found in the catalog.
Savings,Footer Navigation,Provides navigation links in the footer.,S,1,Simple navigation links without dynamic or interactive elements.,https://www.savewithays.com/savings,footer_navigation,Footer navigation,Mapped to Footer block from the catalog.
Savings,Footer Legal,Displays legal information and copyright details.,S,1,Static text content without interactive elements.,https://www.savewithays.com/savings,footer_legal,Legal footer,No matching block found in the catalog.
Enroll-now,Global Utility Navigation,Provides quick links and navigation options for users.,S,1,Basic navigation links without complex interactions.,https://www.savewithays.com/enroll-now,global_utility_navigation,Utility strip,No matching block found in AEM catalog.
