Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
VENCLEXTA® (venetoclax tablets): CLL/SLL and AML Treatment,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,47,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/,header_utility_strip,default,templateIds: tpl_0,screenshots/blocks/header_utility_strip__default.png
VENCLEXTA® (venetoclax tablets): CLL/SLL and AML Treatment,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,47,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/,header_primary_navigation,default,templateIds: tpl_0,screenshots/blocks/header_primary_navigation__default.png
VENCLEXTA® (venetoclax tablets): CLL/SLL and AML Treatment,main region 0,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-244389776 .abbv-background-container-display { background-image : url(…,M,47,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/,main_region_0,default,templateIds: tpl_0,screenshots/blocks/main_region_0__default.png
VENCLEXTA® (venetoclax tablets): CLL/SLL and AML Treatment,main region 1,Major content region in main (div). Preview: Have questions about your treatment with VENCLEXTA? Call our nurse* support line for VENCLEXTA. You can speak with our R…,M,47,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/,main_region_1,default,templateIds: tpl_0,screenshots/blocks/main_region_1__default.png
VENCLEXTA® (venetoclax tablets): CLL/SLL and AML Treatment,main region 2,Major content region in main (div). Preview: .bg-h2 .abbv-background-container-content-block-medium { width: 100%; } .abbv-promo-drawer-description a { text-decorati…,M,40,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/,main_region_2,default,templateIds: tpl_0,screenshots/blocks/main_region_2__default.png
VENCLEXTA® (venetoclax tablets): CLL/SLL and AML Treatment,Site footer,"Footer links, legal, social, and ancillary navigation.",M,47,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/,site_footer,default,templateIds: tpl_0,screenshots/blocks/site_footer__default.png
VENCLEXTA® (venetoclax tablets): CLL/SLL and AML Treatment,Back to top,Control to scroll to the top of the page.,M,47,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/,back_to_top_control,default,templateIds: tpl_0,screenshots/blocks/back_to_top_control__default.png
VENCLEXTA® (venetoclax tablets) for Acute Myeloid Leukemia,main region 3,Major content region in main (div). Preview: VENCLEXTA is the PRESCRIBED THERAPY FOR PATIENTS NEWLY DIAGNOSED WITH AML WHO ARE INELIGIBLE FOR INTENSIVE CHEMO* *Based…,M,34,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/aml,main_region_3,default,templateIds: tpl_2,screenshots/blocks/main_region_3__default.png
VENCLEXTA® (venetoclax tablets) for Acute Myeloid Leukemia,main region 4,Major content region in main (div). Preview: Have questions about your treatment with VENCLEXTA? Call our nurse† support line for VENCLEXTA. You can speak with our R…,M,31,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/aml,main_region_4,default,templateIds: tpl_2,screenshots/blocks/main_region_4__default.png
How Does VENCLEXTA® (venetoclax tablets) Work?,main region 5,Major content region in main (div). Preview: Learn more about what VENCLEXTA can offer How It's Different Financial & Treatment Support…,M,24,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/previously-treated-cll/why-venclexta/how-it-works,main_region_5,default,templateIds: tpl_4,screenshots/blocks/main_region_5__default.png
How Does VENCLEXTA® (venetoclax tablets) Work?,main region 6,"Major content region in main (div). Preview: Sign up for more info on VENCLEXTA, including tools and resources to help you make an informed treatment decision. Sign …",M,16,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/previously-treated-cll/why-venclexta/how-it-works,main_region_6,default,templateIds: tpl_4,screenshots/blocks/main_region_6__default.png
Previously Treated CLL/SLL Treatment Options - VENCLEXTA®,main region 7,Major content region in main (div). Preview: Learn more about treating CLL/SLL with VENCLEXTA How It May Help How It's Different…,M,7,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/previously-treated-cll/about-cll-sll/treatment-options,main_region_7,default,templateIds: tpl_16,screenshots/blocks/main_region_7__default.png
Previously Treated CLL/SLL Treatment Options - VENCLEXTA®,main region 8,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-1614599318 .abbv-background-container-display { background-image : url…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.venclexta.com/previously-treated-cll/about-cll-sll/treatment-options,main_region_8,default,templateIds: tpl_16,screenshots/blocks/main_region_8__default.png
