Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
HOME | ABBVIEEYECARE - Your Vision. Our Mission.,Global Utility Strip,Provides utility navigation links like contact and social media.,S,1,Simple navigation links with no additional interactive features.,https://www.abbvieeyecare.com/,global_utility_strip,Utility strip,Ensure accessibility for navigation links.
HOME | ABBVIEEYECARE - Your Vision. Our Mission.,Primary Navigation,Main navigation bar for accessing primary site sections.,M,1,May include dropdowns or multi-level menus.,https://www.abbvieeyecare.com/,primary_navigation,Main navigation,Focus on responsive design and accessibility.
HOME | ABBVIEEYECARE - Your Vision. Our Mission.,Hero Section,Prominent section with an image and introductory text.,M,1,Includes a large visual element and text styling.,https://www.abbvieeyecare.com/,hero_section,Hero banner,Ensure proper image scaling and text visibility.
HOME | ABBVIEEYECARE - Your Vision. Our Mission.,CTA Buttons,Contains buttons for key actions like navigation or registration.,S,1,Simple button elements with minimal interactivity.,https://www.abbvieeyecare.com/,cta_buttons,Call-to-action,Highlight buttons for better user engagement.
HOME | ABBVIEEYECARE - Your Vision. Our Mission.,Introductory Text Section,Text section introducing the site’s purpose and mission.,S,1,Static content with basic styling.,https://www.abbvieeyecare.com/,intro_text_section,Introductory text,Use semantic HTML for better SEO.
HOME | ABBVIEEYECARE - Your Vision. Our Mission.,Image Highlight,Displays a visual representation of the site's achievements.,S,1,Static image content with basic styling.,https://www.abbvieeyecare.com/,image_highlight,Image showcase,Ensure images are optimized for web.
HOME | ABBVIEEYECARE - Your Vision. Our Mission.,Audience CTA,CTA section targeting different audience groups.,M,1,May include audience-specific interactivity.,https://www.abbvieeyecare.com/,audience_cta,Audience-targeted CTA,Consider dynamic content based on user type.
HOME | ABBVIEEYECARE - Your Vision. Our Mission.,Products Carousel,Carousel showcasing various products.,C,1,Includes dynamic transitions and multiple interactive elements.,https://www.abbvieeyecare.com/,products_carousel,Product showcase,Ensure carousel is accessible and responsive.
HOME | ABBVIEEYECARE - Your Vision. Our Mission.,Footer Links,Footer section providing additional navigation and resources.,M,1,Includes multiple links and potential legal or informational text.,https://www.abbvieeyecare.com/,footer_links,Footer navigation,Focus on accessibility and responsive design.
Prescribing Information,Global Utility Navigation,"Provides links to utility pages such as contact, prescribing information, and social media.",M,1,"Includes multiple links, accessible navigation, and integration with utility pages.",https://www.abbvieeyecare.com/prescribing-information,global_utility_navigation,Utility strip,No direct match found in the catalog for this specific navigation type.
Prescribing Information,Primary Navigation,Main site navigation with links to key sections and submenus.,C,1,Deep navigation with potential submenus and accessibility requirements.,https://www.abbvieeyecare.com/prescribing-information,primary_navigation,Main navigation,No direct match found in the catalog for this specific primary navigation type.
Prescribing Information,Hero Section,Prominent visual and textual section introducing the page's purpose.,M,1,Involves a large visual component and introductory text.,https://www.abbvieeyecare.com/prescribing-information,hero_section,Hero banner,Matched to Hero block in the catalog.
Prescribing Information,Page Heading,Displays the main heading for the prescribing information content.,S,1,Simple text-based heading component.,https://www.abbvieeyecare.com/prescribing-information,page_heading,Heading,No direct match found in the catalog for this specific heading type.
Prescribing Information,Prescribing Information List,Displays a list of prescribing information items with download links.,M,1,Involves a structured list with links and potential download functionality.,https://www.abbvieeyecare.com/prescribing-information,prescribing_information_list,List view,No direct match found in the catalog for this specific list type.
CONTACT US | ABBVIEEYECARE - Your Vision. Our Mission.,Global Utility Navigation,"Provides quick access to important links such as safety information, prescribing information, and social media.",M,1,"Includes multiple links, potential accessibility concerns, and external navigation.",https://www.abbvieeyecare.com/contact-us,global_utility_navigation,Utility strip,Requires additional analysis for accessibility and external link handling.
CONTACT US | ABBVIEEYECARE - Your Vision. Our Mission.,Primary Navigation,Main navigation menu for accessing different sections of the site.,C,1,Deep navigation structure with potential submenus and accessibility requirements.,https://www.abbvieeyecare.com/contact-us,primary_navigation,Main navigation,Ensure compliance with WCAG for keyboard navigation and ARIA roles.
CONTACT US | ABBVIEEYECARE - Your Vision. Our Mission.,Hero Section,Prominent section at the top of the page highlighting the vision and mission for eye care providers.,M,1,"Includes image and text alignment, responsive design considerations.",https://www.abbvieeyecare.com/contact-us,hero_section,Hero banner,Verify responsiveness and alignment across devices.
CONTACT US | ABBVIEEYECARE - Your Vision. Our Mission.,Contact Us Heading,Page heading introducing the contact section.,S,1,Simple text block with no interactive elements.,https://www.abbvieeyecare.com/contact-us,contact_us_heading,Page heading,Minimal implementation effort required.
CONTACT US | ABBVIEEYECARE - Your Vision. Our Mission.,Contact Us Sections,"Detailed contact information for various departments such as Customer Relations, Drug Safety, and Medical Information.",M,1,Includes structured content requiring proper formatting and potential links.,https://www.abbvieeyecare.com/contact-us,contact_us_sections,Contact details,Ensure proper formatting for contact information display.
CONTACT US | ABBVIEEYECARE - Your Vision. Our Mission.,Instagram Carousel,Carousel showcasing products and related content.,C,1,"Dynamic content loading, accessibility for carousel navigation.",https://www.abbvieeyecare.com/contact-us,instagram_carousel,Content carousel,Focus on accessibility and smooth user interaction.
CONTACT US | ABBVIEEYECARE - Your Vision. Our Mission.,Footer,Footer section containing additional navigation and site information.,M,1,"Includes multiple links, potential dynamic content, and styling requirements.",https://www.abbvieeyecare.com/contact-us,footer,Footer,Ensure consistent styling and accessibility compliance.
TECHALLIANCE | ABBVIEEYECARE - Your Vision. Our Mission.,Utility Navigation,Provides access to secondary links like contact and prescribing information.,S,1,Minimal interaction and accessibility requirements.,https://www.abbvieeyecare.com/techalliance,global_utility_navigation,Utility strip,No matching catalog entry was found.
