Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
CREON® (pancrelipase) Delayed­-Release Capsules - Official HCP Site,Site header,Combined header region (utility + navigation if not split).,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/,header_chrome,default,templateIds: tpl_0
CREON® (pancrelipase) Delayed­-Release Capsules - Official HCP Site,main region 0,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-1967789142 .abbv-background-container-display { background-image : url…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/,main_region_0,default,templateIds: tpl_0
CREON® (pancrelipase) Delayed­-Release Capsules - Official HCP Site,main region 1,Major content region in main (div). Preview: Understanding EPI Revisit the function of the exocrine pancreas and the possible causes and consequences of EPI. Take a …,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/,main_region_1,default,templateIds: tpl_0
CREON® (pancrelipase) Delayed­-Release Capsules - Official HCP Site,main region 2,"Major content region in main (div). Preview: Learn more about EPI from your peers Explore videos featuring peer insights on how they manage, diagnose, and treat EPI …",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/,main_region_2,default,templateIds: tpl_0
CREON® (pancrelipase) Delayed­-Release Capsules - Official HCP Site,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/,site_footer,default,templateIds: tpl_0
EPI Symptoms - Official CREON® (pancrelipase) HCP Site,Site header,Combined header region (utility + navigation if not split).,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/symptoms-of-epi,header_chrome,default,templateIds: tpl_1
EPI Symptoms - Official CREON® (pancrelipase) HCP Site,main region 0,"Major content region in main (div). Preview: One or more of these symptoms, in addition to various clinical features, could mean EPI2 Diarrhea Abdominal pain Bloatin…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/symptoms-of-epi,main_region_0,default,templateIds: tpl_1
EPI Symptoms - Official CREON® (pancrelipase) HCP Site,main region 1,"Major content region in main (div). Preview: According to a survey conducted by the American Gastroenterological Association (AGA), the top 3 symptoms EPI patients p…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/symptoms-of-epi,main_region_1,default,templateIds: tpl_1
EPI Symptoms - Official CREON® (pancrelipase) HCP Site,main region 2,Major content region in main (div). Preview: Overlapping symptoms Clinical features Symptoms of EPI can overlap with those of other GI conditions Symptoms such as di…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/symptoms-of-epi,main_region_2,default,templateIds: tpl_1
EPI Symptoms - Official CREON® (pancrelipase) HCP Site,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.creonhcp.com/symptoms-of-epi,site_footer,default,templateIds: tpl_1
