Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Biomarker Testing In Non-Small Cell Lung Cancer,Utility Strip,Displays global utility links such as contact and subscribe.,S,1,Basic links and minimal interactivity.,https://www.latestagensclc.com/biomarker-testing,header_utility_strip,Utility strip,Could be mapped to a custom block if available.
Biomarker Testing In Non-Small Cell Lung Cancer,Primary Navigation,Provides primary site navigation including branding and menus.,C,1,Deep navigation structure with potential mega-menu.,https://www.latestagensclc.com/biomarker-testing,header_primary_navigation,Main navigation,Mapping to a catalog block would require additional details.
Biomarker Testing In Non-Small Cell Lung Cancer,Content Columns,Arranges content into responsive columns.,M,1,Requires responsive layout adaptations.,https://www.latestagensclc.com/biomarker-testing,columns,Columns layout,Matches the Columns block from the catalog.
Biomarker Testing In Non-Small Cell Lung Cancer,Main Content Region 1,Displays primary content for the section.,M,1,Rich content and potential dynamic elements.,https://www.latestagensclc.com/biomarker-testing,main_region_1,Rich text content,Could be mapped to a content block if further details are provided.
Biomarker Testing In Non-Small Cell Lung Cancer,Main Content Region 2,Displays secondary content for the section.,M,1,Rich content and potential dynamic elements.,https://www.latestagensclc.com/biomarker-testing,main_region_2,Rich text content,Could be mapped to a content block if further details are provided.
Biomarker Testing In Non-Small Cell Lung Cancer,Main Content Region 3,Displays tertiary content for the section.,M,1,Rich content and potential dynamic elements.,https://www.latestagensclc.com/biomarker-testing,main_region_3,Rich text content,Could be mapped to a content block if further details are provided.
Biomarker Testing In Non-Small Cell Lung Cancer,Main Content Region 4,Displays quaternary content for the section.,M,1,Rich content and potential dynamic elements.,https://www.latestagensclc.com/biomarker-testing,main_region_4,Rich text content,Could be mapped to a content block if further details are provided.
Biomarker Testing In Non-Small Cell Lung Cancer,Site Footer,"Displays footer links, legal information, and additional navigation.",S,1,Static content with basic styling.,https://www.latestagensclc.com/biomarker-testing,site_footer,Footer,Matches the Footer block from the catalog.
Sitemap,Global Utility Strip,Provides notifications and utility navigation options.,S,1,Simple utility strip with static content.,https://www.latestagensclc.com/sitemap,global_utility_strip,Utility strip,No direct match in catalog.
Sitemap,Primary Navigation,Main site navigation with links to key sections.,M,1,Requires accessibility compliance and potential interaction tracking.,https://www.latestagensclc.com/sitemap,primary_navigation,Main navigation,No direct match in catalog.
Sitemap,Hero Section,"Displays the main title of the page, 'Sitemap'.",S,1,Static text display with minimal interactivity.,https://www.latestagensclc.com/sitemap,hero_section,Hero,No direct match in catalog.
Sitemap,Sitemap Links,Lists links to various sections of the site in a sitemap format.,M,1,Contains multiple links requiring proper semantic structuring for accessibility.,https://www.latestagensclc.com/sitemap,sitemap_links,Links list,No direct match in catalog.
Sitemap,Footer Main,Contains primary footer navigation links.,M,1,Includes navigation links and styling adjustments.,https://www.latestagensclc.com/sitemap,footer_main,Primary footer,Matched with 'Footer' in catalog.
Sitemap,Footer Secondary,Contains secondary footer navigation links and legal information.,M,1,Includes legal links and requires styling for compliance.,https://www.latestagensclc.com/sitemap,footer_secondary,Secondary footer,Matched with 'Footer' in catalog.
Sitemap,Back to Top Button,Button to quickly navigate to the top of the page.,S,1,Simple scroll functionality with minimal interaction.,https://www.latestagensclc.com/sitemap,back_to_top,Utility button,No direct match in catalog.
Facing Late-Stage Lung Cancer: Understanding NSCLC &amp; Biomarkers,Global Utility Navigation,Provides quick access to notifications and utility links.,S,1,Simple navigation with minimal interactivity.,https://www.latestagensclc.com/,global_utility_strip,Utility strip,No direct match found in catalog.
Facing Late-Stage Lung Cancer: Understanding NSCLC &amp; Biomarkers,Primary Header Navigation,Displays the main logo and primary navigation links.,M,1,"Includes logo, navigation, and accessibility features.",https://www.latestagensclc.com/,primary_header,Main navigation,Mapped to 'Header' based on navigation functionality.
Facing Late-Stage Lung Cancer: Understanding NSCLC &amp; Biomarkers,Homepage Hero Banner,Highlights key messaging and visual content for the homepage.,M,1,Visual-centric block with responsive design considerations.,https://www.latestagensclc.com/,hero_section,Hero section,Direct match with 'Hero' in catalog.
Facing Late-Stage Lung Cancer: Understanding NSCLC &amp; Biomarkers,Biomarker Guide CTA,Encourages access to the Biomarker Conversation Guide.,S,1,Simple call-to-action with minimal interactivity.,https://www.latestagensclc.com/,cta_biomarker_guide,CTA button,No direct match found in catalog.
Facing Late-Stage Lung Cancer: Understanding NSCLC &amp; Biomarkers,Stay Informed CTA,Promotes staying informed about biomarkers.,S,1,Simple call-to-action with minimal interactivity.,https://www.latestagensclc.com/,cta_stay_informed,CTA button,No direct match found in catalog.
Facing Late-Stage Lung Cancer: Understanding NSCLC &amp; Biomarkers,Testing Matters CTA,Highlights the importance of biomarker testing.,S,1,Simple call-to-action with minimal interactivity.,https://www.latestagensclc.com/,cta_testing_matters,CTA button,No direct match found in catalog.
Facing Late-Stage Lung Cancer: Understanding NSCLC &amp; Biomarkers,Advancements in NSCLC CTA,Provides information about advancements in late-stage NSCLC.,S,1,Simple call-to-action with minimal interactivity.,https://www.latestagensclc.com/,cta_advancements_nsclc,CTA button,No direct match found in catalog.
Facing Late-Stage Lung Cancer: Understanding NSCLC &amp; Biomarkers,About Biomarkers CTA,Offers quick facts about biomarkers.,S,1,Simple call-to-action with minimal interactivity.,https://www.latestagensclc.com/,cta_about_biomarkers,CTA button,No direct match found in catalog.
Facing Late-Stage Lung Cancer: Understanding NSCLC &amp; Biomarkers,Main Footer,Displays footer navigation links and legal information.,S,1,Simple footer structure with navigational links.,https://www.latestagensclc.com/,footer_main,Footer,Direct match with 'Footer' in catalog.
Facing Late-Stage Lung Cancer: Understanding NSCLC &amp; Biomarkers,Back to Top Button,Allows users to navigate back to the top of the page.,S,1,Basic functionality with minimal design complexity.,https://www.latestagensclc.com/,back_to_top_button,Utility button,No direct match found in catalog.
Non-Small Cell Lung Cancer Resources &amp; Biomarker Education,Global Utility Strip,Provides utility navigation and notifications at the top of the page.,S,1,Simple navigation with notifications.,https://www.latestagensclc.com/sign-up,global_utility_strip,Utility strip,No catalog match found.
