Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Humira Puerto Rico,Global Utility Strip,Provides a top navigation bar with contact and subscription information.,S,13,Simple structure with static links and minimal interactivity.,https://www.humirapr.com/,global_utility_strip,Utility strip,No direct match found in the catalog.,screenshots/blocks/global_utility_strip__default.png
Humira Puerto Rico,Primary Navigation,Main navigation menu with links to various sections and dropdowns.,M,12,Includes dropdowns and interactive elements.,https://www.humirapr.com/,primary_navigation,Main navigation,No direct match found in the catalog.,screenshots/blocks/primary_navigation__default.png
Humira Puerto Rico,Hero Section,Displays a prominent image and motivational message for the page.,M,1,Requires responsive design and integration of visual assets.,https://www.humirapr.com/,hero_section_1,Hero banner,Matched to the 'Hero' block in the catalog.,screenshots/blocks/hero_section_1__default.png
Humira Puerto Rico,Contact Information,Displays contact details and patient resources.,S,4,Static content with links and minimal styling.,https://www.humirapr.com/,contact_block,Contact section,No direct match found in the catalog.,screenshots/blocks/contact_block__default.png
Humira Puerto Rico,Manage Condition Info,Provides information for managing medical conditions.,S,1,Simple layout with static content.,https://www.humirapr.com/,manage_condition_block,Informational block,No direct match found in the catalog.,screenshots/blocks/manage_condition_block__default.png
Humira Puerto Rico,Video Section,Embeds a video explaining product usage.,C,11,Requires video embedding and performance optimization features.,https://www.humirapr.com/,video_section,Video embed,Matched to the 'Video' block in the catalog.,screenshots/blocks/video_section__default.png
Humira Puerto Rico,Information Section,Detailed information about product usage and safety.,M,8,Extensive content requiring structured presentation.,https://www.humirapr.com/,info_section,Informational content,No direct match found in the catalog.,screenshots/blocks/info_section__default.png
Humira Puerto Rico,Footer Navigation,Provides links to important resources and information.,S,4,Static footer links with minimal interactivity.,https://www.humirapr.com/,footer_navigation,Footer links,No direct match found in the catalog.,screenshots/blocks/footer_navigation__default.png
Artritis Reumatoide | Humira Puerto Rico,Subnavigation Wrapper,Displays additional navigation links and branding for larger screens.,M,3,Secondary navigation with branding.,https://www.humirapr.com/artritis_reumatoide/,subnav_wrapper,Subnavigation,No direct match in catalog.,screenshots/blocks/subnav_wrapper__default.png
Artritis Reumatoide | Humira Puerto Rico,Hero Title Section,Highlights the main topic of the page with a title and subtitle.,S,3,Simple title and subtitle layout.,https://www.humirapr.com/artritis_reumatoide/,hero_title_section,Title and subtitle,Matched with 'Hero' block in catalog.,screenshots/blocks/hero_title_section__default.png
Artritis Reumatoide | Humira Puerto Rico,Hero Content Section,Provides an introductory message about managing arthritis.,S,1,Introductory content layout.,https://www.humirapr.com/artritis_reumatoide/,hero_content_section,Introduction,Matched with 'Hero' block in catalog.,screenshots/blocks/hero_content_section__default.png
Artritis Reumatoide | Humira Puerto Rico,Hero Information,Introduces the topic of rheumatoid arthritis with detailed information.,M,2,Detailed informational layout.,https://www.humirapr.com/artritis_reumatoide/,hero_information,Informational hero,Matched with 'Hero' block in catalog.,screenshots/blocks/hero_information__default.png
Artritis Reumatoide | Humira Puerto Rico,Symptoms Section,Lists symptoms of rheumatoid arthritis and their impacts on daily life.,M,8,Detailed list and images.,https://www.humirapr.com/artritis_reumatoide/,symptoms_section,Symptoms listing,No direct match in catalog.,screenshots/blocks/symptoms_section__default.png
Artritis Reumatoide | Humira Puerto Rico,Causes Section,Explains potential causes of rheumatoid arthritis with images and text.,M,7,Detailed explanatory layout.,https://www.humirapr.com/artritis_reumatoide/,causes_section,Causes explanation,No direct match in catalog.,screenshots/blocks/causes_section__default.png
Artritis Reumatoide | Humira Puerto Rico,Divider Section,Visual divider between sections for better content separation.,S,2,Simple visual divider.,https://www.humirapr.com/artritis_reumatoide/,divider_section,Content separator,No direct match in catalog.,screenshots/blocks/divider_section__default.png
Selecciona tu Condición | Humira Puerto Rico,Global Top Navigation,Displays a message with links to resources and contact information.,S,1,Simple static content with links.,https://www.humirapr.com/condicion/,global_top_nav,Utility strip,No direct match in catalog.,screenshots/blocks/global_top_nav__default.png
Selecciona tu Condición | Humira Puerto Rico,Main Navigation,Provides the primary navigation menu for site sections and dropdowns.,M,1,Includes dropdown menus and responsive design.,https://www.humirapr.com/condicion/,main_navigation,Primary navigation,No direct match in catalog.,screenshots/blocks/main_navigation__default.png
Selecciona tu Condición | Humira Puerto Rico,Choose Condition Section,Allows users to select a condition and provides related information.,M,1,Interactive dropdown for condition selection.,https://www.humirapr.com/condicion/,choose_condition_section,Interactive selection,No direct match in catalog.,screenshots/blocks/choose_condition_section__default.png
Selecciona tu Condición | Humira Puerto Rico,Footer Bottom,Displays the AbbVie logo and copyright information.,S,2,Static content with branding.,https://www.humirapr.com/condicion/,footer_bottom,Branding and copyright,No direct match in catalog.,screenshots/blocks/footer_bottom__default.png
Selecciona tu Condición | Humira Puerto Rico,Information Widget,Displays a collapsible widget with important safety and usage information.,M,1,Interactive collapsible content.,https://www.humirapr.com/condicion/,information_widget,Collapsible widget,No direct match in catalog.,screenshots/blocks/information_widget__default.png
Selecciona tu Condición | Humira Puerto Rico,Exit Modals,Contains modal dialogs for exit warnings and confirmations.,C,1,Requires JavaScript for modal functionality and CSS for styling.,https://www.humirapr.com/condicion/,exit_modals,Exit confirmation modals,Matched with 'Modal' in catalog.,screenshots/blocks/exit_modals__default.png
