Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Eczema HQ: An Information Hub About Eczema,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,34,Minimal scope with basic links and navigation.,https://www.eczemaheadquarters.com/,global_utility_strip,Utility strip,No exact match in AEM catalog.,screenshots/blocks/global_utility_strip__default.png
Eczema HQ: An Information Hub About Eczema,Primary Header,Displays the site's branding and main navigation.,M,13,"Includes branding and navigation, requiring moderate interaction design.",https://www.eczemaheadquarters.com/,primary_header,Main navigation,Mapped to 'Header' block in AEM catalog.,screenshots/blocks/primary_header__default.png
Eczema HQ: An Information Hub About Eczema,Mega Navigation,Contains the primary navigation menu with expandable sections.,C,5,Complex navigation structure with expandable sections and deep linking.,https://www.eczemaheadquarters.com/,mega_navigation,Expandable menu,No exact match in AEM catalog.,screenshots/blocks/mega_navigation__default.png
Eczema HQ: An Information Hub About Eczema,Footer Section,Provides site-wide links and information at the bottom of the page.,M,4,Includes structured layout and multiple link categories.,https://www.eczemaheadquarters.com/,footer_section,Site footer,Mapped to 'Footer' block in AEM catalog.,screenshots/blocks/footer_section__default.png
Sign Up for Updates | Eczema HQ,Utility Navigation,Provides global links and utilities like search and user account options.,S,5,Simplistic header utility strip without deep interactions.,https://www.eczemaheadquarters.com/sign-up,global_utility_navigation,Utility strip,No matching AEM catalog entry found for this block.,screenshots/blocks/global_utility_navigation__default.png
Sign Up for Updates | Eczema HQ,Primary Navigation,Main site navigation menu with links to major sections.,M,29,Includes dropdown menus and hierarchical navigation structure.,https://www.eczemaheadquarters.com/sign-up,primary_navigation,Main navigation,No matching AEM catalog entry found for this block.,screenshots/blocks/primary_navigation__default.png
Search Results,Search Bar,Provides a search feature for the website.,M,1,Includes search input and results handling.,https://www.eczemaheadquarters.com/search-results,search_bar,Search input,Mapped to the 'Search' block in the catalog.,screenshots/blocks/search_bar__default.png
Search Results,Hero Section,Highlights the main feature of the page with a visual component.,M,36,Includes media and text styling.,https://www.eczemaheadquarters.com/search-results,hero_section,Hero banner,Mapped to the 'Hero' block in the catalog.,screenshots/blocks/hero_section__default.png
Search Results,Footer Links,Displays footer links and resources.,M,8,Includes structured link groups and styling.,https://www.eczemaheadquarters.com/search-results,footer_links,Footer content,Mapped to the 'Footer' block in the catalog.,screenshots/blocks/footer_links__default.png
Search Results,Back to Top Button,Allows users to quickly navigate back to the top of the page.,S,3,Simple functionality with limited styling needs.,https://www.eczemaheadquarters.com/search-results,back_to_top,Scroll button,Could not find a direct match in the catalog.,screenshots/blocks/back_to_top__default.png
Search Results,Modal Windows,Displays modal dialogs for additional information or actions.,M,1,Requires dynamic behavior and styling.,https://www.eczemaheadquarters.com/search-results,modal_windows,Interactive modal,Mapped to the 'Modal' block in the catalog.,screenshots/blocks/modal_windows__default.png
Eczema and Related Conditions | Eczema HQ,Introduction Text,Introductory text for the page topic.,S,5,Static text content with basic styling.,https://www.eczemaheadquarters.com/understanding-eczema/eczema-comorbidities,intro_text,Page intro,No matching catalog block found.,screenshots/blocks/intro_text__default.png
Eczema and Related Conditions | Eczema HQ,Atopic March Highlight,Highlights related conditions in a styled container.,M,1,Requires styling for visual emphasis.,https://www.eczemaheadquarters.com/understanding-eczema/eczema-comorbidities,atopic_march_conditions,Condition highlight,No matching catalog block found.,screenshots/blocks/atopic_march_conditions__default.png
Eczema and Related Conditions | Eczema HQ,Mental Health Info,Discusses mental health impacts and provides resources.,M,1,Content section with potential links or resources.,https://www.eczemaheadquarters.com/understanding-eczema/eczema-comorbidities,mental_health_section,Informational section,No matching catalog block found.,screenshots/blocks/mental_health_section__default.png
Eczema and Related Conditions | Eczema HQ,Recommended Topics,Displays links to related topics for further reading.,S,23,Static links with basic styling.,https://www.eczemaheadquarters.com/understanding-eczema/eczema-comorbidities,recommended_topics,Topic links,No matching catalog block found.,screenshots/blocks/recommended_topics__default.png
The Seven Types of Eczema | Eczema HQ,Eczema Details,Detailed information about the types of eczema.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.eczemaheadquarters.com/about-eczema/types-of-eczema,eczema_details,default,templateIds: tpl_4,screenshots/blocks/eczema_details__default.png
The Seven Types of Eczema | Eczema HQ,Email Signup,Section for users to sign up for email updates and receive a magazine.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.eczemaheadquarters.com/about-eczema/types-of-eczema,email_signup,default,templateIds: tpl_4,screenshots/blocks/email_signup__default.png
The Seven Types of Eczema | Eczema HQ,Quick Poll,Interactive poll about eczema diagnosis.,M,6,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.eczemaheadquarters.com/about-eczema/types-of-eczema,quick_poll,default,templateIds: tpl_4,screenshots/blocks/quick_poll__default.png
