Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Chronic Lymphocytic Leukemia (CLL) | Living With CLL,Global Utility Navigation,Provides links for quick access to utility features.,S,1,Simple navigation links for utility functions.,https://www.cllcancer.com/,global_utility_navigation,Utility strip,No direct catalog match identified.
Chronic Lymphocytic Leukemia (CLL) | Living With CLL,Primary Navigation,Main site navigation with links to key sections.,M,1,Complexity due to nested menus and accessibility requirements.,https://www.cllcancer.com/,primary_navigation,Main navigation,No direct catalog match identified.
Chronic Lymphocytic Leukemia (CLL) | Living With CLL,Hero Section,Prominent section with a large image and introductory content.,M,1,Includes visual design and potential animations.,https://www.cllcancer.com/,hero_section,Hero banner,Catalog match found for 'Hero'.
Chronic Lymphocytic Leukemia (CLL) | Living With CLL,Interactive Info Tree,Interactive component allowing users to explore topics.,C,1,Interactive functionality and deep user engagement.,https://www.cllcancer.com/,info_tree,Interactive tree,No direct catalog match identified.
Chronic Lymphocytic Leukemia (CLL) | Living With CLL,CTA Section 1,Encourages users to sign up for updates.,S,1,Straightforward call-to-action design.,https://www.cllcancer.com/,cta_section_1,Subscribe,No direct catalog match identified.
Chronic Lymphocytic Leukemia (CLL) | Living With CLL,CTA Section 2,Provides information about treatment options.,S,1,Simple informational call-to-action.,https://www.cllcancer.com/,cta_section_2,Treatment information,No direct catalog match identified.
Chronic Lymphocytic Leukemia (CLL) | Living With CLL,Footer Links,Footer section with links to policies and contact info.,S,1,Basic footer functionality and design.,https://www.cllcancer.com/,footer_links,Footer navigation,Catalog match found for 'Footer'.
Chronic Lymphocytic Leukemia (CLL) | Living With CLL,Footer Legal Text,Displays legal disclaimers and copyright info.,S,1,Static legal text with styling.,https://www.cllcancer.com/,footer_legal,Legal footer,Catalog match found for 'Footer'.
Chronic Lymphocytic Leukemia (CLL) | Living With CLL,Back to Top Button,Navigates back to the top of the page.,S,1,Basic button functionality.,https://www.cllcancer.com/,back_to_top,Utility button,No direct catalog match identified.
Register to Receive CLL Resources | Living With CLL,Utility Navigation,Provides quick access to utility links for signing up.,S,1,Basic navigation links; no advanced functionality.,https://www.cllcancer.com/register,global_utility_navigation,Utility strip,Could be mapped to a navigation utility block if available.
Register to Receive CLL Resources | Living With CLL,Primary Navigation,Main navigation bar for site sections.,M,1,Includes dropdowns and hierarchical structure.,https://www.cllcancer.com/register,primary_navigation,Main navigation,Consider mapping to a navigation block supporting dropdowns.
Register to Receive CLL Resources | Living With CLL,Hero Section,Prominent section with image and heading to capture attention.,M,1,Requires styling and responsive behavior.,https://www.cllcancer.com/register,hero_section,Hero,Mapped to 'Hero' block from AEM catalog.
Register to Receive CLL Resources | Living With CLL,Informational Text,Text block detailing registration process.,S,1,Static text content; minimal interactivity.,https://www.cllcancer.com/register,informational_text,Rich text,No matching block found in catalog.
Register to Receive CLL Resources | Living With CLL,Registration Form,Form for user registration and resource subscription.,C,1,"Includes validation, submission handling, and captcha.",https://www.cllcancer.com/register,registration_form,Form with fields,Mapped to 'Form' block from AEM catalog.
Register to Receive CLL Resources | Living With CLL,Footer Links,Links to policies and site information.,M,1,Requires fragment loading and styling.,https://www.cllcancer.com/register,footer_links,Footer links,Mapped to 'Footer' block from AEM catalog.
Register to Receive CLL Resources | Living With CLL,Footer Legal Text,Displays legal disclaimers and copyright information.,S,1,Static content; minimal interactivity.,https://www.cllcancer.com/register,footer_legal_text,Legal text,Mapped to 'Footer' block from AEM catalog.
Register to Receive CLL Resources | Living With CLL,Back to Top Button,Button for scrolling back to the top of the page.,S,1,Basic scroll functionality; minimal styling.,https://www.cllcancer.com/register,back_to_top_button,Scroll button,No matching block found in catalog.
CLL Prognosis &amp; Stages | Living With CLL,Global Utility Strip,Provides utility links and navigation options for user convenience.,S,1,Simple links and navigation without complex interactivity.,https://www.cllcancer.com/cll-prognosis,global_utility_strip,Utility strip,No direct match found in AEM catalog.
CLL Prognosis &amp; Stages | Living With CLL,Primary Header,Displays site branding and main navigation.,M,1,Includes branding and multi-level navigation.,https://www.cllcancer.com/cll-prognosis,primary_header,Main navigation,No direct match found in AEM catalog.
CLL Prognosis &amp; Stages | Living With CLL,Hero Section,Highlights the main topic with visual emphasis.,M,1,Prominent design element requiring responsive layout.,https://www.cllcancer.com/cll-prognosis,hero_section,Hero,No direct match found in AEM catalog.
CLL Prognosis &amp; Stages | Living With CLL,Breadcrumb Navigation,Facilitates user navigation with breadcrumb trails.,S,1,Straightforward navigation aid.,https://www.cllcancer.com/cll-prognosis,breadcrumb_navigation,Breadcrumb,No direct match found in AEM catalog.
CLL Prognosis &amp; Stages | Living With CLL,Main Content Introduction,Introduces the page content with headings and introductory text.,S,1,Simple textual content without interactive elements.,https://www.cllcancer.com/cll-prognosis,main_content_intro,Content introduction,No direct match found in AEM catalog.
CLL Prognosis &amp; Stages | Living With CLL,CTA Links,Provides call-to-action links for user engagement.,S,1,Basic links without additional functionality.,https://www.cllcancer.com/cll-prognosis,cta_links,Call-to-action,No direct match found in AEM catalog.
CLL Prognosis &amp; Stages | Living With CLL,Content Columns,Organizes content in a multi-column layout.,M,1,Requires styling for column layout and responsiveness.,https://www.cllcancer.com/cll-prognosis,content_columns,Multi-column content,No direct match found in AEM catalog.
CLL Prognosis &amp; Stages | Living With CLL,Flip Cards,Interactive cards that reveal information upon flipping.,C,1,Interactive elements with animations and dynamic content.,https://www.cllcancer.com/cll-prognosis,flip_cards,Interactive cards,No direct match found in AEM catalog.
CLL Prognosis &amp; Stages | Living With CLL,Footer,Displays footer content including links and site-wide information.,S,1,Static footer with basic styling.,https://www.cllcancer.com/cll-prognosis,footer,Footer,Matched with AEM catalog entry.
Search Results | Living With CLL,Utility Navigation,Provides quick access to utility links like sign-up and account-related actions.,S,1,Basic navigation links with minimal interactivity.,https://www.cllcancer.com/search-results,global_utility_navigation,Utility strip,Includes links and basic navigation functionality.
