Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,Global Header,The header section containing navigation and branding elements.,M,7,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,global_header,default,templateIds: tpl_0,screenshots/blocks/global_header__default.png
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,Hero Section,The main hero section highlighting the key message of the page.,M,7,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,hero_section,default,templateIds: tpl_0,screenshots/blocks/hero_section__default.png
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,Anchor Navigation,Navigation links for quickly accessing specific sections on the page.,M,6,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,anchor_navigation,default,templateIds: tpl_0,screenshots/blocks/anchor_navigation__default.png
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,Subpage Navigation,Navigation links for accessing related subpages.,M,5,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,subpage_navigation,default,templateIds: tpl_0,screenshots/blocks/subpage_navigation__default.png
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,PFS Section,Section detailing the progression-free survival data.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,pfs_section,default,templateIds: tpl_0,screenshots/blocks/pfs_section__default.png
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,OS Section,Section detailing the overall survival data.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,os_section,default,templateIds: tpl_0,screenshots/blocks/os_section__default.png
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,ORR Section,Section detailing the overall response rate data.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,orr_section,default,templateIds: tpl_0,screenshots/blocks/orr_section__default.png
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,Secondary Endpoints,Section discussing other secondary endpoints of the study.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,secondary_endpoints,default,templateIds: tpl_0,screenshots/blocks/secondary_endpoints__default.png
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,Tumor Analysis,Section showcasing exploratory tumor analysis data.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,tumor_analysis,default,templateIds: tpl_0,screenshots/blocks/tumor_analysis__default.png
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,Call-to-Action Cards,Cards providing links to additional resources and actions.,M,3,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,cta_cards,default,templateIds: tpl_0,screenshots/blocks/cta_cards__default.png
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,ISI Section,Important safety information section.,M,4,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,isi_section,default,templateIds: tpl_0,screenshots/blocks/isi_section__default.png
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,References Section,Section listing references and citations for the content.,M,4,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,references_section,default,templateIds: tpl_0,screenshots/blocks/references_section__default.png
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,Footer Section,The footer containing site-wide links and information.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,footer_section,default,templateIds: tpl_0,screenshots/blocks/footer_section__default.png
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,Exit Modal,Modal dialog displayed when attempting to exit the page.,M,3,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,exit_modal,default,templateIds: tpl_0,screenshots/blocks/exit_modal__default.png
ELAHERE® videos and resources | HCP,ELAHERE Videos Section,Introduces videos related to ELAHERE and its treatment.,M,1,Includes media content and descriptive text.,https://www.elaherehcp.com/support-resources/elahere-videos,elahere_videos_section,Video Introduction Section,No direct match found in the catalog.,screenshots/blocks/elahere_videos_section__default.png
ELAHERE® videos and resources | HCP,Video Cards Row 1,Displays a grid of video cards related to ELAHERE treatment.,M,1,Multiple cards with individual media and text content.,https://www.elaherehcp.com/support-resources/elahere-videos,video_cards_row_1,Video Cards Grid,template tpl_1,screenshots/blocks/video_cards_row_1__default.png
ELAHERE® videos and resources | HCP,Video Cards Row 2,Displays another set of video cards related to ELAHERE treatment.,M,1,Similar to the first row of video cards.,https://www.elaherehcp.com/support-resources/elahere-videos,video_cards_row_2,Video Cards Grid,template tpl_1,screenshots/blocks/video_cards_row_2__default.png
ELAHERE® videos and resources | HCP,Eye Care Videos Section,Provides information and videos about managing ocular adverse reactions.,M,2,Includes media and educational content.,https://www.elaherehcp.com/support-resources/elahere-videos,eye_care_videos_section,Video Information Section,No direct match found in the catalog.,screenshots/blocks/eye_care_videos_section__default.png
ELAHERE® videos and resources | HCP,Eye Care Video Cards,Displays video cards related to eye care management.,M,1,Multiple cards with individual media and text content.,https://www.elaherehcp.com/support-resources/elahere-videos,eye_care_video_cards,Video Cards Grid,template tpl_1,screenshots/blocks/eye_care_video_cards__default.png
ELAHERE® videos and resources | HCP,Patient Testimonials Section,Highlights patient stories and experiences with ELAHERE.,M,1,Includes narrative content and media.,https://www.elaherehcp.com/support-resources/elahere-videos,patient_testimonials_section,Testimonial Section,No direct match found in the catalog.,screenshots/blocks/patient_testimonials_section__default.png
ELAHERE® videos and resources | HCP,Patient Testimonial Cards,Displays video cards featuring patient testimonials.,M,1,Multiple cards with individual media and text content.,https://www.elaherehcp.com/support-resources/elahere-videos,patient_testimonial_cards,Video Cards Grid,template tpl_1,screenshots/blocks/patient_testimonial_cards__default.png
ELAHERE® videos and resources | HCP,Footer,Contains site-wide footer content and links.,S,4,"Static content, no dynamic behavior.",https://www.elaherehcp.com/support-resources/elahere-videos,footer,Site Footer,template tpl_1,screenshots/blocks/footer__default.png
Why FRα testing matters | Learn more about FRα-positive ovarian cancer treatment,FRα Expression Section,Explains the role of FRα in ovarian cancer.,M,1,Includes multimedia and detailed content.,https://www.elaherehcp.com/fra-and-elahere/why-testing-matters,fra_expression_section,Content with multimedia,Educational section on FRα.,screenshots/blocks/fra_expression_section__default.png
Why FRα testing matters | Learn more about FRα-positive ovarian cancer treatment,Statistics Cards,Displays key ovarian cancer statistics.,M,1,Requires responsive card layout.,https://www.elaherehcp.com/fra-and-elahere/why-testing-matters,statistics_cards,Statistical data cards,Engages users with visual data representation.,screenshots/blocks/statistics_cards__default.png
Why FRα testing matters | Learn more about FRα-positive ovarian cancer treatment,NCCN Guidelines Section,Details NCCN recommendations.,M,1,Structured content with images.,https://www.elaherehcp.com/fra-and-elahere/why-testing-matters,nccn_guidelines_section,Guideline overview,Provides authoritative guidance.,screenshots/blocks/nccn_guidelines_section__default.png
Why FRα testing matters | Learn more about FRα-positive ovarian cancer treatment,Role of FRα Section,Explains FRα's role in ovarian cancer.,M,1,Includes detailed content and visuals.,https://www.elaherehcp.com/fra-and-elahere/why-testing-matters,role_of_fra_section,Educational content,Supports understanding of FRα's significance.,screenshots/blocks/role_of_fra_section__default.png
Why FRα testing matters | Learn more about FRα-positive ovarian cancer treatment,MOD & MOA Section,Describes ELAHERE's mechanism of action.,C,1,Complex multimedia and detailed explanations.,https://www.elaherehcp.com/fra-and-elahere/why-testing-matters,mod_moa_section,Mechanism of action,Critical for understanding the treatment.,screenshots/blocks/mod_moa_section__default.png
Why FRα testing matters | Learn more about FRα-positive ovarian cancer treatment,Action Cards,Encourages user engagement with calls-to-action.,M,1,Interactive card design.,https://www.elaherehcp.com/fra-and-elahere/why-testing-matters,action_cards,Call-to-action cards,Drives user interaction.,screenshots/blocks/action_cards__default.png
ELAHERE® dosing and administration calculator | HCP,Hero Section,Prominent hero section introducing the page's main topic.,M,1,Visual prominence and potential interactivity.,https://www.elaherehcp.com/dosing/preparation-administration,main_hero,Visual hero with headline.,Ensure responsiveness and cross-browser compatibility.,screenshots/blocks/main_hero__default.png
ELAHERE® dosing and administration calculator | HCP,Prophylactic Medications Section,Details on medications to manage infusion experiences.,M,1,Includes medical content and tabular data.,https://www.elaherehcp.com/dosing/preparation-administration,prophylactic_medications,Informational section.,Ensure medical accuracy and clarity.,screenshots/blocks/prophylactic_medications__default.png
ELAHERE® dosing and administration calculator | HCP,Dosage Calculation Section,Information and cards related to dosage and AIBW calculations.,C,1,Interactive elements and critical data calculations.,https://www.elaherehcp.com/dosing/preparation-administration,dosage_calculation,Interactive dosage cards.,Requires precise data handling.,screenshots/blocks/dosage_calculation__default.png
ELAHERE® dosing and administration calculator | HCP,AIBW Calculator,Interactive calculator for determining AIBW-based dosages.,C,1,Requires interactive logic and validation.,https://www.elaherehcp.com/dosing/preparation-administration,aibw_calculator,Interactive calculator.,Critical for user decision-making.,screenshots/blocks/aibw_calculator__default.png
ELAHERE® dosing and administration calculator | HCP,Preparation Instructions,Step-by-step instructions for preparing ELAHERE.,M,1,Sequential visual and textual content.,https://www.elaherehcp.com/dosing/preparation-administration,preparation_instructions,Step-by-step guide.,Ensure clarity and usability.,screenshots/blocks/preparation_instructions__default.png
ELAHERE® dosing and administration calculator | HCP,Administration Instructions,Guidelines and steps for administering ELAHERE.,M,1,Detailed procedural content.,https://www.elaherehcp.com/dosing/preparation-administration,administration_instructions,Administration guide.,Requires precise instructional design.,screenshots/blocks/administration_instructions__default.png
ELAHERE® dosing and administration calculator | HCP,Downloadable Resources,Links to download additional resources like booklets and information sheets.,S,1,Simple link aggregation.,https://www.elaherehcp.com/dosing/preparation-administration,download_resources,Resource links.,Ensure easy access and usability.,screenshots/blocks/download_resources__default.png
ELAHERE® dosing and administration calculator | HCP,Global Footer,Footer section with additional navigation and site information.,M,2,Includes navigation and legal links.,https://www.elaherehcp.com/dosing/preparation-administration,global_footer,Footer navigation and details.,Accessibility compliance is key.,screenshots/blocks/global_footer__default.png
ELAHERE® safety and ocular side effects | HCP,Most Common ARs Section,Displays adverse reactions occurring in 10% or more patients.,M,1,Includes tabular data and statistical presentation.,https://www.elaherehcp.com/safety/,most_common_ars,Data table,Requires accurate data representation.,screenshots/blocks/most_common_ars__default.png
ELAHERE® safety and ocular side effects | HCP,Laboratory Abnormalities Section,Details laboratory abnormalities observed in the study.,M,1,Similar to the Most Common ARs Section in structure.,https://www.elaherehcp.com/safety/,laboratory_abnormalities,Data table,Includes detailed medical data.,screenshots/blocks/laboratory_abnormalities__default.png
ELAHERE® safety and ocular side effects | HCP,Additional ARs of Interest,Lists additional adverse reactions of interest.,M,1,Requires careful categorization and presentation.,https://www.elaherehcp.com/safety/,additional_ars_interest,Data table,Supports detailed medical insights.,screenshots/blocks/additional_ars_interest__default.png
ELAHERE® safety and ocular side effects | HCP,Ocular ARs Section,Provides information on ocular adverse reactions.,M,1,Includes specific medical conditions and data.,https://www.elaherehcp.com/safety/,ocular_ars,Data table,Focuses on ocular-related data.,screenshots/blocks/ocular_ars__default.png
ELAHERE® safety and ocular side effects | HCP,Longer-Term Follow-Up,Summarizes findings from longer-term follow-up studies.,M,1,Includes longitudinal data and insights.,https://www.elaherehcp.com/safety/,longer_term_follow_up,Summary section,Highlights long-term study outcomes.,screenshots/blocks/longer_term_follow_up__default.png
ELAHERE (mirvetuximab soravtansine-gynx) treats FRα-positive ovarian cancer,Hero Disclaimer,Presents disclaimer text within the hero section.,S,1,Simple text presentation.,https://www.elaherehcp.com/,hero_disclaimer,Disclaimer text,No direct match found in AEM catalog.,screenshots/blocks/hero_disclaimer__default.png
ELAHERE (mirvetuximab soravtansine-gynx) treats FRα-positive ovarian cancer,Hero Statistics,Displays key statistics and data points.,M,1,Data presentation with potential interactive elements.,https://www.elaherehcp.com/,hero_statistics,Statistics display,No direct match found in AEM catalog.,screenshots/blocks/hero_statistics__default.png
ELAHERE (mirvetuximab soravtansine-gynx) treats FRα-positive ovarian cancer,Indication Statement,Details the product's indication and usage.,M,1,Text-heavy section with potential for compliance considerations.,https://www.elaherehcp.com/,indication_statement,Indication text,No direct match found in AEM catalog.,screenshots/blocks/indication_statement__default.png
ELAHERE® request a rep | HCP,Skip to Main Content Link,Provides a link for users to skip directly to the main content area of the page.,S,1,Simple accessibility feature with minimal implementation complexity.,https://www.elaherehcp.com/request-a-rep,skip_to_main_content,Utility strip,This block is critical for accessibility compliance.,screenshots/blocks/skip_to_main_content__default.png
ELAHERE® request a rep | HCP,Site Header,Contains the primary navigation and branding for the site.,M,1,"Includes navigation and branding, requiring moderate configuration.",https://www.elaherehcp.com/request-a-rep,header,Main navigation,Ensure the navigation is fully accessible and styled appropriately.,screenshots/blocks/header__default.png
