Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
LINZESS® (linaclotide) Safety Profile Among CIC Patients | For HCPs,Global Utility Strip,"Provides quick access to important links such as safety information, prescribing information, and external resources.",S,1,Simple navigation links with no dynamic functionality.,https://www.linzesshcp.com/linzess-cic-safety,global_utility_strip,Utility strip,No exact match found in the catalog.
LINZESS® (linaclotide) Safety Profile Among CIC Patients | For HCPs,Primary Navigation,Main site navigation allowing users to access different sections of the website.,M,1,Main navigation with potential submenus and hierarchical structure.,https://www.linzesshcp.com/linzess-cic-safety,primary_navigation,Main navigation,No exact match found in the catalog.
LINZESS® (linaclotide) Safety Profile Among CIC Patients | For HCPs,Hero Banner,Displays a prominent image and title to introduce the page content.,M,1,Visual and responsive design considerations for the hero banner.,https://www.linzesshcp.com/linzess-cic-safety,hero_banner,Hero banner,No exact match found in the catalog.
LINZESS® (linaclotide) Safety Profile Among CIC Patients | For HCPs,CIC Safety Introduction,Introduces the safety profile of LINZESS for CIC patients with key highlights.,S,1,Static content with text and possibly a heading.,https://www.linzesshcp.com/linzess-cic-safety,cic_safety_intro,Introduction section,No exact match found in the catalog.
LINZESS® (linaclotide) Safety Profile Among CIC Patients | For HCPs,Adverse Reactions Section,Details common adverse reactions and their frequencies.,M,1,Tabular or list representation of medical data.,https://www.linzesshcp.com/linzess-cic-safety,adverse_reactions_section,Adverse reactions,No exact match found in the catalog.
LINZESS® (linaclotide) Safety Profile Among CIC Patients | For HCPs,Important Safety Information,Provides critical safety warnings and usage indications for LINZESS.,S,1,Static content with legal and safety information.,https://www.linzesshcp.com/linzess-cic-safety,important_safety_information,Safety information,No exact match found in the catalog.
LINZESS® (linaclotide) Safety Profile Among CIC Patients | For HCPs,Footer,"Provides links to additional resources, legal disclaimers, and company information.",S,1,Standard footer block with static links and styling.,https://www.linzesshcp.com/linzess-cic-safety,footer,Footer,Matched with the catalog entry for Footer.
Mechanism of Action in IBS-C | LINZESS® (linaclotide),Global Utility Navigation,Provides quick access links to important resources.,M,1,Requires accessibility and navigation structure compliance.,https://www.linzesshcp.com/ibs-c-moa,global_utility_navigation,Utility strip,No direct match in catalog.
Mechanism of Action in IBS-C | LINZESS® (linaclotide),Primary Navigation,Main navigation for accessing site sections.,C,1,Deep navigation structure with potential for dynamic content.,https://www.linzesshcp.com/ibs-c-moa,primary_navigation,Main navigation,No direct match in catalog.
Mechanism of Action in IBS-C | LINZESS® (linaclotide),Hero Banner,Displays the main visual and title for the page.,M,1,"Includes large image and heading, styled with CSS.",https://www.linzesshcp.com/ibs-c-moa,hero_banner,Hero section,Matched to 'Hero' in catalog.
Mechanism of Action in IBS-C | LINZESS® (linaclotide),Main Content Section,Detailed information on mechanism of action.,M,1,Contains mixed media and textual content.,https://www.linzesshcp.com/ibs-c-moa,main_content_section,Content section,No direct match in catalog.
Mechanism of Action in IBS-C | LINZESS® (linaclotide),Important Safety Information,Displays critical safety and usage information.,M,1,Requires strict compliance with safety standards.,https://www.linzesshcp.com/ibs-c-moa,important_safety_information,Safety content,No direct match in catalog.
Mechanism of Action in IBS-C | LINZESS® (linaclotide),Footer Navigation,Provides additional links and legal information.,M,1,Includes structured legal and navigational links.,https://www.linzesshcp.com/ibs-c-moa,footer_navigation,Footer section,Matched to 'Footer' in catalog.
"LINZESS® (linaclotide) for IBS-C, CIC, Functional Constipation Symptoms",Utility Navigation,"Provides quick access to important links such as AbbVie Access, Safety Information, and Patient Site.",S,1,Simple navigation links without complex functionality.,https://www.linzesshcp.com/,global_utility_navigation,Utility strip,No direct match found in AEM catalog.
"LINZESS® (linaclotide) for IBS-C, CIC, Functional Constipation Symptoms",Primary Navigation,"Main site navigation with links to sections like Dosing, Indications, and Support.",M,1,Includes dropdowns and hierarchical menu structure.,https://www.linzesshcp.com/,primary_navigation,Main navigation,No direct match found in AEM catalog.
"LINZESS® (linaclotide) for IBS-C, CIC, Functional Constipation Symptoms",Hero Banner,Prominent banner showcasing the main message and call-to-action for the site.,M,1,Visual prominence and dynamic content.,https://www.linzesshcp.com/,hero_banner,Hero element,No direct match found in AEM catalog.
"LINZESS® (linaclotide) for IBS-C, CIC, Functional Constipation Symptoms",Indications Section,Highlights the various indications for LINZESS with links to detailed information.,M,1,Includes multiple links and detailed content.,https://www.linzesshcp.com/,indications_section,Content section,No direct match found in AEM catalog.
"LINZESS® (linaclotide) for IBS-C, CIC, Functional Constipation Symptoms",Safety Information,Displays critical safety and usage information for the product.,M,1,Legal and compliance requirements add complexity.,https://www.linzesshcp.com/,important_safety_information,Compliance content,No direct match found in AEM catalog.
"LINZESS® (linaclotide) for IBS-C, CIC, Functional Constipation Symptoms",Footer,Contains site-wide footer content including legal disclaimers and links.,S,1,Standard footer with links and disclaimers.,https://www.linzesshcp.com/,footer_section,Footer,No direct match found in AEM catalog.
