Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Lo Loestrin® Fe – For Healthcare Providers,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://hcp.loloestrin.com/,header_utility_strip,default,templateIds: tpl_0,screenshots/blocks/header_utility_strip__default.png
Lo Loestrin® Fe – For Healthcare Providers,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://hcp.loloestrin.com/,header_primary_navigation,default,templateIds: tpl_0,screenshots/blocks/header_primary_navigation__default.png
Lo Loestrin® Fe – For Healthcare Providers,columns,"Major content region in main (div). Preview: The only available ultra-low-dose oral contraceptive (OC) with just 10 mcg of daily estrogen1,2 Discover Why There Is On…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://hcp.loloestrin.com/,columns,default,templateIds: tpl_0,screenshots/blocks/columns__default.png
Lo Loestrin® Fe – For Healthcare Providers,main region 1,Major content region in main (div).,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://hcp.loloestrin.com/,main_region_1,default,templateIds: tpl_0,screenshots/blocks/main_region_1__default.png
Lo Loestrin® Fe – For Healthcare Providers,main region 2,Major content region in main (div). Preview: LOWEST DAILY ESTROGEN DOSE The only available ultra-low-dose oral contraceptive (OC) with just 10 mcg of ethinyl estradi…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://hcp.loloestrin.com/,main_region_2,default,templateIds: tpl_0,screenshots/blocks/main_region_2__default.png
Lo Loestrin® Fe – For Healthcare Providers,main region 3,"Major content region in main (div). Preview: PREGNANCY PREVENTION THAT MAY ALSO PROVIDE SHORT, LIGHTER PERIODS1,5 Mean duration of withdrawal bleeding was <2 days pe…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://hcp.loloestrin.com/,main_region_3,default,templateIds: tpl_0,screenshots/blocks/main_region_3__default.png
Lo Loestrin® Fe – For Healthcare Providers,main region 4,Major content region in main (div). Preview: Lo Loestrin Fe provides brand consistency at the pharmacy There is no generic equivalent available2—include Dispense As …,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://hcp.loloestrin.com/,main_region_4,default,templateIds: tpl_0,screenshots/blocks/main_region_4__default.png
Lo Loestrin® Fe – For Healthcare Providers,main region 5,Major content region in main (div). Preview: A survey* of more than 1000 current and potential OC users found that5: are interested† in an OC with the lowest amount …,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://hcp.loloestrin.com/,main_region_5,default,templateIds: tpl_0,screenshots/blocks/main_region_5__default.png
Lo Loestrin® Fe – For Healthcare Providers,main region 6,"Major content region in main (div). Preview: Lo Loestrin Fe is widely covered and available at $0 out-of-pocket cost for many patients5,6 ~80% of commercially insure…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://hcp.loloestrin.com/,main_region_6,default,templateIds: tpl_0,screenshots/blocks/main_region_6__default.png
Lo Loestrin® Fe – For Healthcare Providers,Carousel / spotlight,"Rotating or swipeable spotlight region (announcements, hero slides, promos).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://hcp.loloestrin.com/,carousel_region_0,default,templateIds: tpl_0,screenshots/blocks/carousel_region_0__default.png
Lo Loestrin® Fe – For Healthcare Providers,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://hcp.loloestrin.com/,site_footer,default,templateIds: tpl_0,screenshots/blocks/site_footer__default.png
HCP Resources,Utility Navigation,Provides links to utility information like safety and prescribing details.,M,2,Contains multiple links and accessibility considerations.,https://hcp.loloestrin.com/hcp-resources,utility_navigation,Utility strip,Requires validation of link accessibility and semantic HTML.,screenshots/blocks/utility_navigation__default.png
