Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Home,Utility Navigation,Provides quick access to important links.,S,1,Simple navigation with few links.,https://www.synthroidhcppr.com/,utility_navigation,Utility strip,Requires minimal customization.
Home,Primary Navigation,Main site navigation with hierarchical links.,M,1,Includes submenu functionality.,https://www.synthroidhcppr.com/,primary_navigation,Main navigation,Ensure accessibility compliance for nested menus.
Home,Hero Section,Highlights the main message about Synthroid.,M,1,Includes large image and heading styling.,https://www.synthroidhcppr.com/,hero_section,Hero layout,Ensure responsive design compatibility.
Home,Content Columns,Displays detailed information in a columnar layout.,M,1,Responsive layout adapts to screen sizes.,https://www.synthroidhcppr.com/,content_columns,Information columns,Adapt layout for mobile and desktop views.
Home,Important Safety Information,Displays critical safety information.,S,1,Static content display.,https://www.synthroidhcppr.com/,important_safety_information,Safety notice,Content should be easily readable.
Home,Footer,Site-wide footer with links and information.,S,1,Basic footer implementation.,https://www.synthroidhcppr.com/,footer,Footer bar,Ensure consistent styling across pages.
Home,Back to Top Button,Scrolls the user back to the top of the page.,S,1,Simple button functionality.,https://www.synthroidhcppr.com/,back_to_top,Scroll button,Include smooth scrolling animation.
Home,Special Considerations Modal,Displays special considerations in a modal dialog.,M,1,Requires modal styling and behavior.,https://www.synthroidhcppr.com/,modal_special_considerations,Information modal,Ensure accessibility for modal interactions.
Home,Study Design Modal,Provides detailed study design information in a modal.,M,1,Requires modal styling and behavior.,https://www.synthroidhcppr.com/,modal_study_design,Information modal,Ensure accessibility for modal interactions.
Home,Warn on Leave Modal,Notifies users about leaving the site.,M,1,Requires modal styling and behavior.,https://www.synthroidhcppr.com/,modal_warn_on_leave,Notification modal,Ensure accessibility for modal interactions.
Prescribing SYNTHROID® (levothyroxine sodium tablets),Global Utility Navigation,Provides quick access to key resources and links.,S,1,Simple navigation links with minimal interactivity.,https://www.synthroidhcppr.com/prescribing,global_utility_navigation,Utility strip,No exact match in catalog.
Prescribing SYNTHROID® (levothyroxine sodium tablets),Primary Header,Displays main branding and navigation including logo and primary menu.,M,1,Includes branding and dropdown navigation.,https://www.synthroidhcppr.com/prescribing,primary_header,Main navigation,No exact match in catalog.
Prescribing SYNTHROID® (levothyroxine sodium tablets),Hero Section,Highlights main message or feature with image and text.,M,1,Prominent visual element with text overlay.,https://www.synthroidhcppr.com/prescribing,hero_section,Hero with image and text,Matched to 'Hero' in catalog.
Prescribing SYNTHROID® (levothyroxine sodium tablets),Manufacturing Integrity Section,Details about quality and integrity in manufacturing.,M,1,Custom content block with specific layout.,https://www.synthroidhcppr.com/prescribing,manufacturing_integrity_section,Informational section,No exact match in catalog.
Prescribing SYNTHROID® (levothyroxine sodium tablets),Patient Information Section,Provides prescription statistics and importance of proper dispensing.,M,1,Custom layout for statistics and information.,https://www.synthroidhcppr.com/prescribing,patient_information_section,Informational section,No exact match in catalog.
Prescribing SYNTHROID® (levothyroxine sodium tablets),Preventing Substitution Section,Explains prevention of nonmedical substitutions.,M,1,Custom educational content.,https://www.synthroidhcppr.com/prescribing,preventing_substitution_section,Informational section,No exact match in catalog.
Prescribing SYNTHROID® (levothyroxine sodium tablets),Clinical Guidelines Section,Offers prescribing guidelines and considerations.,M,1,Detailed guidelines with structured layout.,https://www.synthroidhcppr.com/prescribing,clinical_guidelines_section,Guidelines section,No exact match in catalog.
Prescribing SYNTHROID® (levothyroxine sodium tablets),Important Safety Information,Displays critical safety and usage information.,M,1,Important compliance and safety information.,https://www.synthroidhcppr.com/prescribing,important_safety_information,Information block,No exact match in catalog.
Prescribing SYNTHROID® (levothyroxine sodium tablets),Footer,Contains site-wide links and legal information.,S,1,Standard footer implementation.,https://www.synthroidhcppr.com/prescribing,footer,Footer,Matched to 'Footer' in catalog.
Dosing &amp; Administration - SYNTHROID® (levothyroxine sodium tablets),Global Utility Strip,Provides quick access to utility links such as prescribing information and contact options.,S,1,Simple navigation links with minimal interactivity.,https://www.synthroidhcppr.com/dosing,global_utility_strip,Utility navigation,No direct match found in the AEM catalog.
Dosing &amp; Administration - SYNTHROID® (levothyroxine sodium tablets),Primary Header,"Contains branding, logo, and main navigation for the website.",M,1,Includes branding and multi-level navigation.,https://www.synthroidhcppr.com/dosing,primary_header,Main navigation,No direct match found in the AEM catalog.
Dosing &amp; Administration - SYNTHROID® (levothyroxine sodium tablets),Hero Section,"Highlights the main message and visual for the page, emphasizing dosing and monitoring.",M,1,Prominent visual and text content with potential animations.,https://www.synthroidhcppr.com/dosing,hero_section,Hero,No direct match found in the AEM catalog.
Dosing &amp; Administration - SYNTHROID® (levothyroxine sodium tablets),Dosing Options,Displays the available Synthroid dosing options with corresponding pill images.,M,1,Visual representation of dosing options with interactive elements.,https://www.synthroidhcppr.com/dosing,dosing_options,Content grid,No direct match found in the AEM catalog.
Dosing &amp; Administration - SYNTHROID® (levothyroxine sodium tablets),Monitoring Guidelines,Provides information on hypothyroid medication monitoring and dosing guidelines.,S,1,Static informational content.,https://www.synthroidhcppr.com/dosing,monitoring_guidelines,Informational content,No direct match found in the AEM catalog.
Dosing &amp; Administration - SYNTHROID® (levothyroxine sodium tablets),Pill Tabs,Interactive tabs showcasing Synthroid pill details and dosages.,C,1,Interactive tab-based navigation with detailed content.,https://www.synthroidhcppr.com/dosing,pill_tabs,Interactive tabs,No direct match found in the AEM catalog.
Dosing &amp; Administration - SYNTHROID® (levothyroxine sodium tablets),Footer,Contains site-wide footer information and additional navigation links.,S,1,Static footer with basic navigation links.,https://www.synthroidhcppr.com/dosing,footer,Footer,Mapped to catalog entry with matching name.
Sitemap,Global Utility Navigation,Provides quick access to important links.,S,1,Basic navigation with limited interactivity.,https://www.synthroidhcppr.com/sitemap,global_utility_navigation,Utility strip,No direct match found in the AEM catalog.
