Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
EPKINLY® for 3L+ DLBCL and 2L FL or 3L FL,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,29,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/,header_utility_strip,default,templateIds: tpl_0,screenshots/blocks/header_utility_strip__default.png
EPKINLY® for 3L+ DLBCL and 2L FL or 3L FL,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,29,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/,header_primary_navigation,default,templateIds: tpl_0,screenshots/blocks/header_primary_navigation__default.png
EPKINLY® for 3L+ DLBCL and 2L FL or 3L FL,main region 0,Major content region in main (div). Preview: Discover what's possible with the power of EPKINLY EPKINLY is the only bispecific approved for both DLBCL and FL EPKINLY…,M,29,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/,main_region_0,default,templateIds: tpl_0,screenshots/blocks/main_region_0__default.png
EPKINLY® for 3L+ DLBCL and 2L FL or 3L FL,Site footer,"Footer links, legal, social, and ancillary navigation.",M,29,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/,site_footer,default,templateIds: tpl_0,screenshots/blocks/site_footer__default.png
3L FL Patient Support and Resources - EPKINLY® (epcoritamab-bysp),main region 1,"Major content region in main (div). Preview: MyNavCare MyNavCare Patient Support™ is here to support you With MyNavCare, you can receive personalized support through…",M,18,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/content/dam/epcoritamab/docs/fl-patient-brochure-spanish.pdf,main_region_1,default,templateIds: tpl_1,screenshots/blocks/main_region_1__default.png
3L FL Patient Support and Resources - EPKINLY® (epcoritamab-bysp),main region 2,Major content region in main (div). Preview: A partner on your treatment journey with EPKINLY Your healthcare provider is your main source for treatment information.…,M,15,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/content/dam/epcoritamab/docs/fl-patient-brochure-spanish.pdf,main_region_2,default,templateIds: tpl_1,screenshots/blocks/main_region_2__default.png
3L FL Patient Support and Resources - EPKINLY® (epcoritamab-bysp),main region 3,Major content region in main (div). Preview: Downloadable resources Patient brochure Learn about EPKINLY. Download the patient brochure Treatment consideration guide…,M,11,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/content/dam/epcoritamab/docs/fl-patient-brochure-spanish.pdf,main_region_3,default,templateIds: tpl_1,screenshots/blocks/main_region_3__default.png
3L FL Patient Support and Resources - EPKINLY® (epcoritamab-bysp),main region 4,Major content region in main (div). Preview: Recursos en español Consulte aquí la guía de medicamentos. Tarjeta de bolsillo Usted y su socio de atención deben conser…,M,7,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/content/dam/epcoritamab/docs/fl-patient-brochure-spanish.pdf,main_region_4,default,templateIds: tpl_1,screenshots/blocks/main_region_4__default.png
3L FL Patient Support and Resources - EPKINLY® (epcoritamab-bysp),main region 5,Major content region in main (div). Preview: Support for you and your Care Partner Here are some organizations that can help Patients and Care Partners connect with …,M,5,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/content/dam/epcoritamab/docs/fl-patient-brochure-spanish.pdf,main_region_5,default,templateIds: tpl_1,screenshots/blocks/main_region_5__default.png
3L FL Patient Support and Resources - EPKINLY® (epcoritamab-bysp),main region 6,Major content region in main (div). Preview: Resources for your Care Partner Having support can help your loved one get the most from their treatment plan. Learn abo…,M,5,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/content/dam/epcoritamab/docs/fl-patient-brochure-spanish.pdf,main_region_6,default,templateIds: tpl_1,screenshots/blocks/main_region_6__default.png
Starting on EPKINLY® (epcoritamab-bysp),main region 7,"Major content region in main (div). Preview: Hear from a real EPKINLY patient ""It was a wonderful thing to know that this was an option that was going to give us a c…",M,3,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/treatment-with-epkinly,main_region_7,default,templateIds: tpl_13,screenshots/blocks/main_region_7__default.png
Starting on EPKINLY® (epcoritamab-bysp),main region 8,"Major content region in main (div). Preview: If you’ve been prescribed EPKINLY by your doctor, you can track how you’re feeling, appointments, and questions for your…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/treatment-with-epkinly,main_region_8,default,templateIds: tpl_13,screenshots/blocks/main_region_8__default.png
DLBCL Care Partner Support &amp; Resources - EPKINLY® (epcoritamab-bysp),columns,Major content region in main (div). Preview: Downloadable resources Care Partner brochure Learn how you can support your loved one during their treatment. Download t…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.epkinly.com/dlbcl/care-partner-support,columns,default,templateIds: tpl_26,screenshots/blocks/columns__default.png
