Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Humira Puerto Rico,Global Utility Strip,Provides a top navigation bar with contact and subscription information.,S,1,Simple structure with static links and minimal interactivity.,https://www.humirapr.com/,global_utility_strip,Utility strip,No direct match found in the catalog.
Humira Puerto Rico,Primary Navigation,Main navigation menu with links to various sections and dropdowns.,M,1,Includes dropdowns and interactive elements.,https://www.humirapr.com/,primary_navigation,Main navigation,No direct match found in the catalog.
Humira Puerto Rico,Hero Section,Displays a prominent image and motivational message for the page.,M,1,Requires responsive design and integration of visual assets.,https://www.humirapr.com/,hero_section_1,Hero banner,Matched to the 'Hero' block in the catalog.
Humira Puerto Rico,Contact Information,Displays contact details and patient resources.,S,1,Static content with links and minimal styling.,https://www.humirapr.com/,contact_block,Contact section,No direct match found in the catalog.
Humira Puerto Rico,Manage Condition Info,Provides information for managing medical conditions.,S,1,Simple layout with static content.,https://www.humirapr.com/,manage_condition_block,Informational block,No direct match found in the catalog.
Humira Puerto Rico,Video Section,Embeds a video explaining product usage.,C,1,Requires video embedding and performance optimization features.,https://www.humirapr.com/,video_section,Video embed,Matched to the 'Video' block in the catalog.
Humira Puerto Rico,Information Section,Detailed information about product usage and safety.,M,1,Extensive content requiring structured presentation.,https://www.humirapr.com/,info_section,Informational content,No direct match found in the catalog.
Humira Puerto Rico,Footer Navigation,Provides links to important resources and information.,S,1,Static footer links with minimal interactivity.,https://www.humirapr.com/,footer_navigation,Footer links,No direct match found in the catalog.
Artritis Reumatoide | Humira Puerto Rico,Global Utility Strip,Provides quick access to important links and contact information.,S,1,Simple links and text.,https://www.humirapr.com/artritis_reumatoide/,global_utility_strip,Utility strip,No direct match in catalog.
Artritis Reumatoide | Humira Puerto Rico,Primary Navigation,"Main navigation menu for the site, including dropdowns for conditions and resources.",C,1,Deep navigation with dropdowns and multiple links.,https://www.humirapr.com/artritis_reumatoide/,primary_navigation,Main navigation,No direct match in catalog.
Artritis Reumatoide | Humira Puerto Rico,Subnavigation Wrapper,Displays additional navigation links and branding for larger screens.,M,1,Secondary navigation with branding.,https://www.humirapr.com/artritis_reumatoide/,subnav_wrapper,Subnavigation,No direct match in catalog.
