Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Adverse Reaction Management - EMRELIS™ HCP,Utility Navigation,Provides quick access to important links.,S,6,Simple navigation links without complex interactivity.,https://www.emrelishcp.com/dosing/adverse-reaction-copy,utility_navigation,Utility strip,No matching catalog entry found.,screenshots/blocks/utility_navigation__default.png
Adverse Reaction Management - EMRELIS™ HCP,Primary Navigation,Main navigation menu for website sections.,M,12,Moderate complexity due to potential nested menu items.,https://www.emrelishcp.com/dosing/adverse-reaction-copy,primary_navigation,Main navigation,No matching catalog entry found.,screenshots/blocks/primary_navigation__default.png
Adverse Reaction Management - EMRELIS™ HCP,Hero Section,Highlights the main topic with an image and title.,M,13,Involves styling and responsiveness for prominent display.,https://www.emrelishcp.com/dosing/adverse-reaction-copy,hero_section,Hero banner,No matching catalog entry found.,screenshots/blocks/hero_section__default.png
Adverse Reaction Management - EMRELIS™ HCP,Main Title,Displays the primary heading of the page.,S,2,Single element with straightforward styling.,https://www.emrelishcp.com/dosing/adverse-reaction-copy,main_title,Page title,No matching catalog entry found.,screenshots/blocks/main_title__default.png
Adverse Reaction Management - EMRELIS™ HCP,Content Accordion,Provides expandable sections for detailed information.,M,1,Requires JavaScript for interactivity and CSS for styling.,https://www.emrelishcp.com/dosing/adverse-reaction-copy,content_accordion,Accordion,Catalog entry matched: 'Accordion'.,screenshots/blocks/content_accordion__default.png
Adverse Reaction Management - EMRELIS™ HCP,Image Section,Displays an illustrative image for dosage adjustment.,S,1,Static content with simple layout.,https://www.emrelishcp.com/dosing/adverse-reaction-copy,image_section_1,Image display,No matching catalog entry found.,screenshots/blocks/image_section_1__default.png
Adverse Reaction Management - EMRELIS™ HCP,Important Safety Information,Contains critical safety details about the product.,M,8,Content requires high visibility and compliance considerations.,https://www.emrelishcp.com/dosing/adverse-reaction-copy,important_safety_information,Safety information,No matching catalog entry found.,screenshots/blocks/important_safety_information__default.png
How EMRELIS Works - EMRELIS™ HCP,About EMRELIS Introduction,Overview section with title and subtitle.,S,1,Simple text display with styling.,https://www.emrelishcp.com/about-emrelis,about_emrelis_intro,Introduction,No matching catalog entry found.,screenshots/blocks/about_emrelis_intro__default.png
How EMRELIS Works - EMRELIS™ HCP,Key Features,Highlights features with images and descriptions.,M,1,Includes images and styled content layout.,https://www.emrelishcp.com/about-emrelis,key_features,Feature highlights,No matching catalog entry found.,screenshots/blocks/key_features__default.png
How EMRELIS Works - EMRELIS™ HCP,Mechanism of Action,Explains EMRELIS mechanism using video and text.,C,1,Involves video integration and detailed content.,https://www.emrelishcp.com/about-emrelis,mechanism_of_action,Video-based explanation,No matching catalog entry found.,screenshots/blocks/mechanism_of_action__default.png
