Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
VUITY® FAQs for HCP and Patients | ECP Allergan,Utility Navigation,Provides quick access to utility links for healthcare professionals.,S,4,Simple navigation links without significant interactivity.,https://www.vuitypro.com/faqs,global_utility_navigation,Utility strip,No direct match in AEM catalog.,screenshots/blocks/global_utility_navigation__default.png
VUITY® FAQs for HCP and Patients | ECP Allergan,Primary Navigation,Main navigation for accessing key sections of the site.,M,7,Deeper navigation hierarchy with multiple levels.,https://www.vuitypro.com/faqs,primary_navigation,Main navigation,No direct match in AEM catalog.,screenshots/blocks/primary_navigation__default.png
VUITY® FAQs for HCP and Patients | ECP Allergan,Hero Section,Prominent banner area introducing the page.,M,4,Requires integration of imagery and text with responsive design.,https://www.vuitypro.com/faqs,hero_section,Hero banner,Matched with AEM Hero block.,screenshots/blocks/hero_section__default.png
VUITY® FAQs for HCP and Patients | ECP Allergan,FAQ Section,Accordion-style FAQ section for detailed question-and-answer display.,C,1,Interactive accordion requiring accessibility and dynamic content handling.,https://www.vuitypro.com/faqs,faq_section,Accordion,Matched with AEM Accordion block.,screenshots/blocks/faq_section__default.png
VUITY® FAQs for HCP and Patients | ECP Allergan,Important Safety Information,Displays critical safety and prescribing information.,M,7,Requires precise formatting and integration of legal content.,https://www.vuitypro.com/faqs,important_safety_information,Safety information,No direct match in AEM catalog.,screenshots/blocks/important_safety_information__default.png
VUITY® FAQs for HCP and Patients | ECP Allergan,Footer,Footer section with links to legal and informational resources.,S,6,Static content with simple layout.,https://www.vuitypro.com/faqs,footer,Footer,Matched with AEM Footer block.,screenshots/blocks/footer__default.png
sitemap,Safety Bar,Expandable section for product warnings and safety information.,C,1,Interactive expandable component with legal compliance.,https://www.vuitypro.com/sitemap,safety_bar,Expandable safety bar,No direct match in the AEM catalog.,screenshots/blocks/safety_bar__default.png
VUITY® | ECP Allergan,Utility Navigation,Provides secondary navigation links for specific user groups.,S,1,Simple navigation without deep interaction.,https://www.vuitypro.com/,global_utility_strip,Utility strip,No matching block found in the catalog.,screenshots/blocks/global_utility_strip__default.png
VUITY® | ECP Allergan,FDA Approval Highlight,Emphasizes FDA approval with supporting text.,S,1,Static content display without interactivity.,https://www.vuitypro.com/,fda_approval_highlight,Approval highlight,No matching block found in the catalog.,screenshots/blocks/fda_approval_highlight__default.png
VUITY® | ECP Allergan,Formulation Section,Details product formulation and benefits.,M,2,Includes structured content and potential interactivity.,https://www.vuitypro.com/,formulation_section,Product formulation,Matched to 'Form' block in the catalog.,screenshots/blocks/formulation_section__default.png
VUITY® | ECP Allergan,Technology Section,Explains proprietary technology and its benefits.,M,1,Informational section with structured content.,https://www.vuitypro.com/,technology_section,Technology explanation,No matching block found in the catalog.,screenshots/blocks/technology_section__default.png
VUITY® | ECP Allergan,Efficacy Section,Presents efficacy data and supporting details.,M,1,Data-driven content with structured layout.,https://www.vuitypro.com/,efficacy_section,Efficacy data,No matching block found in the catalog.,screenshots/blocks/efficacy_section__default.png
VUITY® | ECP Allergan,Carousel Section,Displays testimonials in a carousel format.,C,1,Includes interactive carousel functionality.,https://www.vuitypro.com/,carousel_section,Testimonial carousel,Matched to 'Carousel' block in the catalog.,screenshots/blocks/carousel_section__default.png
VUITY® | ECP Allergan,Safety Section,Highlights product safety profile.,M,1,Structured content with potential for dynamic updates.,https://www.vuitypro.com/,safety_section,Safety profile,No matching block found in the catalog.,screenshots/blocks/safety_section__default.png
VUITY® | ECP Allergan,Prescribing Section,Guides professionals on prescribing the product.,M,1,Detailed guidance content for professionals.,https://www.vuitypro.com/,prescribing_section,Prescribing guidance,No matching block found in the catalog.,screenshots/blocks/prescribing_section__default.png
VUITY® Safety and Tolerability Profile | ECP Allergan,Hero Banner,Displays the main visual and headline for the page.,M,3,Dynamic content rendering and responsive design.,https://www.vuitypro.com/safety,hero_banner,Hero section,Optimize for visual impact and performance.,screenshots/blocks/hero_banner__default.png
VUITY® Safety and Tolerability Profile | ECP Allergan,Safety Statistics,"Highlights key safety statistics, including discontinuation rates.",M,1,Data visualization and content alignment.,https://www.vuitypro.com/safety,safety_statistics,Statistics display,Ensure data accuracy and clarity.,screenshots/blocks/safety_statistics__default.png
VUITY® Safety and Tolerability Profile | ECP Allergan,Adverse Events Section,Details information about treatment-emergent adverse events.,M,1,Includes structured data presentation.,https://www.vuitypro.com/safety,adverse_events_section,Content section,Use consistent styling with other sections.,screenshots/blocks/adverse_events_section__default.png
VUITY® Safety and Tolerability Profile | ECP Allergan,Clinical Trials Section,Provides data on clinical trial results.,M,2,Involves presenting detailed clinical data.,https://www.vuitypro.com/safety,clinical_trials_section,Data section,Ensure compliance with medical data presentation standards.,screenshots/blocks/clinical_trials_section__default.png
VUITY® Safety and Tolerability Profile | ECP Allergan,Warnings and Precautions,Lists important warnings and precautions.,M,1,Critical content requiring high visibility.,https://www.vuitypro.com/safety,warnings_precautions,Content section,Highlight for user attention.,screenshots/blocks/warnings_precautions__default.png
VUITY® Safety and Tolerability Profile | ECP Allergan,Post-Marketing Data,Shares data collected post-approval.,M,1,Involves structured data handling.,https://www.vuitypro.com/safety,post_marketing_data,Content section,Ensure data is up-to-date.,screenshots/blocks/post_marketing_data__default.png
VUITY® Safety and Tolerability Profile | ECP Allergan,Call to Action,Encourages users to learn more about the product.,S,1,Simple interactive element.,https://www.vuitypro.com/safety,call_to_action,CTA,Focus on user engagement.,screenshots/blocks/call_to_action__default.png
