Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
HUMIRA® (adalimumab) for Crohn&#39;s Disease (CD),Utility Navigation,"Provides quick access to utility links like conditions, safety information, and professional resources.",M,1,Includes dropdown menus and accessibility considerations for navigation.,https://www.humira.com/crohns,global_utility_navigation,Utility strip,Potentially requires custom styling and accessibility enhancements.
HUMIRA® (adalimumab) for Crohn&#39;s Disease (CD),Primary Navigation,Main site navigation for accessing key sections and resources.,C,1,Deep navigation structure with multiple levels and dropdowns.,https://www.humira.com/crohns,primary_navigation,Main navigation,Focus on responsive design and accessibility compliance.
HUMIRA® (adalimumab) for Crohn&#39;s Disease (CD),Hero Section,Prominent introductory section with a background image and title.,M,1,Requires image handling and responsive positioning.,https://www.humira.com/crohns,hero_section,Hero banner,Ensure proper image optimization and display across devices.
HUMIRA® (adalimumab) for Crohn&#39;s Disease (CD),What is HUMIRA?,Provides an overview of HUMIRA and its uses.,S,1,Simple text content with minor styling.,https://www.humira.com/crohns,what_is_humira,Informational section,Ensure consistency with branding guidelines.
HUMIRA® (adalimumab) for Crohn&#39;s Disease (CD),Clinical Study Graphics,Displays graphical representations of clinical study results.,C,1,Requires integration of data visualization and accessibility features.,https://www.humira.com/crohns,clinical_study_graphics,Graphical content,Ensure charts are accessible and visually clear.
HUMIRA® (adalimumab) for Crohn&#39;s Disease (CD),Common Side Effects,Lists common side effects associated with HUMIRA.,S,1,Simple text list with minimal styling.,https://www.humira.com/crohns,common_side_effects,Informational list,Ensure content clarity and compliance.
HUMIRA® (adalimumab) for Crohn&#39;s Disease (CD),Footer,Contains site-wide links and legal information.,M,1,Includes multiple links and accessibility considerations.,https://www.humira.com/crohns,footer,Site-wide footer,Focus on consistent styling and responsive behavior.
HUMIRA® (adalimumab) - A Biologic Medication,Utility Navigation,Provides links for condition selection and safety information.,M,1,Requires role-based navigation and accessibility compliance.,https://www.humira.com/,global_utility_navigation,Utility strip,Ensure proper keyboard navigation and ARIA roles.
HUMIRA® (adalimumab) - A Biologic Medication,Primary Navigation,Main navigation for accessing sections and pages.,M,1,Involves multi-level navigation and responsive design.,https://www.humira.com/,primary_navigation,Main navigation,Requires dynamic menu handling and accessibility features.
HUMIRA® (adalimumab) - A Biologic Medication,Hero Section,Prominent section with background image and messaging.,M,1,Incorporates large imagery and responsive layout.,https://www.humira.com/,hero_section,Hero,Verify image optimization and responsive behavior.
HUMIRA® (adalimumab) - A Biologic Medication,Condition Selector,Interactive section to select medical conditions.,M,1,Interactive elements and condition-specific content.,https://www.humira.com/,choose_condition_cta,Call to Action,Ensure accurate condition mapping and interactivity.
HUMIRA® (adalimumab) - A Biologic Medication,Promotional Section,Highlights savings and insurance support.,M,1,Requires promotional content management and dynamic updates.,https://www.humira.com/,promo_section,Promo,Focus on user engagement and clear messaging.
HUMIRA® (adalimumab) Cost &amp; Savings,Global Utility Navigation,Provides utility navigation for conditions and safety links.,M,1,Includes accessibility considerations for navigation menus.,https://www.humira.com/cost,global_utility_navigation,Utility strip,Requires custom mapping due to absence in catalog.
HUMIRA® (adalimumab) Cost &amp; Savings,Primary Navigation,Provides main navigation for site sections.,M,1,Deep navigation structure with multiple levels.,https://www.humira.com/cost,primary_navigation,Main navigation,"Not directly matched in catalog, requires custom configuration."
HUMIRA® (adalimumab) Cost &amp; Savings,Hero Section,Displays prominent hero section with image and title.,M,1,Includes responsive design and accessibility for visual content.,https://www.humira.com/cost,hero_section,Hero,Mapped to catalog block 'Hero'.
HUMIRA® (adalimumab) Cost &amp; Savings,Page Introduction,Introduces page content with descriptive text.,S,1,Simple text-based content with minimal styling.,https://www.humira.com/cost,page_intro,Introductory text,"No direct match in catalog, requires standalone implementation."
