Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
El tratamiento de marca más recetado para IBS-C y CIC | LINZESS (linaclotide),Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://es.linzess.com/,header_utility_strip,default,templateIds: tpl_0
El tratamiento de marca más recetado para IBS-C y CIC | LINZESS (linaclotide),Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://es.linzess.com/,header_primary_navigation,default,templateIds: tpl_0
El tratamiento de marca más recetado para IBS-C y CIC | LINZESS (linaclotide),main region 0,Major content region in main (div). Preview: Para adultos con Síndrome de Intestino Irritable con Estreñimiento (IBS-C) o Estreñimiento Idiopático Crónico (CIC). (IB…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://es.linzess.com/,main_region_0,default,templateIds: tpl_0
El tratamiento de marca más recetado para IBS-C y CIC | LINZESS (linaclotide),Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://es.linzess.com/,site_footer,default,templateIds: tpl_0
El tratamiento de marca más recetado para IBS-C y CIC | LINZESS (linaclotide),Back to top,Control to scroll to the top of the page.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://es.linzess.com/,back_to_top_control,default,templateIds: tpl_0
Tipos de Estreñimiento,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://es.linzess.com/tiposdeestrenimiento,header_utility_strip,default,templateIds: tpl_1
Tipos de Estreñimiento,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://es.linzess.com/tiposdeestrenimiento,header_primary_navigation,default,templateIds: tpl_1
Tipos de Estreñimiento,main region 0,Major content region in main (div). Preview: TIPOS DE ESTREÑIMIENTO SÍNTOMAS Y TIPOS DE ESTREÑIMIENTO CRÓNICO…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://es.linzess.com/tiposdeestrenimiento,main_region_0,default,templateIds: tpl_1
Tipos de Estreñimiento,columns,Major content region in main (div). Preview: LA DIFERENCIA ENTRE ESTREÑIMIENTO OCASIONAL Y CRÓNICO El estreñimiento ocasional son periodos repentinos o cortos de eva…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://es.linzess.com/tiposdeestrenimiento,columns,default,templateIds: tpl_1
Tipos de Estreñimiento,main region 2,Major content region in main (div). Preview: ¿QUÉ PODRÍAN SIGNIFICAR LAS HECES DURAS Y PEQUEÑAS? La escala Bristol ayuda a comprender y hablar sobre las heces. Esta …,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://es.linzess.com/tiposdeestrenimiento,main_region_2,default,templateIds: tpl_1
