Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Home,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/,header_utility_strip,default,templateIds: tpl_0
Home,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/,header_primary_navigation,default,templateIds: tpl_0
Home,main region 0,Major content region in main (div). Preview: @media (min-width: 985px) { #background-container-1554095523 .abbv-background-container-display { background-image : url…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/,main_region_0,default,templateIds: tpl_0
Home,main region 1,"Major content region in main (div). Preview: UBRELVY IS PROVEN TO TREAT MIGRAINE ATTACKS When migraine strikes, do you ask yourself if the tradeoffs of treating are …",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/,main_region_1,default,templateIds: tpl_0
Home,main region 2,Major content region in main (div). Preview: be in the know Get the latest UBRELVY updates sent straight to your inbox. sign up Why UBRELVY? Discover why UBRELVY is …,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/,main_region_2,default,templateIds: tpl_0
Home,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/,site_footer,default,templateIds: tpl_0
Important Safety Information,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/important-safety-information,header_utility_strip,default,templateIds: tpl_1
Important Safety Information,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/important-safety-information,header_primary_navigation,default,templateIds: tpl_1
Important Safety Information,main region 0,Major content region in main (div). Preview: UBRELVY Important Safety Information Important Safety Information Who should not take UBRELVY® (ubrogepant)? Do not take…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/important-safety-information,main_region_0,default,templateIds: tpl_1
Important Safety Information,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/important-safety-information,site_footer,default,templateIds: tpl_1
Search Results,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/search-results,header_utility_strip,default,templateIds: tpl_2
Search Results,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/search-results,header_primary_navigation,default,templateIds: tpl_2
Search Results,main region 0,Major content region in main (div). Preview: window.coveosearch={ coveoHostedSearchPageId:'ce267d38-0f50-4641-b519-e50d2f0232e8' }…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/search-results,main_region_0,default,templateIds: tpl_2
Search Results,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/search-results,site_footer,default,templateIds: tpl_2
Register for the UBRELVY Challenge,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/challenge,header_utility_strip,default,templateIds: tpl_3
Register for the UBRELVY Challenge,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/challenge,header_primary_navigation,default,templateIds: tpl_3
Register for the UBRELVY Challenge,main region 0,Major content region in main (div). Preview: Taking an oral triptan to treat migraine attacks?…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/challenge,main_region_0,default,templateIds: tpl_3
Register for the UBRELVY Challenge,main region 1,"Major content region in main (div). Preview: FOR ELIGIBLE COMMERCIALLY INSURED PATIENTS START UBRELVY AND IF YOU CHOOSE TO REFILL YOUR TRIPTAN, YOUR NEXT TRIPTAN FIL…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/challenge,main_region_1,default,templateIds: tpl_3
Register for the UBRELVY Challenge,main region 2,Major content region in main (div). Preview: NOT SURE IF YOU'RE ON AN ORAL TRIPTAN? Triptans are a class of medications that are used to treat migraine attacks. They…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/challenge,main_region_2,default,templateIds: tpl_3
Register for the UBRELVY Challenge,main region 3,Major content region in main (div). Preview: BE IN THE KNOW Get the latest UBRELVY updates sent straight to your inbox. SIGN UP what’s next Resources…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/challenge,main_region_3,default,templateIds: tpl_3
Register for the UBRELVY Challenge,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.ubrelvy.com/challenge,site_footer,default,templateIds: tpl_3
