Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Coordinated Vulnerability Disclosure | AbbVie,Utility Navigation,Provides quick access to utility links and navigation options.,M,1,Includes accessibility considerations and multi-link interactions.,https://cvd.abbvie.com/,global_utility_navigation,Utility strip,No direct match in catalog.
Coordinated Vulnerability Disclosure | AbbVie,Primary Header,Contains the main branding and navigation elements.,C,1,Deep navigation and branding integration.,https://cvd.abbvie.com/,primary_header,Main navigation,Mapped to 'Header' in catalog.
Coordinated Vulnerability Disclosure | AbbVie,Hero Section,Highlights the main topic or focus of the page with a prominent title.,M,1,Prominent visual elements and responsive design.,https://cvd.abbvie.com/,hero_section,Hero banner,Mapped to 'Hero' in catalog.
Coordinated Vulnerability Disclosure | AbbVie,Mission Section,Describes the mission and goals of the organization.,M,1,Includes descriptive content and potential dynamic updates.,https://cvd.abbvie.com/,mission_section,Mission statement,No direct match in catalog.
Coordinated Vulnerability Disclosure | AbbVie,Mission Columns,Displays key aspects of the mission in a column layout.,M,1,Responsive column layout with images and text.,https://cvd.abbvie.com/,mission_columns,Column layout,Mapped to 'Columns' in catalog.
Coordinated Vulnerability Disclosure | AbbVie,Scope Section,Defines the scope of the cybersecurity disclosure process.,M,1,Informative content with potential for dynamic links.,https://cvd.abbvie.com/,scope_section,Scope definition,No direct match in catalog.
Coordinated Vulnerability Disclosure | AbbVie,Submission Section,Provides information and a call-to-action for submitting vulnerabilities.,C,1,Includes forms and potential CAPTCHA integrations.,https://cvd.abbvie.com/,submission_section,Submission form,No direct match in catalog.
Coordinated Vulnerability Disclosure | AbbVie,Security Advisory Section,Lists security advisories and relevant information.,S,1,Static list with links.,https://cvd.abbvie.com/,security_advisory_section,Advisory list,No direct match in catalog.
Coordinated Vulnerability Disclosure | AbbVie,Footer,Contains site-wide footer links and legal information.,M,1,Includes accessibility considerations and multiple link interactions.,https://cvd.abbvie.com/,footer,Footer area,Mapped to 'Footer' in catalog.
Coordinated Vulnerability Disclosure | AbbVie,Back to Top Button,Allows users to quickly return to the top of the page.,S,1,Simple functionality with accessibility considerations.,https://cvd.abbvie.com/,back_to_top_button,Scroll utility,No direct match in catalog.
Vulnerability Submission Form | AbbVie,Utility Navigation,Provides utility links such as navigation and accessibility options.,M,1,Utility navigation requires accessibility compliance and integration with global site settings.,https://cvd.abbvie.com/vulnerability-submission,global_utility_navigation,Utility strip,Ensure proper ARIA roles and keyboard navigation support.
Vulnerability Submission Form | AbbVie,Primary Header,Contains the main branding and navigation elements.,M,1,"Includes branding and navigation, requiring responsive design and accessibility.",https://cvd.abbvie.com/vulnerability-submission,primary_header,Main navigation,Verify integration with site-wide navigation configuration.
Vulnerability Submission Form | AbbVie,Hero Banner,Displays the main title and introductory content for the page.,M,1,Hero sections often involve dynamic content and responsive layouts.,https://cvd.abbvie.com/vulnerability-submission,hero_banner,Hero section,Ensure text and images comply with accessibility standards.
Vulnerability Submission Form | AbbVie,Submission Form,Hosts the iframe for the vulnerability submission form.,C,1,Complexity due to iframe integration and secure data submission handling.,https://cvd.abbvie.com/vulnerability-submission,form_submission,Embedded form,Ensure secure iframe integration and compliance with data privacy laws.
Vulnerability Submission Form | AbbVie,Submission Notice,Provides important legal and informational notices related to form submission.,S,1,Static content with minimal interactivity.,https://cvd.abbvie.com/vulnerability-submission,submission_notice,Legal notice,Ensure content is clear and legally compliant.
Vulnerability Submission Form | AbbVie,Footer,"Contains footer links, legal information, and branding.",M,1,Footer requires integration with site-wide settings and dynamic content handling.,https://cvd.abbvie.com/vulnerability-submission,footer,Global footer,Ensure accessibility and responsiveness.
Vulnerability Submission Form | AbbVie,Back to Top Button,Allows users to quickly navigate back to the top of the page.,S,1,Simple functionality with minimal interactivity.,https://cvd.abbvie.com/vulnerability-submission,back_to_top,Scroll utility,Ensure smooth scrolling and visibility on all devices.
