Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Learn About Crohn’s Disease and Ulcerative Colitis | Crohn’s and Colitis,Utility Navigation,Provides quick access links for utility navigation.,M,1,Requires accessibility features for navigation and interaction.,https://www.crohnsandcolitis.com/,global_utility_strip,Utility strip,Includes contact and subscribe links.
Learn About Crohn’s Disease and Ulcerative Colitis | Crohn’s and Colitis,Primary Navigation,Provides main navigation links for site structure.,C,1,Deep navigation structure and accessibility considerations.,https://www.crohnsandcolitis.com/,primary_navigation,Main navigation,Includes links to key sections of the site.
Learn About Crohn’s Disease and Ulcerative Colitis | Crohn’s and Colitis,Hero Section,Displays a prominent introductory message with imagery.,M,1,Requires responsive design and visual prominence.,https://www.crohnsandcolitis.com/,hero_section,Hero with image and text,Highlights the main message of the page.
Learn About Crohn’s Disease and Ulcerative Colitis | Crohn’s and Colitis,Call-to-Action Section,Encourages user engagement through clickable links or buttons.,M,1,Interactive elements and visual design.,https://www.crohnsandcolitis.com/,cta_section,Subscribe or learn more CTAs,Focuses on user interaction and engagement.
Learn About Crohn’s Disease and Ulcerative Colitis | Crohn’s and Colitis,Footer Section,Displays site-wide links and legal information.,S,1,Relatively simple structure with static content.,https://www.crohnsandcolitis.com/,footer_section,Footer with links and legal details,Includes basic footer functionality.
Learn About Crohn’s Disease and Ulcerative Colitis | Crohn’s and Colitis,Back to Top Button,Allows users to quickly return to the top of the page.,S,1,Simple functionality with minor accessibility concerns.,https://www.crohnsandcolitis.com/,back_to_top,Back to top,Enhances user navigation.
Learn About Crohn’s Disease and Ulcerative Colitis | Crohn’s and Colitis,Modal Overlay,Displays interactive modal dialogs for additional information or actions.,M,1,Requires interaction design and accessibility compliance.,https://www.crohnsandcolitis.com/,modal_overlay,Informational modal,Interactive component for additional details.
Crohn’s Disease Information Homepage,Global Utility Strip,Provides quick access links for utilities like contact and subscriptions.,M,1,Moderate complexity due to accessibility and responsive design requirements.,https://www.crohnsandcolitis.com/crohns,global_utility_strip,Utility navigation,No exact match found in catalog.
Crohn’s Disease Information Homepage,Primary Header,"Displays site branding, logo, and main navigation.",C,1,High complexity due to deep navigation and responsive behavior.,https://www.crohnsandcolitis.com/crohns,primary_header,Main navigation,Mapped to 'Header' from catalog.
Crohn’s Disease Information Homepage,Hero Section,Highlights the main message or theme of the page with a large image and heading.,C,1,High complexity due to interactive elements and visual prominence.,https://www.crohnsandcolitis.com/crohns,hero_section,Hero banner,Mapped to 'Hero' from catalog.
