Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Savings Program | VIBERZI (eluxadoline) CIV,Global Utility Navigation,Provides quick access to important links and resources for users.,M,4,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.viberzi.com/savings-program,global_utility_navigation,default,templateIds: tpl_0,screenshots/blocks/global_utility_navigation__default.png
Savings Program | VIBERZI (eluxadoline) CIV,Primary Navigation,Main navigation menu for accessing key sections of the site.,M,4,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.viberzi.com/savings-program,primary_navigation,default,templateIds: tpl_0,screenshots/blocks/primary_navigation__default.png
Savings Program | VIBERZI (eluxadoline) CIV,Hero Section,Prominent section highlighting the Savings Program with a title.,M,4,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.viberzi.com/savings-program,hero_section,default,templateIds: tpl_0,screenshots/blocks/hero_section__default.png
Savings Program | VIBERZI (eluxadoline) CIV,Eligibility Section,Displays details about patient eligibility and savings offers.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.viberzi.com/savings-program,eligibility_section,default,templateIds: tpl_0,screenshots/blocks/eligibility_section__default.png
Savings Program | VIBERZI (eluxadoline) CIV,Signup Methods,Details the two methods for signing up for the Savings Program.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.viberzi.com/savings-program,signup_methods,default,templateIds: tpl_0,screenshots/blocks/signup_methods__default.png
Savings Program | VIBERZI (eluxadoline) CIV,Important Safety Information,Provides crucial safety information about the product.,M,3,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.viberzi.com/savings-program,important_safety_information,default,templateIds: tpl_0,screenshots/blocks/important_safety_information__default.png
Savings Program | VIBERZI (eluxadoline) CIV,Footer,Contains site-wide links and legal information.,M,2,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.viberzi.com/savings-program,footer,default,templateIds: tpl_0,screenshots/blocks/footer__default.png
Savings Program | VIBERZI (eluxadoline) CIV,Back to Top Button,Allows users to quickly navigate back to the top of the page.,M,2,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.viberzi.com/savings-program,back_to_top,default,templateIds: tpl_0,screenshots/blocks/back_to_top__default.png
Patient Resources | VIBERZI (eluxadoline) CIV,Utility Strip Header,Provides quick access utility links for users.,S,1,Simple utility links with minimal interactivity.,https://www.viberzi.com/patient-resources,header_utility_strip,Utility strip,Matches the 'Header' block type as per the catalog.,screenshots/blocks/header_utility_strip__default.png
Patient Resources | VIBERZI (eluxadoline) CIV,Primary Navigation Header,Displays the main navigation links and branding.,M,1,Includes navigation elements and branding with potential for responsive behavior.,https://www.viberzi.com/patient-resources,header_primary_navigation,Main navigation,Shares the 'Header' block type with a distinct variation for primary navigation.,screenshots/blocks/header_primary_navigation__default.png
Patient Resources | VIBERZI (eluxadoline) CIV,Main Content Region,"Contains the main page content, including resources.",M,1,Main content area with diverse elements.,https://www.viberzi.com/patient-resources,main_region_0,Content area,No direct match found in the catalog; categorized as unmapped.,screenshots/blocks/main_region_0__default.png
