Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Productive Conversation With A Rheumatologist Transcript,Utility Navigation,Provides quick access to utility links and social media.,S,1,Simple navigation links with limited depth.,https://www.ra.com/rheumatoid-arthritis-resources/patient-stories/convo-with-rheum-transcript,global_utility_navigation,Utility strip,No matching block found in AEM catalog.
Productive Conversation With A Rheumatologist Transcript,Primary Navigation,Main site navigation menu.,M,1,Includes nested navigation levels requiring careful implementation.,https://www.ra.com/rheumatoid-arthritis-resources/patient-stories/convo-with-rheum-transcript,primary_navigation,Main navigation,No matching block found in AEM catalog.
Productive Conversation With A Rheumatologist Transcript,Hero Section,Highlights the main topic with a title and video.,M,1,"Requires integration of title, video, and responsive styling.",https://www.ra.com/rheumatoid-arthritis-resources/patient-stories/convo-with-rheum-transcript,hero_section,Hero with video,Mapped to 'Hero' block in AEM catalog.
Productive Conversation With A Rheumatologist Transcript,Breadcrumb Navigation,Displays the user's current location within the site.,S,1,Simple breadcrumb trail for navigation context.,https://www.ra.com/rheumatoid-arthritis-resources/patient-stories/convo-with-rheum-transcript,breadcrumb_navigation,Breadcrumb trail,No matching block found in AEM catalog.
Productive Conversation With A Rheumatologist Transcript,Main Content Columns,Presents the main content in a structured column layout.,M,1,Requires layout optimization for responsive design.,https://www.ra.com/rheumatoid-arthritis-resources/patient-stories/convo-with-rheum-transcript,main_content_columns,Column layout,No matching block found in AEM catalog.
Productive Conversation With A Rheumatologist Transcript,Video Player,Embedded video player for content consumption.,M,1,Integration of video playback and accessibility features.,https://www.ra.com/rheumatoid-arthritis-resources/patient-stories/convo-with-rheum-transcript,video_player,Embedded video,Mapped to 'Video' block in AEM catalog.
Productive Conversation With A Rheumatologist Transcript,Rich Text Content,Displays rich text content with bold highlights.,S,1,Basic text formatting and content presentation.,https://www.ra.com/rheumatoid-arthritis-resources/patient-stories/convo-with-rheum-transcript,rich_text_content,Text block,No matching block found in AEM catalog.
Productive Conversation With A Rheumatologist Transcript,Recommended Topics,Provides links to related topics and resources.,S,1,Simple list of links with minimal styling.,https://www.ra.com/rheumatoid-arthritis-resources/patient-stories/convo-with-rheum-transcript,recommended_topics,Related links,No matching block found in AEM catalog.
Productive Conversation With A Rheumatologist Transcript,Footer Links,Contains links to important site resources and policies.,S,1,Standard footer implementation with links.,https://www.ra.com/rheumatoid-arthritis-resources/patient-stories/convo-with-rheum-transcript,footer_links,Footer,Mapped to 'Footer' block in AEM catalog.
Productive Conversation With A Rheumatologist Transcript,Social Media Links,Links to social media profiles.,S,1,Simple external links to social media pages.,https://www.ra.com/rheumatoid-arthritis-resources/patient-stories/convo-with-rheum-transcript,social_media_links,Social links,No matching block found in AEM catalog.
Understanding Rheumatoid Arthritis (RA) Treatment Options,Utility Navigation,Provides quick access to utility links and social media connections.,S,1,Simple link navigation with minimal accessibility concerns.,https://www.ra.com/rheumatoid-arthritis-treatment/ra-treatments-explained,global_utility_navigation,Utility strip,No direct match in catalog.
