Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
ORIAHNN® for Heavy Menstrual Bleeding Due to Uterine Fibroids,Global Utility Navigation,"Provides quick access to safety information, prescribing information, and other important links.",M,10,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.oriahnn.com/,global_utility_navigation,default,templateIds: tpl_0,screenshots/blocks/global_utility_navigation__default.png
ORIAHNN® for Heavy Menstrual Bleeding Due to Uterine Fibroids,Primary Navigation,"Main site navigation with links to key sections like About ORIAHNN, Get Started, and Savings.",M,13,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.oriahnn.com/,primary_navigation,default,templateIds: tpl_0,screenshots/blocks/primary_navigation__default.png
ORIAHNN® for Heavy Menstrual Bleeding Due to Uterine Fibroids,Hero Section,Prominent hero section with a headline and supporting text to engage visitors.,M,12,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.oriahnn.com/,hero_section,default,templateIds: tpl_0,screenshots/blocks/hero_section__default.png
ORIAHNN® for Heavy Menstrual Bleeding Due to Uterine Fibroids,Call-to-Action Section,"Highlights key actions users can take, such as learning about ORIAHNN or accessing savings.",M,3,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.oriahnn.com/,cta_section,default,templateIds: tpl_0,screenshots/blocks/cta_section__default.png
ORIAHNN® for Heavy Menstrual Bleeding Due to Uterine Fibroids,Icon and Text Section,Displays information about proven results with an accompanying icon.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.oriahnn.com/,icon_text_section,default,templateIds: tpl_0,screenshots/blocks/icon_text_section__default.png
ORIAHNN® for Heavy Menstrual Bleeding Due to Uterine Fibroids,Savings Card Section,Information and call-to-action for accessing the ORIAHNN Savings Card.,M,2,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.oriahnn.com/,savings_card_section,default,templateIds: tpl_0,screenshots/blocks/savings_card_section__default.png
ORIAHNN® for Heavy Menstrual Bleeding Due to Uterine Fibroids,Important Safety Information,"Detailed safety information about ORIAHNN, including risks and side effects.",M,11,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.oriahnn.com/,important_safety_information,default,templateIds: tpl_0,screenshots/blocks/important_safety_information__default.png
ORIAHNN® for Heavy Menstrual Bleeding Due to Uterine Fibroids,Footer,Contains site-wide footer links and additional navigation.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.oriahnn.com/,footer,default,templateIds: tpl_0,screenshots/blocks/footer__default.png
"ORIAHNN® Savings, Insurance and Support",Introduction Columns,Provides an introductory message about affordability and treatment.,S,3,Simple column layout for text and images.,https://www.oriahnn.com/savings-card,intro_columns,Text columns,Used for introductory content.,screenshots/blocks/intro_columns__default.png
"ORIAHNN® Savings, Insurance and Support",Eligibility Form,Embedded form for users to check their eligibility for the savings card.,C,1,"Form handling requires validation, accessibility, and backend integration.",https://www.oriahnn.com/savings-card,eligibility_form,Eligibility form,Critical for user interaction and data collection.,screenshots/blocks/eligibility_form__default.png
"ORIAHNN® Savings, Insurance and Support",Support Section,Offers support information and contact details for assistance.,S,2,Static information with minimal interactivity.,https://www.oriahnn.com/savings-card,support_section,Support information,"Enhances user experience by providing help options.  Model suggested ""Support"" (not an exact catalog name — use query_aem_blocks_catalog).",screenshots/blocks/support_section__default.png
ORIAHNN® Side Effects and Safety Considerations,Side Effects Summary,Overview of the most common side effects of the medication.,S,1,Static text content with limited interactivity.,https://www.oriahnn.com/side-effects-and-safety-considerations,side_effects_summary,Summary,No matching catalog entry found.,screenshots/blocks/side_effects_summary__default.png
ORIAHNN® Side Effects and Safety Considerations,Side Effects Details,Detailed information about side effects and their statistics.,M,1,Detailed content often includes tables or charts.,https://www.oriahnn.com/side-effects-and-safety-considerations,side_effects_details,Details,No matching catalog entry found.,screenshots/blocks/side_effects_details__default.png
