Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Glossary | LUPRON DEPOT-PED® (leuprolide acetate for depot suspension),Utility Navigation,Provides quick access to utility links such as prescribing information and medication guide.,S,1,Simple navigation links with minimal interactivity.,https://www.lupronped.com/glossary,global_utility_navigation,Utility strip,Includes multiple links for quick access to resources.
Glossary | LUPRON DEPOT-PED® (leuprolide acetate for depot suspension),Primary Navigation,Main site navigation for accessing key sections of the website.,M,1,Structured navigation with hierarchical menu components.,https://www.lupronped.com/glossary,primary_navigation,Main navigation,Supports primary user navigation across the website.
Glossary | LUPRON DEPOT-PED® (leuprolide acetate for depot suspension),Hero Section,Highlights the main focus of the page with a prominent heading.,S,1,Single prominent heading with minimal interactivity.,https://www.lupronped.com/glossary,hero_section,Hero Banner,Typically includes a large image or visual element.
Glossary | LUPRON DEPOT-PED® (leuprolide acetate for depot suspension),Glossary Navigation,Allows users to jump to specific glossary sections by letter.,M,1,Interactive navigation with tab-like functionality.,https://www.lupronped.com/glossary,glossary_navigation,Alphabetical navigation,Includes links organized by letters for quick access.
Glossary | LUPRON DEPOT-PED® (leuprolide acetate for depot suspension),Glossary Content,Displays detailed glossary entries organized by letter.,M,1,Tabular display with organized content sections.,https://www.lupronped.com/glossary,glossary_content,Glossary entries,Structured content layout for easy readability.
Glossary | LUPRON DEPOT-PED® (leuprolide acetate for depot suspension),Important Safety Information,Provides critical safety details about the product.,M,1,Content fragment inclusion with high importance.,https://www.lupronped.com/glossary,important_safety_information,Safety Information,Critical content for user safety and compliance.
LUPRON DEPOT-PED | LUPRON DEPOT-PED® (leuprolide acetate for depot suspension),Utility Navigation,Provides utility links like Prescribing Information and Medication Guide.,M,1,Includes multiple links with accessibility and navigation requirements.,https://www.lupronped.com/about-lupron-depot-ped?3#flexible-dosing,global_utility_strip,Utility strip,No exact match found in catalog.
LUPRON DEPOT-PED | LUPRON DEPOT-PED® (leuprolide acetate for depot suspension),Primary Navigation,Main site navigation with links to key sections.,M,1,Handles deep navigation structures and accessibility.,https://www.lupronped.com/about-lupron-depot-ped?3#flexible-dosing,primary_navigation,Main navigation,No exact match found in catalog.
LUPRON DEPOT-PED | LUPRON DEPOT-PED® (leuprolide acetate for depot suspension),Hero Section,Highlights the main message and image for the page.,M,1,Includes image and text with layout styling.,https://www.lupronped.com/about-lupron-depot-ped?3#flexible-dosing,hero_section,Hero,Mapped to 'Hero' block in catalog.
LUPRON DEPOT-PED | LUPRON DEPOT-PED® (leuprolide acetate for depot suspension),About Section,Provides information about the product and its benefits.,M,1,Content-heavy section with structured layout.,https://www.lupronped.com/about-lupron-depot-ped?3#flexible-dosing,about_section,About content,No exact match found in catalog.
LUPRON DEPOT-PED | LUPRON DEPOT-PED® (leuprolide acetate for depot suspension),Long-Term Data Section,Details the long-term efficacy and safety data.,M,1,Structured data presentation with potential for interactive elements.,https://www.lupronped.com/about-lupron-depot-ped?3#flexible-dosing,long_term_data,Data display,No exact match found in catalog.
