Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Coordinated Vulnerability Disclosure | AbbVie,Utility Navigation,Provides quick access to utility links and navigation options.,M,2,Includes accessibility considerations and multi-link interactions.,https://cvd.abbvie.com/,global_utility_navigation,Utility strip,No direct match in catalog.,screenshots/blocks/global_utility_navigation__default.png
Coordinated Vulnerability Disclosure | AbbVie,Primary Header,Contains the main branding and navigation elements.,C,2,Deep navigation and branding integration.,https://cvd.abbvie.com/,primary_header,Main navigation,Mapped to 'Header' in catalog.,screenshots/blocks/primary_header__default.png
Coordinated Vulnerability Disclosure | AbbVie,Hero Section,Highlights the main topic or focus of the page with a prominent title.,M,1,Prominent visual elements and responsive design.,https://cvd.abbvie.com/,hero_section,Hero banner,Mapped to 'Hero' in catalog.,screenshots/blocks/hero_section__default.png
Coordinated Vulnerability Disclosure | AbbVie,Mission Section,Describes the mission and goals of the organization.,M,1,Includes descriptive content and potential dynamic updates.,https://cvd.abbvie.com/,mission_section,Mission statement,No direct match in catalog.,screenshots/blocks/mission_section__default.png
Coordinated Vulnerability Disclosure | AbbVie,Mission Columns,Displays key aspects of the mission in a column layout.,M,1,Responsive column layout with images and text.,https://cvd.abbvie.com/,mission_columns,Column layout,Mapped to 'Columns' in catalog.,screenshots/blocks/mission_columns__default.png
Coordinated Vulnerability Disclosure | AbbVie,Scope Section,Defines the scope of the cybersecurity disclosure process.,M,1,Informative content with potential for dynamic links.,https://cvd.abbvie.com/,scope_section,Scope definition,No direct match in catalog.,screenshots/blocks/scope_section__default.png
Coordinated Vulnerability Disclosure | AbbVie,Submission Section,Provides information and a call-to-action for submitting vulnerabilities.,C,1,Includes forms and potential CAPTCHA integrations.,https://cvd.abbvie.com/,submission_section,Submission form,No direct match in catalog.,screenshots/blocks/submission_section__default.png
Coordinated Vulnerability Disclosure | AbbVie,Security Advisory Section,Lists security advisories and relevant information.,S,1,Static list with links.,https://cvd.abbvie.com/,security_advisory_section,Advisory list,No direct match in catalog.,screenshots/blocks/security_advisory_section__default.png
Coordinated Vulnerability Disclosure | AbbVie,Footer,Contains site-wide footer links and legal information.,M,2,Includes accessibility considerations and multiple link interactions.,https://cvd.abbvie.com/,footer,Footer area,Mapped to 'Footer' in catalog.,screenshots/blocks/footer__default.png
Coordinated Vulnerability Disclosure | AbbVie,Back to Top Button,Allows users to quickly return to the top of the page.,S,1,Simple functionality with accessibility considerations.,https://cvd.abbvie.com/,back_to_top_button,Scroll utility,No direct match in catalog.,screenshots/blocks/back_to_top_button__default.png
Vulnerability Submission Form | AbbVie,Hero Banner,Displays the main title and introductory content for the page.,M,1,Hero sections often involve dynamic content and responsive layouts.,https://cvd.abbvie.com/vulnerability-submission,hero_banner,Hero section,Ensure text and images comply with accessibility standards.,screenshots/blocks/hero_banner__default.png
Vulnerability Submission Form | AbbVie,Submission Form,Hosts the iframe for the vulnerability submission form.,C,1,Complexity due to iframe integration and secure data submission handling.,https://cvd.abbvie.com/vulnerability-submission,form_submission,Embedded form,Ensure secure iframe integration and compliance with data privacy laws.,screenshots/blocks/form_submission__default.png
Vulnerability Submission Form | AbbVie,Submission Notice,Provides important legal and informational notices related to form submission.,S,1,Static content with minimal interactivity.,https://cvd.abbvie.com/vulnerability-submission,submission_notice,Legal notice,Ensure content is clear and legally compliant.,screenshots/blocks/submission_notice__default.png
Vulnerability Submission Form | AbbVie,Back to Top Button,Allows users to quickly navigate back to the top of the page.,S,1,Simple functionality with minimal interactivity.,https://cvd.abbvie.com/vulnerability-submission,back_to_top,Scroll utility,Ensure smooth scrolling and visibility on all devices.,screenshots/blocks/back_to_top__default.png
