Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Exocrine Pancreatic Insufficiency in Humans | Identify EPI,Utility Navigation,Provides quick access to utility links like 'Sponsored by AbbVie' and 'Healthcare Professional Site'.,M,8,Includes accessibility considerations and external links.,https://www.identifyepi.com/,global_utility_strip,Utility strip,Requires attention to accessibility and external linking.,screenshots/blocks/global_utility_strip__default.png
Exocrine Pancreatic Insufficiency in Humans | Identify EPI,Primary Header,Displays the site logo and main navigation links.,M,12,Involves branding and navigation elements.,https://www.identifyepi.com/,primary_header,Primary navigation,Focus on responsive design and branding.,screenshots/blocks/primary_header__default.png
Exocrine Pancreatic Insufficiency in Humans | Identify EPI,Hero Section,Highlights the main message and call-to-action for the page.,M,33,Includes visual design and call-to-action functionality.,https://www.identifyepi.com/,hero_section,Hero banner,Should emphasize visual impact and user engagement.,screenshots/blocks/hero_section__default.png
Exocrine Pancreatic Insufficiency in Humans | Identify EPI,Main Navigation,Provides primary navigation links for the website.,C,1,Deep navigation structure with multiple levels.,https://www.identifyepi.com/,main_navigation,Primary navigation,Requires robust handling of submenus and responsive design.,screenshots/blocks/main_navigation__default.png
Exocrine Pancreatic Insufficiency in Humans | Identify EPI,Symptoms Icons Grid,Displays icons and descriptions of EPI symptoms.,M,1,Includes graphical elements and descriptive text.,https://www.identifyepi.com/,symptoms_icons_grid,Icon grid,Ensure compatibility across devices and clear visual representation.,screenshots/blocks/symptoms_icons_grid__default.png
Exocrine Pancreatic Insufficiency in Humans | Identify EPI,Content Columns,Presents informational content in a two-column layout.,M,1,Requires responsive column layout.,https://www.identifyepi.com/,content_columns,Two-column content,Focus on adaptability and readability.,screenshots/blocks/content_columns__default.png
Exocrine Pancreatic Insufficiency in Humans | Identify EPI,References Section,Lists reference sources for the information provided.,S,6,Simple layout with text content.,https://www.identifyepi.com/,references_section,Reference listing,Ensure proper citation formatting.,screenshots/blocks/references_section__default.png
Exocrine Pancreatic Insufficiency in Humans | Identify EPI,Footer,Contains site-wide footer links and legal information.,M,17,Includes links and legal compliance elements.,https://www.identifyepi.com/,footer,Site footer,Focus on accessibility and compliance.,screenshots/blocks/footer__default.png
Exocrine Pancreatic Insufficiency in Humans | Identify EPI,Back to Top Button,Allows users to quickly return to the top of the page.,S,11,Simple functionality with minimal styling.,https://www.identifyepi.com/,back_to_top,Utility button,Ensure accessibility and smooth scrolling.,screenshots/blocks/back_to_top__default.png
Exocrine Pancreatic Insufficiency in Humans | Identify EPI,Cookie Consent Modal,Displays cookie consent options for the user.,C,2,Requires legal compliance and user interaction handling.,https://www.identifyepi.com/,cookie_consent,Cookie preferences,Focus on compliance and user experience.,screenshots/blocks/cookie_consent__default.png
Search Results,Utility Navigation,Provides utility links for navigation.,S,25,Basic navigation links with minimal interactivity.,https://www.identifyepi.com/search-results,global_utility_navigation,Utility strip,No direct mapping found in the AEM catalog.,screenshots/blocks/global_utility_navigation__default.png
Search Results,Primary Navigation,Hosts the main navigation menu for the site.,M,30,Complexity arises from hierarchical navigation and accessibility concerns.,https://www.identifyepi.com/search-results,primary_navigation,Primary navigation,No direct mapping found in the AEM catalog.,screenshots/blocks/primary_navigation__default.png
Search Results,Search Results,Provides search result display and functionalities.,C,2,Search functionalities involve dynamic data rendering and interactivity.,https://www.identifyepi.com/search-results,search_results,Search results display,No direct mapping found in the AEM catalog.,screenshots/blocks/search_results__default.png
Search Results,Cookie Consent Modal,Displays a modal for managing cookie settings.,M,1,Requires compliance with cookie and privacy regulations.,https://www.identifyepi.com/search-results,cookie_consent_modal,Cookie preferences modal,No direct mapping found in the AEM catalog.,screenshots/blocks/cookie_consent_modal__default.png
Search Results,Healthcare Professional Modal,Displays a modal for accessing the healthcare professional section.,M,1,Modal implementation with navigation and user interaction.,https://www.identifyepi.com/search-results,hcp_modal,HCP modal,No direct mapping found in the AEM catalog.,screenshots/blocks/hcp_modal__default.png
Signs and Symptoms of Exocrine Pancreatic Insufficiency in Humans,Symptoms Overview,Provides an overview of EPI symptoms with supporting text and imagery.,M,2,Combination of text and imagery requiring alignment and responsive design.,https://www.identifyepi.com/what-is-epi/epi-symptoms,symptoms_overview,Content section,No direct match in the catalog.,screenshots/blocks/symptoms_overview__default.png
Signs and Symptoms of Exocrine Pancreatic Insufficiency in Humans,Symptoms Details,Detailed descriptions of individual EPI symptoms.,M,1,Detailed content layout with potential for interactivity.,https://www.identifyepi.com/what-is-epi/epi-symptoms,symptoms_details,Content details,No direct match in the catalog.,screenshots/blocks/symptoms_details__default.png
Signs and Symptoms of Exocrine Pancreatic Insufficiency in Humans,Symptoms Advice,Advice section encouraging users to consult a doctor about their symptoms.,S,1,Simple text-based advisory content.,https://www.identifyepi.com/what-is-epi/epi-symptoms,symptoms_advice,Advisory,No direct match in the catalog.,screenshots/blocks/symptoms_advice__default.png
Signs and Symptoms of Exocrine Pancreatic Insufficiency in Humans,Video Section,Includes a video player and transcript about recognizing EPI symptoms.,C,3,Integration of video player with accessibility and transcript features.,https://www.identifyepi.com/what-is-epi/epi-symptoms,video_section,Embedded video,Matched to the 'Video' catalog entry.,screenshots/blocks/video_section__default.png
Signs and Symptoms of Exocrine Pancreatic Insufficiency in Humans,Symptom Checker CTA,Call-to-action encouraging users to use the symptom checker tool.,S,2,Simple call-to-action button or link.,https://www.identifyepi.com/what-is-epi/epi-symptoms,symptom_checker_cta,CTA,No direct match in the catalog.,screenshots/blocks/symptom_checker_cta__default.png
Signs and Symptoms of Exocrine Pancreatic Insufficiency in Humans,Additional Resources,Links to further resources and information about EPI.,S,3,List of links or resources.,https://www.identifyepi.com/what-is-epi/epi-symptoms,additional_resources,Resource links,No direct match in the catalog.,screenshots/blocks/additional_resources__default.png
What Causes Exocrine Pancreatic Insufficiency (EPI)?,Introduction Paragraph,Provides an overview of the page content.,S,1,Simple textual content with no interactive elements.,https://www.identifyepi.com/what-is-epi/underlying-conditions,intro_paragraph,Introductory text,No exact match in AEM catalog.,screenshots/blocks/intro_paragraph__default.png
What Causes Exocrine Pancreatic Insufficiency (EPI)?,Underlying Conditions Accordion,Expandable sections detailing conditions causing EPI.,M,1,Interactive content with expandable/collapsible functionality.,https://www.identifyepi.com/what-is-epi/underlying-conditions,accordion_underlying_conditions,Accordion structure,Matched with AEM block 'Accordion'.,screenshots/blocks/accordion_underlying_conditions__default.png
What Causes Exocrine Pancreatic Insufficiency (EPI)?,Highlight Section,Displays key statistics or information visually.,S,1,Static content with visual emphasis.,https://www.identifyepi.com/what-is-epi/underlying-conditions,highlight_section,Highlight area,No exact match in AEM catalog.,screenshots/blocks/highlight_section__default.png
What Causes Exocrine Pancreatic Insufficiency (EPI)?,Call to Action Section,Encourages specific user actions like exploring resources.,M,4,Requires integration with call-to-action functionality.,https://www.identifyepi.com/what-is-epi/underlying-conditions,cta_section,Call-to-action prompt,No exact match in AEM catalog.,screenshots/blocks/cta_section__default.png
Exocrine Pancreatic Insufficiency (EPI) Videos,Video Grid,Displays a grid of video links with thumbnails and descriptions.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.identifyepi.com/epi-videos,video_grid,default,templateIds: tpl_4,screenshots/blocks/video_grid__default.png
Exocrine Pancreatic Insufficiency (EPI) Videos,CTA Blocks,Call-to-action blocks encouraging user interaction.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.identifyepi.com/epi-videos,cta_blocks,default,templateIds: tpl_4,screenshots/blocks/cta_blocks__default.png
Exocrine Pancreatic Insufficiency (EPI) Videos,Footer Links,Contains links to site policies and additional resources.,M,11,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.identifyepi.com/epi-videos,footer_links,default,templateIds: tpl_4,screenshots/blocks/footer_links__default.png
Click To View &#34;What Is EPI&#34; Video Transcript,Video Transcript Content,Displays the transcript of the video content for accessibility and reference.,M,2,Accessibility and dynamic content handling.,https://www.identifyepi.com/epi-videos/what-is-epi-transcript,video_transcript_content,Transcript display,No matching AEM catalog entry found.,screenshots/blocks/video_transcript_content__default.png
Click To View &#34;What Is EPI&#34; Video Transcript,Footer Legal Text,Displays legal disclaimers and copyright information.,S,5,Static content with minimal interactivity.,https://www.identifyepi.com/epi-videos/what-is-epi-transcript,footer_legal_text,Legal text,Matched to AEM catalog entry 'Footer'.,screenshots/blocks/footer_legal_text__default.png
Click To View &#34;What Is EPI&#34; Video Transcript,Back to Top Button,Button allowing users to quickly return to the top of the page.,S,5,Simple functionality with basic interactivity.,https://www.identifyepi.com/epi-videos/what-is-epi-transcript,back_to_top_button,Utility button,No matching AEM catalog entry found.,screenshots/blocks/back_to_top_button__default.png
Click To View &#34;What Is EPI&#34; Video Transcript,Advertising Choices Modal,Modal for displaying advertising choices information.,M,4,Interactive modal functionality.,https://www.identifyepi.com/epi-videos/what-is-epi-transcript,modal_advertising_choices,Advertising modal,Matched to AEM catalog entry 'Modal'.,screenshots/blocks/modal_advertising_choices__default.png
Click To View &#34;What Is EPI&#34; Video Transcript,Healthcare Professional Warning Modal,Modal warning for accessing healthcare professional content.,M,4,Interactive modal functionality with potential accessibility considerations.,https://www.identifyepi.com/epi-videos/what-is-epi-transcript,modal_hcp_warning,Warning modal,Matched to AEM catalog entry 'Modal'.,screenshots/blocks/modal_hcp_warning__default.png
Frequently Asked Questions About EPI,FAQ Accordion,Displays frequently asked questions and their answers in an expandable format.,M,1,Interactive UI requiring JavaScript for functionality.,https://www.identifyepi.com/frequently-asked-questions,faq_accordion,Accordion with FAQ content,Mapped directly to the Accordion block from AEM catalog.,screenshots/blocks/faq_accordion__default.png
Frequently Asked Questions About EPI,CTA - Get Updates,Encourages users to sign up for updates related to the topic.,M,1,Includes form submission and potential tracking.,https://www.identifyepi.com/frequently-asked-questions,cta_get_updates,Call-to-action button,Consider mapping to a CTA block type if available.,screenshots/blocks/cta_get_updates__default.png
Frequently Asked Questions About EPI,EPI Resources Section,Provides links and information about resources for EPI.,M,1,Requires structured content presentation and accessibility compliance.,https://www.identifyepi.com/frequently-asked-questions,epi_resources_section,Information section,Potentially matches a resources block type; further review needed.,screenshots/blocks/epi_resources_section__default.png
Sign‐Up for EPI Information | IdentifyEPI,Main Heading,Displays the main heading of the page content.,S,1,Simple text display with minimal styling.,https://www.identifyepi.com/exocrine-pancreatic-insufficiency-information,main_heading,Page heading,No matching catalog entry found.,screenshots/blocks/main_heading__default.png
Sign‐Up for EPI Information | IdentifyEPI,Sign-Up Form,Form for users to sign up for more information about EPI.,C,1,"Includes form validation, submission handling, and potential CAPTCHA.",https://www.identifyepi.com/exocrine-pancreatic-insufficiency-information,signup_form,Sign-up form,Handles user data securely.,screenshots/blocks/signup_form__default.png
Sign‐Up for EPI Information | IdentifyEPI,Footer Legal,Displays legal disclaimers and copyright information.,S,2,Static text display with basic styling.,https://www.identifyepi.com/exocrine-pancreatic-insufficiency-information,footer_legal,Legal information,Simple content block.,screenshots/blocks/footer_legal__default.png
Sign‐Up for EPI Information | IdentifyEPI,Cookie Settings,Provides a link to manage cookie preferences.,M,1,Modal interaction with settings management.,https://www.identifyepi.com/exocrine-pancreatic-insufficiency-information,cookie_settings,Cookie preferences modal,Includes accessibility considerations for modal dialogs.,screenshots/blocks/cookie_settings__default.png
Exocrine Pancreatic Insufficiency (EPI) Diagnosis - EPI Tests,Introduction Text,Provides an introductory paragraph about EPI diagnosis.,S,2,Static text block.,https://www.identifyepi.com/what-is-epi/exocrine-pancreatic-insufficiency-diagnosis,intro_text,Text content,Mapped as a custom text block.,screenshots/blocks/intro_text__default.png
Exocrine Pancreatic Insufficiency (EPI) Diagnosis - EPI Tests,Symptoms Checklist,Details a checklist of symptoms.,M,1,Includes interactive elements or lists.,https://www.identifyepi.com/what-is-epi/exocrine-pancreatic-insufficiency-diagnosis,symptoms_checklist,Checklist,Custom checklist component.,screenshots/blocks/symptoms_checklist__default.png
