Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Home,Global Utility Navigation,Provides quick access to utility links like 'Find a Specialist'.,M,2,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.donttakespasticity.com/,global_utility_navigation,default,templateIds: tpl_1,screenshots/blocks/global_utility_navigation__default.png
Home,Primary Header,Displays the main site branding and primary navigation.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.donttakespasticity.com/,primary_header,default,templateIds: tpl_1,screenshots/blocks/primary_header__default.png
Home,Hero Section,Highlights the main message with a large image and heading.,M,2,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.donttakespasticity.com/,hero_section,default,templateIds: tpl_1,screenshots/blocks/hero_section__default.png
Home,Call-to-Action Columns,Presents two main CTAs side by side for user interaction.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.donttakespasticity.com/,cta_columns,default,templateIds: tpl_1,screenshots/blocks/cta_columns__default.png
Home,Testimonial Section,Features a patient testimonial with supporting image.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.donttakespasticity.com/,testimonial_section,default,templateIds: tpl_1,screenshots/blocks/testimonial_section__default.png
Home,Causes Section,Explains the causes and symptoms of spasticity.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.donttakespasticity.com/,causes_section,default,templateIds: tpl_1,screenshots/blocks/causes_section__default.png
Home,Signs Section,Details the signs of spasticity with visual aids.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.donttakespasticity.com/,signs_section,default,templateIds: tpl_1,screenshots/blocks/signs_section__default.png
Home,Care Team Section,Encourages users to complete their care team with specialists.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.donttakespasticity.com/,care_team_section,default,templateIds: tpl_1,screenshots/blocks/care_team_section__default.png
Home,Treatment Options Section,Lists treatment options with supporting icons.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.donttakespasticity.com/,treatment_options_section,default,templateIds: tpl_1,screenshots/blocks/treatment_options_section__default.png
Home,Impact Section,Encourages users to evaluate the impact of spasticity.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.donttakespasticity.com/,impact_section,default,templateIds: tpl_1,screenshots/blocks/impact_section__default.png
Home,Guide Section,Promotes a downloadable guide for doctor discussions.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.donttakespasticity.com/,guide_section,default,templateIds: tpl_1,screenshots/blocks/guide_section__default.png
Home,Video Section,Features a video about being proactive in treatment.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.donttakespasticity.com/,video_section,default,templateIds: tpl_1,screenshots/blocks/video_section__default.png
Home,Resources Section,Provides additional resources and links for learning.,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.donttakespasticity.com/,resources_section,default,templateIds: tpl_1,screenshots/blocks/resources_section__default.png
sitemap,Primary Navigation,Main site navigation links for accessing key sections.,M,1,Includes multiple links with potential dropdowns or hover effects.,https://www.donttakespasticity.com/sitemap,primary_navigation,Main navigation,May involve accessibility enhancements for navigation.,screenshots/blocks/primary_navigation__default.png
sitemap,Sitemap Links,Displays the list of links to various sections of the site.,S,1,Static list of links without advanced features.,https://www.donttakespasticity.com/sitemap,sitemap_links,Link directory,Consider dynamic generation for future scalability.,screenshots/blocks/sitemap_links__default.png
sitemap,Footer Links,Contains links to legal and informational pages like Accessibility Statement and Privacy Notice.,M,1,Requires dynamic content integration and styling.,https://www.donttakespasticity.com/sitemap,footer_links,Legal and informational links,Ensure compliance with legal standards.,screenshots/blocks/footer_links__default.png
sitemap,Footer Legal Text,Displays legal and trademark information.,S,1,Static text without interactive features.,https://www.donttakespasticity.com/sitemap,footer_legal_text,Legal text,Verify accuracy of legal content.,screenshots/blocks/footer_legal_text__default.png
sitemap,Back to Top Button,Button to quickly navigate back to the top of the page.,S,1,Simple functionality with minimal styling.,https://www.donttakespasticity.com/sitemap,back_to_top,Utility button,Ensure visibility and accessibility.,screenshots/blocks/back_to_top__default.png
sitemap,Exit Modal,Modal displayed when navigating away from the site.,C,1,Requires advanced functionality including dynamic content and user interaction.,https://www.donttakespasticity.com/sitemap,modal_exit,Exit modal,Ensure compatibility with various screen sizes and devices.,screenshots/blocks/modal_exit__default.png
