Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,Global Header,The header section containing navigation and branding elements.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,global_header,default,templateIds: tpl_0
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,Hero Section,The main hero section highlighting the key message of the page.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,hero_section,default,templateIds: tpl_0
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,Anchor Navigation,Navigation links for quickly accessing specific sections on the page.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,anchor_navigation,default,templateIds: tpl_0
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,Subpage Navigation,Navigation links for accessing related subpages.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,subpage_navigation,default,templateIds: tpl_0
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,PFS Section,Section detailing the progression-free survival data.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,pfs_section,default,templateIds: tpl_0
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,OS Section,Section detailing the overall survival data.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,os_section,default,templateIds: tpl_0
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,ORR Section,Section detailing the overall response rate data.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,orr_section,default,templateIds: tpl_0
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,Secondary Endpoints,Section discussing other secondary endpoints of the study.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,secondary_endpoints,default,templateIds: tpl_0
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,Tumor Analysis,Section showcasing exploratory tumor analysis data.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,tumor_analysis,default,templateIds: tpl_0
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,Call-to-Action Cards,Cards providing links to additional resources and actions.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,cta_cards,default,templateIds: tpl_0
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,ISI Section,Important safety information section.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,isi_section,default,templateIds: tpl_0
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,References Section,Section listing references and citations for the content.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,references_section,default,templateIds: tpl_0
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,Footer Section,The footer containing site-wide links and information.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,footer_section,default,templateIds: tpl_0
ELAHERE MIRASOL efficacy study data | FRα-positive ovarian cancer treatment,Exit Modal,Modal dialog displayed when attempting to exit the page.,M,1,Model output omitted this blockId after catalog review. Mapped as Unmapped; re-run mapping or fix agent output.,https://www.elaherehcp.com/efficacy/mirasol-study-data,exit_modal,default,templateIds: tpl_0
ELAHERE® videos and resources | HCP,Global Header,Displays the site's branding and navigation.,M,1,Includes navigation and site branding with potential dynamic content.,https://www.elaherehcp.com/support-resources/elahere-videos,global_header,Global Header with navigation,template tpl_1
ELAHERE® videos and resources | HCP,Hero Section,Highlights the main topic of the page with a prominent title and supporting text.,S,1,Basic static layout without dynamic content.,https://www.elaherehcp.com/support-resources/elahere-videos,hero_section,Standard Hero Section,template tpl_1
ELAHERE® videos and resources | HCP,Anchor Navigation,Provides quick links to specific sections within the page.,S,1,Static links with no dynamic behavior.,https://www.elaherehcp.com/support-resources/elahere-videos,anchor_navigation,Anchor Navigation Bar,No direct match found in the catalog.
ELAHERE® videos and resources | HCP,Subpage Navigation,Offers navigation to related subpages and resources.,S,1,Static navigation links.,https://www.elaherehcp.com/support-resources/elahere-videos,subpage_navigation,Subpage Navigation,No direct match found in the catalog.
ELAHERE® videos and resources | HCP,ELAHERE Videos Section,Introduces videos related to ELAHERE and its treatment.,M,1,Includes media content and descriptive text.,https://www.elaherehcp.com/support-resources/elahere-videos,elahere_videos_section,Video Introduction Section,No direct match found in the catalog.
ELAHERE® videos and resources | HCP,Video Cards Row 1,Displays a grid of video cards related to ELAHERE treatment.,M,1,Multiple cards with individual media and text content.,https://www.elaherehcp.com/support-resources/elahere-videos,video_cards_row_1,Video Cards Grid,template tpl_1
ELAHERE® videos and resources | HCP,Video Cards Row 2,Displays another set of video cards related to ELAHERE treatment.,M,1,Similar to the first row of video cards.,https://www.elaherehcp.com/support-resources/elahere-videos,video_cards_row_2,Video Cards Grid,template tpl_1
