Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Allergan is now part of AbbVie | AbbVie,Global Navigation,Provides navigation across the main sections of the website.,M,41,Includes search functionality and multi-level navigation.,https://www.abbvie.com/allergan.html,global_navigation,Main navigation,Requires integration with site-wide search and accessibility compliance.,screenshots/blocks/global_navigation__default.png
Allergan is now part of AbbVie | AbbVie,Hero Section,Displays a prominent hero image and associated content.,M,171,Includes styling and layout for visual prominence.,https://www.abbvie.com/allergan.html,hero_section,Introductory hero,May involve dynamic content or responsive design adjustments.,screenshots/blocks/hero_section__default.png
Allergan is now part of AbbVie | AbbVie,Introduction Text,Introduces the page theme with text content.,S,6,Basic text-based content without interactive elements.,https://www.abbvie.com/allergan.html,intro_text,Page introduction,Focuses on textual content with minimal styling.,screenshots/blocks/intro_text__default.png
Allergan is now part of AbbVie | AbbVie,Products Section,Highlights product offerings with descriptions and buttons.,M,1,Includes call-to-action functionality and product-specific content.,https://www.abbvie.com/allergan.html,products_section,Product showcase,May require integration with product databases or APIs.,screenshots/blocks/products_section__default.png
Allergan is now part of AbbVie | AbbVie,Aesthetics Section,Showcases achievements and offerings in aesthetics.,M,1,Involves specialized content and potential visual elements.,https://www.abbvie.com/allergan.html,aesthetics_section,Aesthetic achievements,Could include multimedia or interactive features.,screenshots/blocks/aesthetics_section__default.png
Allergan is now part of AbbVie | AbbVie,Careers Section,Promotes career opportunities with descriptions and buttons.,M,1,Integrates call-to-action and career-specific content.,https://www.abbvie.com/allergan.html,careers_section,Career promotions,May involve links to external career systems or databases.,screenshots/blocks/careers_section__default.png
Allergan is now part of AbbVie | AbbVie,Footer,Displays footer content including links and legal information.,S,24,Static content with basic styling.,https://www.abbvie.com/allergan.html,footer,Site footer,May include social media links and dynamic updates.,screenshots/blocks/footer__default.png
Allergan is now part of AbbVie | AbbVie,Back to Top Button,Provides quick navigation to the top of the page.,S,32,Simple functionality with minimal interaction.,https://www.abbvie.com/allergan.html,back_to_top,Utility button,Ensures user convenience and accessibility.,screenshots/blocks/back_to_top__default.png
Pharmaceutical Research &amp; Development | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,213,Basic utility strip with no deep interactivity.,https://www.abbvie.com/,global_utility_strip,Utility strip,Could not find a matching AEM catalog block.,screenshots/blocks/global_utility_strip__default.png
Pharmaceutical Research &amp; Development | AbbVie,Primary Navigation,Main site navigation with dropdown menus for exploring sections.,M,239,Dropdown menus may require accessibility considerations.,https://www.abbvie.com/,primary_navigation,Main navigation,Could not find a matching AEM catalog block.,screenshots/blocks/primary_navigation__default.png
Pipeline | AbbVie,Call to Action,Encourages users to explore specific areas or take actions.,S,7,Focused on simple button functionality.,https://www.abbvie.com/science/pipeline.html,cta_section,Subscribe,No direct match in catalog.,screenshots/blocks/cta_section__default.png
Pipeline | AbbVie,Card Grid,Displays a grid of cards with images and text for key topics.,M,59,Requires layout management and responsive design.,https://www.abbvie.com/science/pipeline.html,card_grid,Card layout,No direct match in catalog.,screenshots/blocks/card_grid__default.png
Liz Shea | AbbVie,Global Navigation Header,Provides the main access points for site navigation and branding.,M,39,Includes dynamic navigation and branding elements requiring robust accessibility support.,https://www.abbvie.com/who-we-are/our-leaders/liz-shea.html,global_header,Utility and primary navigation,Ensure accessibility compliance and responsive design.,screenshots/blocks/global_header__default.png
Jeffrey R. Stewart | AbbVie,Main Content,Contains the primary content of the leadership profile.,M,45,Primary content often requires custom styling and layout adjustments.,https://www.abbvie.com/who-we-are/our-leaders/jeffrey-stewart.html,main_content,Content section,No direct match found; may need custom implementation or further catalog search.,screenshots/blocks/main_content__default.png
Tracie Haas | AbbVie,Primary Content Area,"Displays the main content of the page, including details about Tracie Haas.",S,4,Single content region focused on static information.,https://www.abbvie.com/who-we-are/our-leaders/tracie-haas.html,primary_content,Leadership Profile Content,"Central focus of the page, typically static and informational.",screenshots/blocks/primary_content__default.png
Tracie Haas | AbbVie,Related Links Section,Provides links to related content or additional resources.,S,6,Straightforward list of links with minor styling.,https://www.abbvie.com/who-we-are/our-leaders/tracie-haas.html,related_links,Supplementary navigation,Enhances user navigation by suggesting related resources.,screenshots/blocks/related_links__default.png
Join AbbVie | AbbVie,Global Utility Bar,Provides top-level utility links for the website.,S,5,Limited scope with static links and minimal interactivity.,https://www.abbvie.com/join-us.html,header_utility_strip,Utility strip,Consider mapping to a catalog block if a suitable match is identified later.,screenshots/blocks/header_utility_strip__default.png
Join AbbVie | AbbVie,Primary Navigation,"Serves as the main navigation for the website, including branding and IA.",M,5,Involves dynamic elements like mega-menus or responsive behavior.,https://www.abbvie.com/join-us.html,header_primary_navigation,Main navigation,Ensure accessibility and responsiveness during implementation.,screenshots/blocks/header_primary_navigation__default.png
Join AbbVie | AbbVie,Site Search,Provides a search interface for the website.,M,5,Requires search functionality and potential integration with backend services.,https://www.abbvie.com/join-us.html,site_search,Search form,Implement with focus on usability and performance.,screenshots/blocks/site_search__default.png
Join AbbVie | AbbVie,Cookie Preferences,Manages user consent for cookies and privacy settings.,C,5,Involves compliance with privacy laws and integration with external systems like OneTrust.,https://www.abbvie.com/join-us.html,cookie_preferences_entry,Cookie preferences,Ensure compliance with regional regulations and accessibility standards.,screenshots/blocks/cookie_preferences_entry__default.png
Allergan HCP/HCP disclosure outside of the US | AbbVie,Main Navigation,Site navigation menu with dropdowns.,C,9,Complex navigation structure with dropdowns.,https://www.abbvie.com/who-we-are/operating-with-integrity/transparency-in-payment/allergan-ous-disclosures.html,main_navigation,Dropdown navigation,Not mapped to a known AEM block.,screenshots/blocks/main_navigation__default.png
Allergan HCP/HCP disclosure outside of the US | AbbVie,Content Introduction,Introductory text and links overview.,S,21,Simple text and links rendering.,https://www.abbvie.com/who-we-are/operating-with-integrity/transparency-in-payment/allergan-ous-disclosures.html,content_intro,Text introduction,Not mapped to a known AEM block.,screenshots/blocks/content_intro__default.png
Contact Center | AbbVie,Content Columns,Organizes text and images into multiple columns for readability.,S,10,Basic multi-column layout.,https://www.abbvie.com/contact-center.html,content_columns,Text and image columns,No direct match in the AEM catalog.,screenshots/blocks/content_columns__default.png
"Roopal Thakkar, M.D. | AbbVie",Leader Biography,Displays detailed biography of a leader.,M,2,Content presentation with potential dynamic loading or formatting.,https://www.abbvie.com/who-we-are/our-leaders/roopal-thakkar.html,leader_bio,Detailed biography,No direct match found in the AEM catalog.,screenshots/blocks/leader_bio__default.png
"Equity, Equality, Diversity &amp; Inclusion | AbbVie",Main Content Introduction,Introduction text and links about the organization's mission.,S,5,Static content with simple layout.,https://www.abbvie.com/who-we-are/our-principles/equity-equality-inclusion-diversity.html,main_content_intro,Introductory content,No direct match in AEM catalog.,screenshots/blocks/main_content_intro__default.png
"Equity, Equality, Diversity &amp; Inclusion | AbbVie",CTA Button Section,Call-to-action button for navigating to the 'Who We Are' page.,S,1,Single button with straightforward functionality.,https://www.abbvie.com/who-we-are/our-principles/equity-equality-inclusion-diversity.html,cta_button_section,Call-to-action,No direct match in AEM catalog.,screenshots/blocks/cta_button_section__default.png
"Equity, Equality, Diversity &amp; Inclusion | AbbVie",Link List Section,List of related links for further exploration.,S,1,Static list of links with basic styling.,https://www.abbvie.com/who-we-are/our-principles/equity-equality-inclusion-diversity.html,link_list_section,Link list,No direct match in AEM catalog.,screenshots/blocks/link_list_section__default.png
"Equity, Equality, Diversity &amp; Inclusion | AbbVie",Featured Story Card,"Highlighted story with an image, title, and description.",M,4,Card layout with image and textual content.,https://www.abbvie.com/who-we-are/our-principles/equity-equality-inclusion-diversity.html,featured_story_card,Story card,Matched to 'Cards' in AEM catalog.,screenshots/blocks/featured_story_card__default.png
"Equity, Equality, Diversity &amp; Inclusion | AbbVie",Recognition Dashboard Card,Displays recognition statistics and achievements.,M,1,Dynamic content with potential data integration.,https://www.abbvie.com/who-we-are/our-principles/equity-equality-inclusion-diversity.html,dashboard_card_recognition,Dashboard card,No direct match in AEM catalog.,screenshots/blocks/dashboard_card_recognition__default.png
"Equity, Equality, Diversity &amp; Inclusion | AbbVie",Back to Top Button,Button for navigating back to the top of the page.,S,18,Simple functionality with limited scope.,https://www.abbvie.com/who-we-are/our-principles/equity-equality-inclusion-diversity.html,back_to_top_button,Navigation button,No direct match in AEM catalog.,screenshots/blocks/back_to_top_button__default.png
Protecting Human Rights and Workplace Safety | AbbVie,CTA Button,Call-to-action button encouraging user interaction.,S,8,Basic button functionality with minimal styling.,https://www.abbvie.com/who-we-are/operating-with-integrity/protecting-human-rights-and-workplace-safety.html,cta_button,Interactive button,No matching block type found in the AEM catalog.,screenshots/blocks/cta_button__default.png
Protecting Human Rights and Workplace Safety | AbbVie,Link List,List of links to related content or external resources.,S,4,"Static list of links, simple implementation.",https://www.abbvie.com/who-we-are/operating-with-integrity/protecting-human-rights-and-workplace-safety.html,link_list,Link collection,No matching block type found in the AEM catalog.,screenshots/blocks/link_list__default.png
Our R&amp;D Approach | AbbVie,Main Call-to-Action,Central area for key actions or promotions.,M,1,May include dynamic buttons or links.,https://www.abbvie.com/science.html,main_cta_section,Subscribe,Focus on engaging user actions.,screenshots/blocks/main_cta_section__default.png
Our R&amp;D Approach | AbbVie,Featured Stories Display,Grid layout for showcasing stories with visuals.,M,1,Visual elements and layout adjustments required.,https://www.abbvie.com/science.html,featured_stories_grid,Content grid,Prioritize image loading optimization.,screenshots/blocks/featured_stories_grid__default.png
Our R&amp;D Approach | AbbVie,Statistics Showcase,Displays key metrics in an engaging format.,M,1,Requires visual design for data representation.,https://www.abbvie.com/science.html,statistics_highlights,Dashboard,Consider dynamic data integration.,screenshots/blocks/statistics_highlights__default.png
Jag Dosanjh | AbbVie,Footer Navigation,Footer with site-wide links and information.,M,5,Footer with styling and possible dynamic content.,https://www.abbvie.com/who-we-are/our-leaders/jag-dosanjh.html,footer_navigation,Footer navigation,Mapped to 'Footer' in the AEM catalog.,screenshots/blocks/footer_navigation__default.png
"Azita Saleki-Gerhardt, Ph.D. | AbbVie",Leadership Profile,Detailed profile of a leader including their role and achievements.,C,1,Involves detailed content structure and potential integration with dynamic data sources.,https://www.abbvie.com/who-we-are/our-leaders/azita-saleki-gerhardt.html,leadership_profile,Profile card,Ensure data accuracy and integration with backend systems.,screenshots/blocks/leadership_profile__default.png
Our Principles | AbbVie,CTA Grid,Displays a grid layout with call-to-action links directing users to key pages and sections.,M,11,Moderate complexity due to layout and responsive design considerations.,https://www.abbvie.com/who-we-are/our-principles.html,cta_grid,Grid layout,May require optimization for mobile and tablet views.,screenshots/blocks/cta_grid__default.png
AbbVie Inquiry | AbbVie,Content Card Grid,Displays a grid of content cards with images and text.,M,3,Grid layout with responsive design and multimedia elements.,https://www.abbvie.com/who-we-are/operating-with-integrity/transparency-in-payment/abbvie-inquiry.html,content_card_grid,Card grid,Mapped to Cards from AEM catalog.,screenshots/blocks/content_card_grid__default.png
Key Facts | AbbVie,Key Facts Overview,Presents key facts about the organization in a concise format.,M,1,Moderate complexity for structured content display.,https://www.abbvie.com/who-we-are/key-facts.html,key_facts_overview,Key facts display,No matching block found in the AEM catalog.,screenshots/blocks/key_facts_overview__default.png
Key Facts | AbbVie,Content Cards,Displays content in card format with images and descriptions.,M,11,Moderate complexity due to grid layout and responsive design.,https://www.abbvie.com/who-we-are/key-facts.html,content_cards,Card layout,Mapped to the Cards block in the AEM catalog.,screenshots/blocks/content_cards__default.png
Terms of Use | AbbVie,Header Logo,Displays the AbbVie logo linking to the homepage.,S,1,Simple static image linking functionality.,https://www.abbvie.com/terms-of-use.html,header_logo,Logo display,No matching entry in AEM blocks catalog.,screenshots/blocks/header_logo__default.png
Terms of Use | AbbVie,Footer Links,Displays additional navigation and legal links at the bottom of the page.,M,8,Includes links and accessibility features.,https://www.abbvie.com/terms-of-use.html,footer_links,Footer navigation,Mapped to 'Footer' in AEM blocks catalog.,screenshots/blocks/footer_links__default.png
Who We Are | AbbVie,Featured Card,Highlights a specific story or content with an image and description.,M,4,Combination of media and text with potential interactivity.,https://www.abbvie.com/who-we-are.html,featured_card,Featured content,No exact match found in AEM catalog.,screenshots/blocks/featured_card__default.png
Who We Are | AbbVie,Data Highlight,Displays key data points or statistics in a visually engaging format.,M,2,Custom design for data visualization.,https://www.abbvie.com/who-we-are.html,data_highlight,Data display,No exact match found in AEM catalog.,screenshots/blocks/data_highlight__default.png
Inside The DREAM Initiative | AbbVie,Primary Call to Action,Encourages user interaction through a call-to-action button.,S,1,Limited scope focused on user engagement.,https://www.abbvie.com/who-we-are/our-stories/inside-dream-initiative.html,primary_cta,Call to action,No exact match found in the AEM blocks catalog.,screenshots/blocks/primary_cta__default.png
How AbbVie makes medications more accessible | AbbVie,Main Hero Section,Showcases the primary message with visual emphasis.,C,1,Large-scale visual and functional element.,https://www.abbvie.com/who-we-are/our-stories/living-with-an-illness.html,main_hero,Primary hero,Matched to Hero block in catalog.,screenshots/blocks/main_hero__default.png
How AbbVie makes medications more accessible | AbbVie,Navigation Menu,Provides links to site sections.,M,2,Depth and functionality of navigation.,https://www.abbvie.com/who-we-are/our-stories/living-with-an-illness.html,navigation_menu,Site navigation,No exact match found in catalog.,screenshots/blocks/navigation_menu__default.png
How AbbVie makes medications more accessible | AbbVie,Featured Story,Highlights a specific story or article.,M,1,Card layout with variable content.,https://www.abbvie.com/who-we-are/our-stories/living-with-an-illness.html,featured_story,Story highlight,Matched to Cards block in catalog.,screenshots/blocks/featured_story__default.png
How AbbVie makes medications more accessible | AbbVie,Dashboard Cards,Displays metrics or highlights in cards.,M,11,Multiple card elements in a dashboard layout.,https://www.abbvie.com/who-we-are/our-stories/living-with-an-illness.html,dashboard_cards,Metrics display,Matched to Cards block in catalog.,screenshots/blocks/dashboard_cards__default.png
Our Leaders | AbbVie,Leadership Profiles Grid,Displays profiles of leaders in a grid format with images and descriptions.,M,1,Requires dynamic content rendering and layout management.,https://www.abbvie.com/who-we-are/our-leaders.html,leadership_profiles_grid,Grid display,Could not map to a specific AEM block type based on the catalog.,screenshots/blocks/leadership_profiles_grid__default.png
