Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
OZURDEX® Savings Program | HCP Website,Utility Navigation,Provides quick access to important links.,S,1,Simple navigation links.,https://www.ozurdexsavingsprogram.com/,utility_navigation,Utility strip,Could be mapped to 'Header' with variation if needed.
OZURDEX® Savings Program | HCP Website,Primary Header,Displays the main branding and navigation elements.,M,1,Includes logo and main navigation.,https://www.ozurdexsavingsprogram.com/,primary_header,Main navigation,Matches 'Header' block.
OZURDEX® Savings Program | HCP Website,Hero Section,Highlights the main message and visual for the homepage.,M,1,Involves visual and content layout.,https://www.ozurdexsavingsprogram.com/,hero_section,Homepage hero,Matches 'Hero' block.
OZURDEX® Savings Program | HCP Website,Eligibility Requirements,Details the eligibility criteria for the savings program.,S,1,Static content layout.,https://www.ozurdexsavingsprogram.com/,eligibility_requirements,Text content,Does not match existing catalog blocks.
OZURDEX® Savings Program | HCP Website,Patients Section,Provides information and resources for patients.,S,1,Static content layout.,https://www.ozurdexsavingsprogram.com/,patients_section,Text content,Does not match existing catalog blocks.
OZURDEX® Savings Program | HCP Website,Physicians Section,Offers resources and enrollment options for physicians.,S,1,Static content layout.,https://www.ozurdexsavingsprogram.com/,physicians_section,Text content,Does not match existing catalog blocks.
OZURDEX® Savings Program | HCP Website,Important Safety Information,Displays critical safety and usage information for the product.,S,1,Static content layout.,https://www.ozurdexsavingsprogram.com/,important_safety_information,Text content,Does not match existing catalog blocks.
OZURDEX® Savings Program | HCP Website,Footer,Contains links to resources and legal information.,S,1,Simple footer layout.,https://www.ozurdexsavingsprogram.com/,footer,Footer,Matches 'Footer' block.
OZURDEX® Savings Program | HCP Website,Back to Top Button,Provides a button to scroll back to the top.,S,1,Single interactive element.,https://www.ozurdexsavingsprogram.com/,back_to_top,Utility button,Does not match existing catalog blocks.
OZURDEX® Savings Program | HCP Website,Safety Bar,Provides a collapsible bar with safety information.,M,1,Interactive collapsible element.,https://www.ozurdexsavingsprogram.com/,safety_bar,Collapsible bar,Does not match existing catalog blocks.
OZURDEX® Savings Program | Terms And Conditions,Header Navigation,Displays the header with utility and primary navigation.,M,1,Includes accessibility features and multi-level navigation.,https://www.ozurdexsavingsprogram.com/termsandconditions,header_navigation,Utility and Primary Navigation,Requires careful integration with site-wide navigation standards.
OZURDEX® Savings Program | Terms And Conditions,Hero Section,Showcases a large hero image with introductory text.,M,1,Involves styling and responsive design.,https://www.ozurdexsavingsprogram.com/termsandconditions,hero_section,Hero with Background Image,Ensure branding and visual consistency.
OZURDEX® Savings Program | Terms And Conditions,Terms and Conditions Content,Displays detailed terms and conditions for the savings program.,M,1,Includes structured content and legal text.,https://www.ozurdexsavingsprogram.com/termsandconditions,terms_conditions_content,Rich Text Content,Must adhere to legal formatting requirements.
OZURDEX® Savings Program | Terms And Conditions,Important Safety Information,Provides safety information about the product.,M,1,Requires precise formatting and accessibility compliance.,https://www.ozurdexsavingsprogram.com/termsandconditions,important_safety_information,Safety Information Section,Ensure clear presentation of critical information.
OZURDEX® Savings Program | Terms And Conditions,Footer Links,Displays footer links and resources.,M,1,Includes site-wide navigation and legal disclaimers.,https://www.ozurdexsavingsprogram.com/termsandconditions,footer_links,Footer with Links,Ensure accessibility and compliance with privacy standards.
OZURDEX® Savings Program | Terms And Conditions,Back to Top Button,Provides a button to return to the top of the page.,S,1,Simple functionality with minimal styling.,https://www.ozurdexsavingsprogram.com/termsandconditions,back_to_top_button,Utility Button,Ensure smooth scrolling and responsiveness.
OZURDEX® Savings Program | Resources and Forms,Utility Navigation,Provides quick access links for healthcare professionals and important safety information.,M,1,Includes accessibility considerations and dynamic link management.,https://www.ozurdexsavingsprogram.com/program-resources-and-forms,global_utility_navigation,Utility strip,Requires further analysis for custom implementation.
OZURDEX® Savings Program | Resources and Forms,Primary Header,Displays the main logo and navigation menu for the site.,C,1,Involves deep navigation structure and branding elements.,https://www.ozurdexsavingsprogram.com/program-resources-and-forms,primary_header,Main navigation,May require integration with site-wide navigation system.
OZURDEX® Savings Program | Resources and Forms,Safety Information,Displays safety information and usage instructions for the product.,S,1,Static content with straightforward rendering.,https://www.ozurdexsavingsprogram.com/program-resources-and-forms,important_safety_information,Inline safety information,Ensure compliance with regulatory requirements.
OZURDEX® Savings Program | Resources and Forms,Footer,Includes site-wide links and legal information.,M,1,Fragment-based content with styling and potential dynamic updates.,https://www.ozurdexsavingsprogram.com/program-resources-and-forms,footer,Legal and navigational footer,Aligns with AEM block catalog 'Footer'.
OZURDEX® Savings Program | Resources and Forms,Back to Top Button,Provides a button to scroll back to the top of the page.,S,1,Simple interactive element.,https://www.ozurdexsavingsprogram.com/program-resources-and-forms,back_to_top,Scroll button,Accessibility considerations for keyboard and screen reader users.
OZURDEX® Savings Program | Resources and Forms,Collapsible Safety Bar,Displays a collapsible safety information bar at the bottom of the page.,M,1,Interactive component with dynamic behavior.,https://www.ozurdexsavingsprogram.com/program-resources-and-forms,safety_bar,Collapsible bar,Ensure compliance with accessibility standards.
OZURDEX® Savings Program | How It Works,Utility Navigation,Provides quick access to utility links like prescribing information and safety information.,S,1,Relatively simple navigation with limited links.,https://www.ozurdexsavingsprogram.com/howitworks,utility_navigation,Utility strip,No direct match found in the AEM catalog.
OZURDEX® Savings Program | How It Works,Primary Navigation,Main navigation menu for the site.,M,1,Primary navigation with potential for deeper structures.,https://www.ozurdexsavingsprogram.com/howitworks,primary_navigation,Main navigation,No direct match found in the AEM catalog.
OZURDEX® Savings Program | How It Works,Hero Section,Highlights the main title and background image for the page.,M,1,Includes styled background and text hierarchy.,https://www.ozurdexsavingsprogram.com/howitworks,hero_section,Hero banner,No direct match found in the AEM catalog.
OZURDEX® Savings Program | How It Works,Eligibility Information,Details about patient eligibility for the savings program.,S,1,Static text content with minimal interactive elements.,https://www.ozurdexsavingsprogram.com/howitworks,eligibility_section,Eligibility content,No direct match found in the AEM catalog.
OZURDEX® Savings Program | How It Works,Enrollment Steps,Provides step-by-step instructions for enrolling patients.,M,1,Structured content with potential for dynamic updates.,https://www.ozurdexsavingsprogram.com/howitworks,enrollment_steps,Instructional steps,No direct match found in the AEM catalog.
OZURDEX® Savings Program | How It Works,Enrollment Accordion,Contains expandable details about enrollment rules and savings.,M,1,Interactive accordion requiring JavaScript and CSS.,https://www.ozurdexsavingsprogram.com/howitworks,accordion_enrollment,Expandable enrollment details,Matched to the Accordion block in the AEM catalog.
OZURDEX® Savings Program | How It Works,Reimbursement Instructions,Explains how offices can request reimbursement.,S,1,Static text content with minimal interactive elements.,https://www.ozurdexsavingsprogram.com/howitworks,reimbursement_section,Instructional content,No direct match found in the AEM catalog.
OZURDEX® Savings Program | How It Works,Reimbursement Accordion,Contains expandable details about reimbursement processes.,M,1,Interactive accordion requiring JavaScript and CSS.,https://www.ozurdexsavingsprogram.com/howitworks,accordion_reimbursement,Expandable reimbursement details,Matched to the Accordion block in the AEM catalog.
OZURDEX® Savings Program | How It Works,Resources Download,Provides links to download program resources and forms.,S,1,Static links with minimal interactivity.,https://www.ozurdexsavingsprogram.com/howitworks,resources_section,Download links,No direct match found in the AEM catalog.
OZURDEX® Savings Program | How It Works,Terms and Conditions,Displays the terms and conditions of the savings program.,S,1,Static content with minimal interactivity.,https://www.ozurdexsavingsprogram.com/howitworks,terms_conditions,Legal content,No direct match found in the AEM catalog.
OZURDEX® Savings Program | How It Works,Important Safety Information,Provides safety information and indications for the product.,S,1,Static content with minimal interactivity.,https://www.ozurdexsavingsprogram.com/howitworks,important_safety_information,Safety information,No direct match found in the AEM catalog.
OZURDEX® Savings Program | How It Works,Footer,Contains site-wide links like privacy policy and contact information.,S,1,Basic footer with links and styling.,https://www.ozurdexsavingsprogram.com/howitworks,footer,Site footer,Matched to the Footer block in the AEM catalog.
Search Results,Utility Navigation,Provides quick access to utility links such as prescribing information and safety information.,S,1,Simple navigation with links.,https://www.ozurdexsavingsprogram.com/search-results,utility_navigation,Utility strip,This block includes links for healthcare professionals and safety information.
Search Results,Primary Navigation,Main site navigation for accessing different sections of the website.,M,1,Main navigation often requires responsive design and accessibility testing.,https://www.ozurdexsavingsprogram.com/search-results,primary_navigation,Main navigation,Includes primary menu items for navigating the site.
Search Results,Logo Header,Displays the site logo and branding.,S,1,Static branding element.,https://www.ozurdexsavingsprogram.com/search-results,logo_header,Logo,Displays the Ozurdex logo prominently in the header.
Search Results,Search Utility,Provides a search functionality for the website.,M,1,Includes search input and results display.,https://www.ozurdexsavingsprogram.com/search-results,search_util,Search box,Enables users to search across the site.
Search Results,Main Content Area,The primary content area for displaying search results and related information.,M,1,Dynamic content display with search results.,https://www.ozurdexsavingsprogram.com/search-results,main_content,Content display,This area dynamically loads search results.
Search Results,Important Safety Information,Contains detailed safety and usage information for the product.,M,1,Rich text content with links and formatting.,https://www.ozurdexsavingsprogram.com/search-results,important_safety_information,Safety information,Includes medical disclaimers and safety details.
Search Results,Footer Links,"Contains links to legal, privacy, and contact information.",S,1,Basic footer links with simple styling.,https://www.ozurdexsavingsprogram.com/search-results,footer_links,Footer links,Provides legal and contact information links.
Search Results,Footer Legal Text,Displays copyright and legal disclaimers.,S,1,Static content with minimal functionality.,https://www.ozurdexsavingsprogram.com/search-results,footer_legal,Legal text,Includes copyright and legal disclaimers.
Search Results,Back to Top Button,Allows users to quickly navigate back to the top of the page.,S,1,Simple scrolling functionality.,https://www.ozurdexsavingsprogram.com/search-results,back_to_top,Scroll utility,Enhances user navigation experience.
