Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Savings Program | Lo Loestrin® Fe,Utility Navigation,"Provides quick access to important links such as risk information, patient information, and prescribing information.",S,6,Simple navigation links without complex interactivity.,https://www.loloestrin.com/savings-card,global_utility_navigation,Utility strip,Could consider mapping to a navigation block type if applicable.,screenshots/blocks/global_utility_navigation__default.png
Savings Program | Lo Loestrin® Fe,Primary Navigation,Main site navigation providing access to key sections of the website.,M,7,Includes hierarchical navigation and dropdowns.,https://www.loloestrin.com/savings-card,primary_navigation,Main navigation,Ensure dropdown functionality is accessible and responsive.,screenshots/blocks/primary_navigation__default.png
Savings Program | Lo Loestrin® Fe,Hero Banner,Prominent introductory section highlighting the savings program.,S,2,Static content with basic styling.,https://www.loloestrin.com/savings-card,hero_banner,Promotional hero,Ensure the banner is visually prominent and meets accessibility standards.,screenshots/blocks/hero_banner__default.png
Savings Program | Lo Loestrin® Fe,Savings Information,"Details about the savings program, including benefits and eligibility.",M,1,Informational content requiring clear layout.,https://www.loloestrin.com/savings-card,savings_information,Program details,Consider modularizing for updates.,screenshots/blocks/savings_information__default.png
Savings Program | Lo Loestrin® Fe,Call to Action,Encourages users to sign up for the savings program via text or online registration.,S,1,Simple interactivity with links or buttons.,https://www.loloestrin.com/savings-card,call_to_action,Signup prompt,Ensure the CTA is visually distinct and actionable.,screenshots/blocks/call_to_action__default.png
Savings Program | Lo Loestrin® Fe,Additional Savings Information,Provides further details on savings eligibility and support for processing issues.,S,1,Static informational content.,https://www.loloestrin.com/savings-card,additional_savings_info,Eligibility details,Ensure content clarity and accessibility.,screenshots/blocks/additional_savings_info__default.png
Savings Program | Lo Loestrin® Fe,Questions Section,Answers common questions about the savings program and provides contact information.,M,1,Requires clear layout and potential interactivity for FAQs.,https://www.loloestrin.com/savings-card,questions_section,FAQ module,Consider collapsible sections for usability.,screenshots/blocks/questions_section__default.png
Savings Program | Lo Loestrin® Fe,Important Safety Information,Displays critical safety and risk information about the product.,M,5,Content must be prominent and meet regulatory requirements.,https://www.loloestrin.com/savings-card,important_safety_information,Safety notice,Ensure compliance with legal standards.,screenshots/blocks/important_safety_information__default.png
Savings Program | Lo Loestrin® Fe,Footer Links,"Contains links to site map, accessibility statement, contact information, and legal notices.",S,3,Static footer links.,https://www.loloestrin.com/savings-card,footer_links,Footer navigation,Ensure accessibility and responsiveness.,screenshots/blocks/footer_links__default.png
Savings Program | Lo Loestrin® Fe,Back to Top Button,Provides a button for users to quickly return to the top of the page.,S,4,Simple interactive button.,https://www.loloestrin.com/savings-card,back_to_top_button,Utility button,Ensure the button is accessible and visible.,screenshots/blocks/back_to_top_button__default.png
