Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Living with HCV – Meet Maria,Utility Navigation,Provides quick access to supplementary site links.,S,1,Limited functionality with basic navigation links.,https://www.hcv.com/living-with-hcv/meet-maria,global_utility_navigation,Utility strip,No direct match found in catalog.
Living with HCV – Meet Maria,Primary Navigation,Main navigation for site sections and resources.,M,1,Includes dropdown menus and hierarchical structure.,https://www.hcv.com/living-with-hcv/meet-maria,primary_header_navigation,Main navigation,No direct match found in catalog.
Living with HCV – Meet Maria,Hero Banner,Prominent visual section introducing the topic.,M,1,Includes dynamic content and visual elements.,https://www.hcv.com/living-with-hcv/meet-maria,hero_section,Hero banner,No direct match found in catalog.
Living with HCV – Meet Maria,Breadcrumb Trail,Displays navigation path for current page context.,S,1,Simple navigation aid with linear structure.,https://www.hcv.com/living-with-hcv/meet-maria,breadcrumb_navigation,Breadcrumb,No direct match found in catalog.
Living with HCV – Meet Maria,Content Introduction,Introductory text for main content area.,S,1,Static text content with minimal interactivity.,https://www.hcv.com/living-with-hcv/meet-maria,main_content_intro,Introductory content,No direct match found in catalog.
Living with HCV – Meet Maria,Detailed Information,Detailed narrative about Maria's background.,M,1,Text-heavy content with potential media integration.,https://www.hcv.com/living-with-hcv/meet-maria,closer_look_section,Detailed narrative,No direct match found in catalog.
Living with HCV – Meet Maria,Healthcare Insights,Insights into healthcare challenges and outlook.,M,1,Contains analytical content with potential charts or graphs.,https://www.hcv.com/living-with-hcv/meet-maria,healthcare_outlook_section,Insightful analysis,No direct match found in catalog.
Living with HCV – Meet Maria,Broader Implications,Highlights recommendations and broader impacts.,M,1,May include interactive elements or calls to action.,https://www.hcv.com/living-with-hcv/meet-maria,bigger_picture_section,Recommendations,No direct match found in catalog.
Living with HCV – Meet Maria,Resources Section,Links and materials for further exploration.,S,1,Simple static links with minimal interactivity.,https://www.hcv.com/living-with-hcv/meet-maria,additional_resources,Resource links,No direct match found in catalog.
Living with HCV – Meet Maria,Footer,Site-wide footer links and information.,S,1,Static links with standard footer layout.,https://www.hcv.com/living-with-hcv/meet-maria,footer_section,Footer,No direct match found in catalog.
Awareness – People Who Use Drugs,Utility Navigation,Provides quick access to utility links like contact and subscription.,S,1,Simple navigation bar with links; minimal interactivity.,https://www.hcv.com/awareness/people-who-use-drugs,global_utility_navigation,Utility Navigation,Includes links for quick access to utility pages.
Awareness – People Who Use Drugs,Main Navigation,Represents the primary navigation bar for site sections.,M,1,Contains dropdowns and hierarchical navigation; moderate complexity.,https://www.hcv.com/awareness/people-who-use-drugs,primary_navigation,Main Navigation,Includes hierarchical structure for site navigation.
Awareness – People Who Use Drugs,Hero Section,Displays a prominent section with a background image and page title.,M,1,Hero section involves styling and dynamic content rendering.,https://www.hcv.com/awareness/people-who-use-drugs,hero_section,Hero Banner,Features a background image with overlay text.
Awareness – People Who Use Drugs,Breadcrumb Navigation,Shows the current page location within the site hierarchy.,S,1,Static breadcrumbs with links; low complexity.,https://www.hcv.com/awareness/people-who-use-drugs,breadcrumb_navigation,Breadcrumb,Enhances navigation by showing page hierarchy.
Awareness – People Who Use Drugs,Section Title,Displays the title of the current section.,S,1,Simple text rendering; no dynamic behavior.,https://www.hcv.com/awareness/people-who-use-drugs,section_title,Section Title,Static heading for the section.
Awareness – People Who Use Drugs,Video Highlight,Showcases highlighted videos with descriptions and links.,M,1,Involves embedding videos and dynamic content display.,https://www.hcv.com/awareness/people-who-use-drugs,video_highlight,Video Highlight,Highlights specific video content with descriptions.
Awareness – People Who Use Drugs,Video Grid,Displays a grid of videos with titles and descriptions.,M,1,Grid layout and dynamic video embedding; moderate complexity.,https://www.hcv.com/awareness/people-who-use-drugs,video_grid,Video Grid,Organizes multiple videos in a grid format.
Resources – Spanish Resources,Utility Navigation,Provides quick access to utility links.,S,1,Simple navigation links without deep hierarchies or interactivity.,https://www.hcv.com/resources/spanish-resources,global_utility_navigation,Utility strip,This block includes links for contact and subscription options.
Resources – Spanish Resources,Primary Header,Contains branding and main site navigation.,M,1,Includes branding elements and multi-level navigation.,https://www.hcv.com/resources/spanish-resources,primary_header,Main navigation,Supports primary branding and navigation structure.
Resources – Spanish Resources,Hero Section,Highlights main theme or message with visuals and headings.,M,1,Prominent visual and text elements may require responsive design.,https://www.hcv.com/resources/spanish-resources,hero_section,Hero image,Key for drawing user attention to main content.
Resources – Spanish Resources,Breadcrumb Navigation,Displays the navigation path hierarchy.,S,1,Simple hierarchical links for navigation.,https://www.hcv.com/resources/spanish-resources,breadcrumb_navigation,Breadcrumbs,Helps users understand their location within the site.
Resources – Spanish Resources,Content Introduction,Introduces the page's main topic.,S,1,Static text-based content introduction.,https://www.hcv.com/resources/spanish-resources,main_content_intro,Intro text,Sets the context for the page content.
Resources – Spanish Resources,Card Grid,Displays resource cards with images and links.,M,1,Requires handling of grid layout and interactive elements.,https://www.hcv.com/resources/spanish-resources,resources_card_grid,Card grid,Facilitates access to multiple resources.
Resources – Spanish Resources,Footer Links,Provides site-wide navigation and information links.,S,1,Simple footer navigation links.,https://www.hcv.com/resources/spanish-resources,footer_links,Footer navigation,Includes additional site links and information.
HCV Management,Global Utility Navigation,Provides quick access links for utility navigation items such as medical affairs and healthcare professionals.,M,1,Requires integration with external links and accessibility compliance.,https://www.hcv.com/management,global_utility_navigation,Utility strip,Ensure links are accessible and styled appropriately.
HCV Management,Primary Navigation,Main site navigation menu for accessing primary sections of the website.,C,1,Includes deep navigation structure and accessibility features.,https://www.hcv.com/management,primary_navigation,Main navigation,Ensure dropdown menus are fully accessible.
HCV Management,Hero Section,"Prominent section at the top of the page, featuring the main title and introductory content.",M,1,Involves integration of large images and responsive design.,https://www.hcv.com/management,hero_section,Hero banner,Optimize for mobile and desktop displays.
HCV Management,Breadcrumb Navigation,Displays the navigation path for the current page to enhance user orientation.,S,1,Simple breadcrumb trail with limited interactivity.,https://www.hcv.com/management,breadcrumb_navigation,Breadcrumb trail,Ensure proper ARIA roles are utilized.
