Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
OZURDEX® for HCPs | Home,Global Utility Navigation,"Provides quick links and navigation options for users, such as prescribing information and patient resources.",M,1,Includes accessibility considerations and multiple navigation tiers.,https://hcp.ozurdex.com/,global_utility_navigation,Utility strip,No direct match found in AEM catalog.
OZURDEX® for HCPs | Home,Primary Navigation,Main site navigation for accessing key sections like 'The Role of Ozurdex' and 'Mechanism of Action'.,C,1,Deep navigation structure with multiple levels and accessibility requirements.,https://hcp.ozurdex.com/,primary_navigation,Main navigation,No direct match found in AEM catalog.
OZURDEX® for HCPs | Home,Hero Section,Highlights the main message and purpose of the site with a prominent image and text.,M,1,Includes visual design elements and responsive styling.,https://hcp.ozurdex.com/,hero_section,Hero image with text,Mapped to 'Hero' block in AEM catalog.
OZURDEX® for HCPs | Home,Mechanism of Action,Showcases the mechanism of action with an image and a call-to-action button.,M,1,Visual content with interactive elements.,https://hcp.ozurdex.com/,mechanism_of_action,Image with CTA,No direct match found in AEM catalog.
OZURDEX® for HCPs | Home,Injection Technique,Provides information about the injection technique with supporting visuals and a link to learn more.,M,1,Informational content with links and visuals.,https://hcp.ozurdex.com/,injection_technique,Informational section,No direct match found in AEM catalog.
OZURDEX® for HCPs | Home,Reimbursement Support,Details reimbursement and order support options with accompanying visuals.,M,1,Includes links and supporting visuals.,https://hcp.ozurdex.com/,reimbursement_support,Support section,No direct match found in AEM catalog.
OZURDEX® for HCPs | Home,Resources Section,Offers downloadable resources for practices and patients.,M,1,Downloadable content and accessibility considerations.,https://hcp.ozurdex.com/,resources_section,Resource library,No direct match found in AEM catalog.
OZURDEX® for HCPs | Home,Important Safety Information,Displays critical safety and usage information for the product.,M,1,Critical information with accessibility requirements.,https://hcp.ozurdex.com/,important_safety_information,Safety information,No direct match found in AEM catalog.
OZURDEX® for HCPs | Home,Footer,"Contains site-wide links such as terms of use, privacy policy, and contact information.",M,1,Includes global site-wide links and styling.,https://hcp.ozurdex.com/,footer,Footer,Mapped to 'Footer' block in AEM catalog.
OZURDEX® Resources for Your Practice | OZURDEX® for HCPs,Utility Navigation,Provides quick access to utility links for prescribing information and patient resources.,S,1,Simple menu structure with links.,https://hcp.ozurdex.com/resources,global_utility_navigation,Utility strip,No direct match in catalog.
OZURDEX® Resources for Your Practice | OZURDEX® for HCPs,Primary Navigation,Main navigation for accessing various site sections.,M,1,Includes multiple menu items with potential dropdowns.,https://hcp.ozurdex.com/resources,primary_navigation,Main navigation,No direct match in catalog.
OZURDEX® Resources for Your Practice | OZURDEX® for HCPs,Hero Section,Displays a prominent banner with image and title.,S,1,Simple hero block with image and text.,https://hcp.ozurdex.com/resources,hero_section,Hero banner,Mapped to 'Hero' from catalog.
OZURDEX® Resources for Your Practice | OZURDEX® for HCPs,Sticky Menu,Provides quick links to key sections of the website.,S,1,Simple link list for sticky menu.,https://hcp.ozurdex.com/resources,link_list_section,Quick links,No direct match in catalog.
OZURDEX® Resources for Your Practice | OZURDEX® for HCPs,Practice Tools,Highlights tools and training resources for practitioners.,S,1,Static content block with resource links.,https://hcp.ozurdex.com/resources,helpful_practice_tools,Resource tools,No direct match in catalog.
OZURDEX® Resources for Your Practice | OZURDEX® for HCPs,Injection Resources,Provides detailed resources including videos and supplements.,M,1,Interactive components with multimedia content.,https://hcp.ozurdex.com/resources,injection_technique,Video and supplement,No direct match in catalog.
OZURDEX® Resources for Your Practice | OZURDEX® for HCPs,Brochure Download,Offers a downloadable brochure for reference.,S,1,Simple download link for brochure.,https://hcp.ozurdex.com/resources,brochure_section,Downloadable content,No direct match in catalog.
OZURDEX® Resources for Your Practice | OZURDEX® for HCPs,Ordering Support,Guide for ordering and support options.,S,1,Static content block for ordering info.,https://hcp.ozurdex.com/resources,ordering_support,Support guide,No direct match in catalog.
OZURDEX® Resources for Your Practice | OZURDEX® for HCPs,Discussion Guide,Resources for discussing treatment options with patients.,S,1,Static content with text and links.,https://hcp.ozurdex.com/resources,patient_discussion,Patient guide,No direct match in catalog.
OZURDEX® Resources for Your Practice | OZURDEX® for HCPs,FAQs Accordion,Expandable FAQ sections for user interaction.,M,1,Interactive accordion component for FAQs.,https://hcp.ozurdex.com/resources,accordion_faqs,FAQ accordion,Mapped to 'Accordion' from catalog.
OZURDEX® Reimbursement Support | For HCPs,Utility Navigation,Provides quick access to important links and resources.,S,1,Simple navigation bar with links.,https://hcp.ozurdex.com/reimbursement-support,utility_navigation,Utility strip,Could not find a matching entry in the AEM catalog.
OZURDEX® Reimbursement Support | For HCPs,Primary Navigation,Main navigation menu for accessing site sections.,M,1,Includes hierarchical navigation structure.,https://hcp.ozurdex.com/reimbursement-support,primary_navigation,Main navigation,Could not find a matching entry in the AEM catalog.
OZURDEX® Reimbursement Support | For HCPs,Hero Section,Displays the main message and background image at the top of the page.,M,1,Requires custom styling and JavaScript for positioning.,https://hcp.ozurdex.com/reimbursement-support,hero_section,Hero banner,Mapped to the 'Hero' block in the AEM catalog.
OZURDEX® Reimbursement Support | For HCPs,Reimbursement Support Intro,Introduces reimbursement support services.,M,1,Content-focused block with text and images.,https://hcp.ozurdex.com/reimbursement-support,reimbursement_support_intro,Introduction section,Could not find a matching entry in the AEM catalog.
OZURDEX® Reimbursement Support | For HCPs,Reimbursement Support Details,Provides details on reimbursement processes.,M,1,Detailed information with potential dynamic content.,https://hcp.ozurdex.com/reimbursement-support,reimbursement_support_details,Detail section,Could not find a matching entry in the AEM catalog.
OZURDEX® Reimbursement Support | For HCPs,Contact Information,Displays contact details for support.,S,1,Simple text-based block with links.,https://hcp.ozurdex.com/reimbursement-support,contact_information,Contact details,Could not find a matching entry in the AEM catalog.
OZURDEX® Reimbursement Support | For HCPs,Important Safety Information,Shows critical safety and usage information.,M,1,Regulatory content with styling considerations.,https://hcp.ozurdex.com/reimbursement-support,important_safety_information,Safety information,Could not find a matching entry in the AEM catalog.
OZURDEX® Reimbursement Support | For HCPs,Footer,Displays footer content including links and additional information.,S,1,Standard footer with basic styling.,https://hcp.ozurdex.com/reimbursement-support,footer,Footer,Mapped to the 'Footer' block in the AEM catalog.
OZURDEX® Mechanism of Action | OZURDEX® for HCPs,Global Utility Navigation,Provides utility links for quick access to prescribing information and patient resources.,M,1,Requires integration with external resources and accessibility compliance.,https://hcp.ozurdex.com/mechanism-of-action,global_utility_navigation,Utility strip,No matching block found in the catalog.
OZURDEX® Mechanism of Action | OZURDEX® for HCPs,Primary Navigation,Main navigation for accessing key sections of the site.,M,1,Includes deep linking and hierarchical structure.,https://hcp.ozurdex.com/mechanism-of-action,primary_navigation,Main navigation,No matching block found in the catalog.
OZURDEX® Mechanism of Action | OZURDEX® for HCPs,Hero Section,Prominent section introducing key content with background visuals.,M,1,Involves visual design and accessibility considerations.,https://hcp.ozurdex.com/mechanism-of-action,hero_section,Hero with background image,Mapped to Hero block from catalog.
OZURDEX® Mechanism of Action | OZURDEX® for HCPs,Highlighted Links,Sticky menu for navigating specific page sections.,M,1,Requires dynamic behavior and responsive design.,https://hcp.ozurdex.com/mechanism-of-action,highlighted_links,Sticky menu,No matching block found in the catalog.
OZURDEX® Mechanism of Action | OZURDEX® for HCPs,Mechanism of Action,Explains product's working mechanism with multimedia.,C,1,Includes multimedia integration and detailed content presentation.,https://hcp.ozurdex.com/mechanism-of-action,mechanism_of_action,Content section with video,No matching block found in the catalog.
OZURDEX® Mechanism of Action | OZURDEX® for HCPs,NOVADUR Technology,Details about the proprietary drug delivery system.,M,1,Requires integration of technical and educational content.,https://hcp.ozurdex.com/mechanism-of-action,novadur_technology,Informational section,No matching block found in the catalog.
OZURDEX® Mechanism of Action | OZURDEX® for HCPs,Patented Applicator,Explains the patented applicator with a video demonstration.,C,1,Involves video integration and accessibility compliance.,https://hcp.ozurdex.com/mechanism-of-action,patented_applicator,Content section with video,No matching block found in the catalog.
OZURDEX® Mechanism of Action | OZURDEX® for HCPs,Patient Resources,Provides downloadable resources for patient education.,M,1,Requires integration with downloadable content management.,https://hcp.ozurdex.com/mechanism-of-action,patient_resources,Downloadable resources,No matching block found in the catalog.
OZURDEX® Mechanism of Action | OZURDEX® for HCPs,Important Safety Information,Displays critical safety information for the product.,M,1,Requires compliance with regulatory content standards.,https://hcp.ozurdex.com/mechanism-of-action,important_safety_information,Safety information,No matching block found in the catalog.
OZURDEX® Mechanism of Action | OZURDEX® for HCPs,Footer,Displays footer content with links and site information.,S,1,Basic styling and content fetching.,https://hcp.ozurdex.com/mechanism-of-action,footer,Footer section,Mapped to Footer block from catalog.
OZURDEX® Clinical Efficacy in DME | OZURDEX® for HCPs,Global Utility Strip,Provides quick access to utility links like prescribing information.,S,1,Simple navigation utility without deep interactivity.,https://hcp.ozurdex.com/clinical-efficacy,global_utility_strip,Utility strip,No direct catalog match found.
OZURDEX® Clinical Efficacy in DME | OZURDEX® for HCPs,Primary Navigation,Main navigation for accessing key sections.,M,1,Includes multiple links and hierarchical navigation.,https://hcp.ozurdex.com/clinical-efficacy,primary_navigation,Main navigation,No direct catalog match found.
OZURDEX® Clinical Efficacy in DME | OZURDEX® for HCPs,Hero Section,Displays the main title and introductory content.,S,1,Basic content presentation with limited interactivity.,https://hcp.ozurdex.com/clinical-efficacy,hero_section,Hero banner,Matches catalog entry for 'Hero'.
OZURDEX® Clinical Efficacy in DME | OZURDEX® for HCPs,Sticky Navigation,Provides a sticky menu for quick section navigation.,M,1,Sticky functionality requires JavaScript integration.,https://hcp.ozurdex.com/clinical-efficacy,sticky_navigation,Sticky menu,No direct catalog match found.
OZURDEX® Clinical Efficacy in DME | OZURDEX® for HCPs,Study Design Section,Highlights study design details.,M,1,Content-heavy with potential data visualization.,https://hcp.ozurdex.com/clinical-efficacy,study_design_section,Content section,No direct catalog match found.
OZURDEX® Clinical Efficacy in DME | OZURDEX® for HCPs,Efficacy Outcomes,Presents key efficacy outcomes.,M,1,Detailed content with possible charts or tables.,https://hcp.ozurdex.com/clinical-efficacy,efficacy_outcomes,Content section,No direct catalog match found.
OZURDEX® Clinical Efficacy in DME | OZURDEX® for HCPs,Results in Overall Patients,Displays results for randomized patients.,M,1,Content-rich section with potential data visualization.,https://hcp.ozurdex.com/clinical-efficacy,results_overall,Content section,No direct catalog match found.
OZURDEX® Clinical Efficacy in DME | OZURDEX® for HCPs,Pseudophakic Patients,Details efficacy outcomes for pseudophakic patients.,M,1,Focused content section with specific patient data.,https://hcp.ozurdex.com/clinical-efficacy,pseudophakic_patients,Content section,No direct catalog match found.
